scenario_id,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,evidence_field,difference_amount,exception_category
SCENARIO-0014,exact_match,rule,exact_order_id,ORD-2026-EX-0014,INV-0014,SET-0014,BNK-0014,UTR202608000014,2631.50,2631.50,2631.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0015,exact_match,rule,exact_order_id,ORD-2026-EX-0015,INV-0015,SET-0015,BNK-0015,UTR202608000015,2757.00,2757.00,2757.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0016,exact_match,rule,exact_order_id,ORD-2026-EX-0016,INV-0016,SET-0016,BNK-0016,UTR202608000016,2882.50,2882.50,2882.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0017,exact_match,rule,exact_order_id,ORD-2026-EX-0017,INV-0017,SET-0017,BNK-0017,UTR202608000017,3008.00,3008.00,3008.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0018,exact_match,rule,exact_order_id,ORD-2026-EX-0018,INV-0018,SET-0018,BNK-0018,UTR202608000018,3133.50,3133.50,3133.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0019,exact_match,rule,exact_order_id,ORD-2026-EX-0019,INV-0019,SET-0019,BNK-0019,UTR202608000019,3259.00,3259.00,3259.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0020,exact_match,rule,exact_order_id,ORD-2026-EX-0020,INV-0020,SET-0020,BNK-0020,UTR202608000020,3384.50,3384.50,3384.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0021,exact_match,rule,exact_order_id,ORD-2026-EX-0021,INV-0021,SET-0021,BNK-0021,UTR202608000021,3510.00,3510.00,3510.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0022,exact_match,rule,exact_order_id,ORD-2026-EX-0022,INV-0022,SET-0022,BNK-0022,UTR202608000022,3635.50,3635.50,3635.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0023,exact_match,rule,exact_order_id,ORD-2026-EX-0023,INV-0023,SET-0023,BNK-0023,UTR202608000023,3761.00,3761.00,3761.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0024,exact_match,rule,exact_order_id,ORD-2026-EX-0024,INV-0024,SET-0024,BNK-0024,UTR202608000024,3886.50,3886.50,3886.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0025,exact_match,rule,exact_order_id,ORD-2026-EX-0025,INV-0025,SET-0025,BNK-0025,UTR202608000025,4012.00,4012.00,4012.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0026,exact_match,rule,exact_order_id,ORD-2026-EX-0026,INV-0026,SET-0026,BNK-0026,UTR202608000026,4137.50,4137.50,4137.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0027,exact_match,rule,exact_order_id,ORD-2026-EX-0027,INV-0027,SET-0027,BNK-0027,UTR202608000027,4263.00,4263.00,4263.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0028,exact_match,rule,exact_order_id,ORD-2026-EX-0028,INV-0028,SET-0028,BNK-0028,UTR202608000028,4388.50,4388.50,4388.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0029,exact_match,rule,exact_order_id,ORD-2026-EX-0029,INV-0029,SET-0029,BNK-0029,UTR202608000029,4514.00,4514.00,4514.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0030,exact_match,rule,exact_order_id,ORD-2026-EX-0030,INV-0030,SET-0030,BNK-0030,UTR202608000030,4639.50,4639.50,4639.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0031,exact_match,rule,exact_order_id,ORD-2026-EX-0031,INV-0031,SET-0031,BNK-0031,UTR202608000031,4765.00,4765.00,4765.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0032,exact_match,rule,exact_order_id,ORD-2026-EX-0032,INV-0032,SET-0032,BNK-0032,UTR202608000032,4890.50,4890.50,4890.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0033,exact_match,rule,exact_order_id,ORD-2026-EX-0033,INV-0033,SET-0033,BNK-0033,UTR202608000033,5016.00,5016.00,5016.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0034,exact_match,rule,exact_order_id,ORD-2026-EX-0034,INV-0034,SET-0034,BNK-0034,UTR202608000034,5141.50,5141.50,5141.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0035,exact_match,rule,exact_order_id,ORD-2026-EX-0035,INV-0035,SET-0035,BNK-0035,UTR202608000035,5267.00,5267.00,5267.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0036,exact_match,rule,exact_order_id,ORD-2026-EX-0036,INV-0036,SET-0036,BNK-0036,UTR202608000036,5392.50,5392.50,5392.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0037,exact_match,rule,exact_order_id,ORD-2026-EX-0037,INV-0037,SET-0037,BNK-0037,UTR202608000037,5518.00,5518.00,5518.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0038,exact_match,rule,exact_order_id,ORD-2026-EX-0038,INV-0038,SET-0038,BNK-0038,UTR202608000038,5643.50,5643.50,5643.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0039,exact_match,rule,exact_order_id,ORD-2026-EX-0039,INV-0039,SET-0039,BNK-0039,UTR202608000039,5769.00,5769.00,5769.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0040,exact_match,rule,exact_order_id,ORD-2026-EX-0040,INV-0040,SET-0040,BNK-0040,UTR202608000040,5894.50,5894.50,5894.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0041,exact_match,rule,exact_order_id,ORD-2026-EX-0041,INV-0041,SET-0041,BNK-0041,UTR202608000041,6020.00,6020.00,6020.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0042,exact_match,rule,exact_order_id,ORD-2026-EX-0042,INV-0042,SET-0042,BNK-0042,UTR202608000042,6145.50,6145.50,6145.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0043,exact_match,rule,exact_order_id,ORD-2026-EX-0043,INV-0043,SET-0043,BNK-0043,UTR202608000043,6271.00,6271.00,6271.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0044,exact_match,rule,exact_order_id,ORD-2026-EX-0044,INV-0044,SET-0044,BNK-0044,UTR202608000044,6396.50,6396.50,6396.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0045,exact_match,rule,exact_order_id,ORD-2026-EX-0045,INV-0045,SET-0045,BNK-0045,UTR202608000045,6522.00,6522.00,6522.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0046,exact_match,rule,exact_order_id,ORD-2026-EX-0046,INV-0046,SET-0046,BNK-0046,UTR202608000046,6647.50,6647.50,6647.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0047,exact_match,rule,exact_order_id,ORD-2026-EX-0047,INV-0047,SET-0047,BNK-0047,UTR202608000047,6773.00,6773.00,6773.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0048,exact_match,rule,exact_order_id,ORD-2026-EX-0048,INV-0048,SET-0048,BNK-0048,UTR202608000048,6898.50,6898.50,6898.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0049,exact_match,rule,exact_order_id,ORD-2026-EX-0049,INV-0049,SET-0049,BNK-0049,UTR202608000049,7024.00,7024.00,7024.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0050,exact_match,rule,exact_order_id,ORD-2026-EX-0050,INV-0050,SET-0050,BNK-0050,UTR202608000050,7149.50,7149.50,7149.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0051,exact_match,rule,exact_order_id,ORD-2026-EX-0051,INV-0051,SET-0051,BNK-0051,UTR202608000051,7275.00,7275.00,7275.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0052,exact_match,rule,exact_order_id,ORD-2026-EX-0052,INV-0052,SET-0052,BNK-0052,UTR202608000052,7400.50,7400.50,7400.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0053,exact_match,rule,exact_order_id,ORD-2026-EX-0053,INV-0053,SET-0053,BNK-0053,UTR202608000053,7526.00,7526.00,7526.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0054,exact_match,rule,exact_order_id,ORD-2026-EX-0054,INV-0054,SET-0054,BNK-0054,UTR202608000054,7651.50,7651.50,7651.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0055,exact_match,rule,exact_order_id,ORD-2026-EX-0055,INV-0055,SET-0055,BNK-0055,UTR202608000055,7777.00,7777.00,7777.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0056,exact_match,rule,exact_order_id,ORD-2026-EX-0056,INV-0056,SET-0056,BNK-0056,UTR202608000056,7902.50,7902.50,7902.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0057,exact_match,rule,exact_order_id,ORD-2026-EX-0057,INV-0057,SET-0057,BNK-0057,UTR202608000057,8028.00,8028.00,8028.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0058,exact_match,rule,exact_order_id,ORD-2026-EX-0058,INV-0058,SET-0058,BNK-0058,UTR202608000058,8153.50,8153.50,8153.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0059,exact_match,rule,exact_order_id,ORD-2026-EX-0059,INV-0059,SET-0059,BNK-0059,UTR202608000059,8279.00,8279.00,8279.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0060,exact_match,rule,exact_order_id,ORD-2026-EX-0060,INV-0060,SET-0060,BNK-0060,UTR202608000060,8404.50,8404.50,8404.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0061,exact_match,rule,exact_order_id,ORD-2026-EX-0061,INV-0061,SET-0061,BNK-0061,UTR202608000061,8530.00,8530.00,8530.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0062,exact_match,rule,exact_order_id,ORD-2026-EX-0062,INV-0062,SET-0062,BNK-0062,UTR202608000062,8655.50,8655.50,8655.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0063,exact_match,rule,exact_order_id,ORD-2026-EX-0063,INV-0063,SET-0063,BNK-0063,UTR202608000063,8781.00,8781.00,8781.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0064,exact_match,rule,exact_order_id,ORD-2026-EX-0064,INV-0064,SET-0064,BNK-0064,UTR202608000064,8906.50,8906.50,8906.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0065,exact_match,rule,exact_order_id,ORD-2026-EX-0065,INV-0065,SET-0065,BNK-0065,UTR202608000065,9032.00,9032.00,9032.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0066,exact_match,rule,exact_order_id,ORD-2026-EX-0066,INV-0066,SET-0066,BNK-0066,UTR202608000066,9157.50,9157.50,9157.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0067,exact_match,rule,exact_order_id,ORD-2026-EX-0067,INV-0067,SET-0067,BNK-0067,UTR202608000067,9283.00,9283.00,9283.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0068,exact_match,rule,exact_order_id,ORD-2026-EX-0068,INV-0068,SET-0068,BNK-0068,UTR202608000068,9408.50,9408.50,9408.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0069,exact_match,rule,exact_order_id,ORD-2026-EX-0069,INV-0069,SET-0069,BNK-0069,UTR202608000069,9534.00,9534.00,9534.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0070,exact_match,rule,exact_order_id,ORD-2026-EX-0070,INV-0070,SET-0070,BNK-0070,UTR202608000070,9659.50,9659.50,9659.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0071,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0071,INV-0071,SET-0071,BNK-0071,UTR202608000071,2000.00,1960.00,1960.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0072,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0072,INV-0072,SET-0072,BNK-0072,UTR202608000072,2250.00,2205.00,2205.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0073,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0073,INV-0073,SET-0073,BNK-0073,UTR202608000073,2500.00,2450.00,2450.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0074,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0074,INV-0074,SET-0074,BNK-0074,UTR202608000074,2750.00,2695.00,2695.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0075,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0075,INV-0075,SET-0075,BNK-0075,UTR202608000075,3000.00,2940.00,2940.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0076,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0076,INV-0076,SET-0076,BNK-0076,UTR202608000076,3250.00,3185.00,3185.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0077,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0077,INV-0077,SET-0077,BNK-0077,UTR202608000077,3500.00,3430.00,3430.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0078,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-FEE-0078,INV-0078,SET-0078,BNK-0078,UTR202608000078,3750.00,3675.00,3675.00,Standard 2% MDR fee deduction.,,,,
SCENARIO-0079,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-GST-0079,INV-0079,SET-0079,BNK-0079,UTR202608000079,5000.00,4882.00,4882.00,Standard MDR fee + 18% GST deduction.,,,,
SCENARIO-0080,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-GST-0080,INV-0080,SET-0080,BNK-0080,UTR202608000080,5500.00,5370.20,5370.20,Standard MDR fee + 18% GST deduction.,,,,
SCENARIO-0081,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-GST-0081,INV-0081,SET-0081,BNK-0081,UTR202608000081,6000.00,5858.40,5858.40,Standard MDR fee + 18% GST deduction.,,,,
SCENARIO-0082,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-GST-0082,INV-0082,SET-0082,BNK-0082,UTR202608000082,6500.00,6346.60,6346.60,Standard MDR fee + 18% GST deduction.,,,,
SCENARIO-0083,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-GST-0083,INV-0083,SET-0083,BNK-0083,UTR202608000083,7000.00,6834.80,6834.80,Standard MDR fee + 18% GST deduction.,,,,
SCENARIO-0084,tds_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-TDS-0084,INV-0084,SET-0084,BNK-0084,UTR202608000084,10000.00,9664.00,9664.00,Standard MDR fee + GST + 1% Section 194-O TDS.,,,,
SCENARIO-0085,tds_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-TDS-0085,INV-0085,SET-0085,BNK-0085,UTR202608000085,11000.00,10630.40,10630.40,Standard MDR fee + GST + 1% Section 194-O TDS.,,,,
SCENARIO-0086,tds_deduction,rule,fee_gst_tds_adjusted_amount,ORD-2026-TDS-0086,INV-0086,SET-0086,BNK-0086,UTR202608000086,12000.00,11596.80,11596.80,Standard MDR fee + GST + 1% Section 194-O TDS.,,,,
SCENARIO-0087,non_standard_adjustment,ai,,ORD-2026-AI-0087,INV-0087,SET-0087,BNK-0087,UTR202608000087,12000.00,11970.00,11970.00,Non-standard fee override of ₹30.00 verified by Finance Verification Engine.,processing_fee,settlement.fees,30.00,
SCENARIO-0088,non_standard_adjustment,ai,,ORD-2026-AI-0088,INV-0088,SET-0088,BNK-0088,UTR202608000088,25000.00,24955.00,24955.00,Non-standard fee override of ₹45.00 verified by Finance Verification Engine.,processing_fee,settlement.fees,45.00,
SCENARIO-0089,non_standard_adjustment,ai,,ORD-2026-AI-0089,INV-0089,SET-0089,BNK-0089,UTR202608000089,18500.00,18450.00,18450.00,Non-standard fee override of ₹50.00 verified by Finance Verification Engine.,processing_fee,settlement.fees,50.00,
SCENARIO-0090,non_standard_adjustment,ai,,ORD-2026-AI-0090,INV-0090,SET-0090,BNK-0090,UTR202608000090,8000.00,7960.00,7960.00,Non-standard fee override of ₹40.00 verified by Finance Verification Engine.,processing_fee,settlement.fees,40.00,
SCENARIO-0091,non_standard_adjustment,ai,,ORD-2026-AI-0091,INV-0091,SET-0091,BNK-0091,UTR202608000091,15000.00,14965.00,14965.00,Non-standard fee override of ₹35.00 verified by Finance Verification Engine.,processing_fee,settlement.fees,35.00,
SCENARIO-0092,non_standard_adjustment,ai,,ORD-2026-AI-0092,INV-0092,SET-0092,BNK-0092,UTR202608000092,30000.00,29925.00,29925.00,Non-standard fee override of ₹75.00 verified by Finance Verification Engine.,processing_fee,settlement.fees,75.00,
SCENARIO-0093,delayed_settlement,exception,,ORD-2026-DLY-0093,INV-0093,SET-0093,BNK-0093,UTR202608000093,4000.00,4000.00,4000.00,Settlement delayed past T+2 window.,,,,settlement_delay
SCENARIO-0094,delayed_settlement,exception,,ORD-2026-DLY-0094,INV-0094,SET-0094,BNK-0094,UTR202608000094,4300.00,4300.00,4300.00,Settlement delayed past T+2 window.,,,,settlement_delay
SCENARIO-0095,refund,exception,,ORD-2026-REF-0095,INV-0095,SET-0095,BNK-0095,UTR202608000095,3200.00,-3200.00,-3200.00,Refund deduction resulting in bank debit.,,,,refund_pending
SCENARIO-0096,refund,exception,,ORD-2026-REF-0096,INV-0096,SET-0096,BNK-0096,UTR202608000096,3600.00,-3600.00,-3600.00,Refund deduction resulting in bank debit.,,,,refund_pending
SCENARIO-0097,duplicate_invoice,exception,,ORD-2026-DUP-0097,INV-0097,SET-0097,BNK-0097,UTR202608000097,4500.00,4500.00,4500.00,Duplicate invoice detected for same order ID.,,,,duplicate_invoice
SCENARIO-0098,duplicate_invoice,exception,,ORD-2026-DUP-0097,INV-0098,SET-0098,BNK-0098,UTR202608000098,5000.00,5000.00,5000.00,Duplicate invoice detected for same order ID.,,,,duplicate_invoice
SCENARIO-0099,missing_bank_credit,exception,,ORD-2026-MISS-0099,INV-0099,SET-0099,BNK-0099,UTR202608000099,11000.00,11000.00,-50.00,Expected settlement credit not found in bank statement past delay window.,,,,missing_credit
SCENARIO-0100,unknown,exception,,ORD-2026-UNK-0100,INV-0100,SET-0100,BNK-0100,UTR-UNKNOWN-100,7777.00,5432.10,9999.00,Genuine unknown exception with mismatched amounts and references.,,,,unknown
