bank_txn_id,txn_date,description,reference_number,amount,balance,status
BNK-0018,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000018,UTR202608000018,3133.50,537201.50,credited
BNK-0019,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000019,UTR202608000019,3259.00,540460.50,credited
BNK-0020,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000020,UTR202608000020,3384.50,543845.00,credited
BNK-0021,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000021,UTR202608000021,3510.00,547355.00,credited
BNK-0022,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000022,UTR202608000022,3635.50,550990.50,credited
BNK-0023,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTR202608000023,UTR202608000023,3761.00,554751.50,credited
BNK-0024,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTR202608000024,UTR202608000024,3886.50,558638.00,credited
BNK-0025,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTR202608000025,UTR202608000025,4012.00,562650.00,credited
BNK-0026,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTR202608000026,UTR202608000026,4137.50,566787.50,credited
BNK-0027,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTR202608000027,UTR202608000027,4263.00,571050.50,credited
BNK-0028,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTR202608000028,UTR202608000028,4388.50,575439.00,credited
BNK-0029,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTR202608000029,UTR202608000029,4514.00,579953.00,credited
BNK-0030,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTR202608000030,UTR202608000030,4639.50,584592.50,credited
BNK-0031,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTR202608000031,UTR202608000031,4765.00,589357.50,credited
BNK-0032,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000032,UTR202608000032,4890.50,594248.00,credited
BNK-0033,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000033,UTR202608000033,5016.00,599264.00,credited
BNK-0034,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000034,UTR202608000034,5141.50,604405.50,credited
BNK-0035,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000035,UTR202608000035,5267.00,609672.50,credited
BNK-0036,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000036,UTR202608000036,5392.50,615065.00,credited
BNK-0037,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000037,UTR202608000037,5518.00,620583.00,credited
BNK-0038,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTR202608000038,UTR202608000038,5643.50,626226.50,credited
BNK-0039,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTR202608000039,UTR202608000039,5769.00,631995.50,credited
BNK-0040,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTR202608000040,UTR202608000040,5894.50,637890.00,credited
BNK-0041,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTR202608000041,UTR202608000041,6020.00,643910.00,credited
BNK-0042,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTR202608000042,UTR202608000042,6145.50,650055.50,credited
BNK-0043,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTR202608000043,UTR202608000043,6271.00,656326.50,credited
BNK-0044,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTR202608000044,UTR202608000044,6396.50,662723.00,credited
BNK-0045,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTR202608000045,UTR202608000045,6522.00,669245.00,credited
BNK-0046,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTR202608000046,UTR202608000046,6647.50,675892.50,credited
BNK-0047,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000047,UTR202608000047,6773.00,682665.50,credited
BNK-0048,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000048,UTR202608000048,6898.50,689564.00,credited
BNK-0049,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000049,UTR202608000049,7024.00,696588.00,credited
BNK-0050,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000050,UTR202608000050,7149.50,703737.50,credited
BNK-0051,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000051,UTR202608000051,7275.00,711012.50,credited
BNK-0052,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000052,UTR202608000052,7400.50,718413.00,credited
BNK-0053,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTR202608000053,UTR202608000053,7526.00,725939.00,credited
BNK-0054,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTR202608000054,UTR202608000054,7651.50,733590.50,credited
BNK-0055,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTR202608000055,UTR202608000055,7777.00,741367.50,credited
BNK-0056,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTR202608000056,UTR202608000056,7902.50,749270.00,credited
BNK-0057,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTR202608000057,UTR202608000057,8028.00,757298.00,credited
BNK-0058,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTR202608000058,UTR202608000058,8153.50,765451.50,credited
BNK-0059,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTR202608000059,UTR202608000059,8279.00,773730.50,credited
BNK-0060,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTR202608000060,UTR202608000060,8404.50,782135.00,credited
BNK-0061,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTR202608000061,UTR202608000061,8530.00,790665.00,credited
BNK-0062,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000062,UTR202608000062,8655.50,799320.50,credited
BNK-0063,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000063,UTR202608000063,8781.00,808101.50,credited
BNK-0064,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000064,UTR202608000064,8906.50,817008.00,credited
BNK-0065,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000065,UTR202608000065,9032.00,826040.00,credited
BNK-0066,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000066,UTR202608000066,9157.50,835197.50,credited
BNK-0067,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000067,UTR202608000067,9283.00,844480.50,credited
BNK-0068,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTR202608000068,UTR202608000068,9408.50,853889.00,credited
BNK-0069,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTR202608000069,UTR202608000069,9534.00,863423.00,credited
BNK-0070,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTR202608000070,UTR202608000070,9659.50,873082.50,credited
BNK-0071,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000071,UTR202608000071,1960.00,875042.50,credited
BNK-0072,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000072,UTR202608000072,2205.00,877247.50,credited
BNK-0073,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000073,UTR202608000073,2450.00,879697.50,credited
BNK-0074,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000074,UTR202608000074,2695.00,882392.50,credited
BNK-0075,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000075,UTR202608000075,2940.00,885332.50,credited
BNK-0076,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000076,UTR202608000076,3185.00,888517.50,credited
BNK-0077,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTR202608000077,UTR202608000077,3430.00,891947.50,credited
BNK-0078,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTR202608000078,UTR202608000078,3675.00,895622.50,credited
BNK-0079,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000079,UTR202608000079,4882.00,900504.50,credited
BNK-0080,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000080,UTR202608000080,5370.20,905874.70,credited
BNK-0081,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000081,UTR202608000081,5858.40,911733.10,credited
BNK-0082,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000082,UTR202608000082,6346.60,918079.70,credited
BNK-0083,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000083,UTR202608000083,6834.80,924914.50,credited
BNK-0084,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000084,UTR202608000084,9664.00,934578.50,credited
BNK-0085,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000085,UTR202608000085,10630.40,945208.90,credited
BNK-0086,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000086,UTR202608000086,11596.80,956805.70,credited
BNK-0087,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000087,UTR202608000087,11970.00,968775.70,credited
BNK-0088,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000088,UTR202608000088,24955.00,993730.70,credited
BNK-0089,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000089,UTR202608000089,18450.00,1012180.70,credited
BNK-0090,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000090,UTR202608000090,7960.00,1020140.70,credited
BNK-0091,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000091,UTR202608000091,14965.00,1035105.70,credited
BNK-0092,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000092,UTR202608000092,29925.00,1065030.70,credited
BNK-0093,2026-08-12,ACH CR RAZORPAY SETTLEMENT PENDING UTR202608000093,UTR202608000093,4000.00,1065030.70,pending
BNK-0094,2026-08-12,ACH CR RAZORPAY SETTLEMENT PENDING UTR202608000094,UTR202608000094,4300.00,1065030.70,pending
BNK-0095,2026-08-09,ACH DR RAZORPAY REFUND UTR202608000095,UTR202608000095,-3200.00,1061830.70,debited
BNK-0096,2026-08-09,ACH DR RAZORPAY REFUND UTR202608000096,UTR202608000096,-3600.00,1058230.70,debited
BNK-0097,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000097,UTR202608000097,4500.00,1062730.70,credited
BNK-0098,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000098,UTR202608000098,5000.00,1067730.70,credited
BNK-0099,2026-08-06,MISC BANK CHARGES UNRELATED,MISC-REF-99,-50.00,1067730.70,debited
BNK-0100,2026-08-11,UNKNOWN ACH SETTLEMENT UTR-UNKNOWN-100,UTR-UNKNOWN-100,9999.00,1067730.70,credited
