settlement_id,order_id,amount,settlement_date,reference_number,status,fees,gst,tds
SET-0032,ORD-2026-EX-0032,4890.50,2026-08-03,UTR202608000032,settled,0.00,0.00,0.00
SET-0033,ORD-2026-EX-0033,5016.00,2026-08-04,UTR202608000033,settled,0.00,0.00,0.00
SET-0034,ORD-2026-EX-0034,5141.50,2026-08-05,UTR202608000034,settled,0.00,0.00,0.00
SET-0035,ORD-2026-EX-0035,5267.00,2026-08-06,UTR202608000035,settled,0.00,0.00,0.00
SET-0036,ORD-2026-EX-0036,5392.50,2026-08-07,UTR202608000036,settled,0.00,0.00,0.00
SET-0037,ORD-2026-EX-0037,5518.00,2026-08-08,UTR202608000037,settled,0.00,0.00,0.00
SET-0038,ORD-2026-EX-0038,5643.50,2026-08-09,UTR202608000038,settled,0.00,0.00,0.00
SET-0039,ORD-2026-EX-0039,5769.00,2026-08-10,UTR202608000039,settled,0.00,0.00,0.00
SET-0040,ORD-2026-EX-0040,5894.50,2026-08-11,UTR202608000040,settled,0.00,0.00,0.00
SET-0041,ORD-2026-EX-0041,6020.00,2026-08-12,UTR202608000041,settled,0.00,0.00,0.00
SET-0042,ORD-2026-EX-0042,6145.50,2026-08-13,UTR202608000042,settled,0.00,0.00,0.00
SET-0043,ORD-2026-EX-0043,6271.00,2026-08-14,UTR202608000043,settled,0.00,0.00,0.00
SET-0044,ORD-2026-EX-0044,6396.50,2026-08-15,UTR202608000044,settled,0.00,0.00,0.00
SET-0045,ORD-2026-EX-0045,6522.00,2026-08-16,UTR202608000045,settled,0.00,0.00,0.00
SET-0046,ORD-2026-EX-0046,6647.50,2026-08-02,UTR202608000046,settled,0.00,0.00,0.00
SET-0047,ORD-2026-EX-0047,6773.00,2026-08-03,UTR202608000047,settled,0.00,0.00,0.00
SET-0048,ORD-2026-EX-0048,6898.50,2026-08-04,UTR202608000048,settled,0.00,0.00,0.00
SET-0049,ORD-2026-EX-0049,7024.00,2026-08-05,UTR202608000049,settled,0.00,0.00,0.00
SET-0050,ORD-2026-EX-0050,7149.50,2026-08-06,UTR202608000050,settled,0.00,0.00,0.00
SET-0051,ORD-2026-EX-0051,7275.00,2026-08-07,UTR202608000051,settled,0.00,0.00,0.00
SET-0052,ORD-2026-EX-0052,7400.50,2026-08-08,UTR202608000052,settled,0.00,0.00,0.00
SET-0053,ORD-2026-EX-0053,7526.00,2026-08-09,UTR202608000053,settled,0.00,0.00,0.00
SET-0054,ORD-2026-EX-0054,7651.50,2026-08-10,UTR202608000054,settled,0.00,0.00,0.00
SET-0055,ORD-2026-EX-0055,7777.00,2026-08-11,UTR202608000055,settled,0.00,0.00,0.00
SET-0056,ORD-2026-EX-0056,7902.50,2026-08-12,UTR202608000056,settled,0.00,0.00,0.00
SET-0057,ORD-2026-EX-0057,8028.00,2026-08-13,UTR202608000057,settled,0.00,0.00,0.00
SET-0058,ORD-2026-EX-0058,8153.50,2026-08-14,UTR202608000058,settled,0.00,0.00,0.00
SET-0059,ORD-2026-EX-0059,8279.00,2026-08-15,UTR202608000059,settled,0.00,0.00,0.00
SET-0060,ORD-2026-EX-0060,8404.50,2026-08-16,UTR202608000060,settled,0.00,0.00,0.00
SET-0061,ORD-2026-EX-0061,8530.00,2026-08-02,UTR202608000061,settled,0.00,0.00,0.00
SET-0062,ORD-2026-EX-0062,8655.50,2026-08-03,UTR202608000062,settled,0.00,0.00,0.00
SET-0063,ORD-2026-EX-0063,8781.00,2026-08-04,UTR202608000063,settled,0.00,0.00,0.00
SET-0064,ORD-2026-EX-0064,8906.50,2026-08-05,UTR202608000064,settled,0.00,0.00,0.00
SET-0065,ORD-2026-EX-0065,9032.00,2026-08-06,UTR202608000065,settled,0.00,0.00,0.00
SET-0066,ORD-2026-EX-0066,9157.50,2026-08-07,UTR202608000066,settled,0.00,0.00,0.00
SET-0067,ORD-2026-EX-0067,9283.00,2026-08-08,UTR202608000067,settled,0.00,0.00,0.00
SET-0068,ORD-2026-EX-0068,9408.50,2026-08-09,UTR202608000068,settled,0.00,0.00,0.00
SET-0069,ORD-2026-EX-0069,9534.00,2026-08-10,UTR202608000069,settled,0.00,0.00,0.00
SET-0070,ORD-2026-EX-0070,9659.50,2026-08-11,UTR202608000070,settled,0.00,0.00,0.00
SET-0071,ORD-2026-FEE-0071,4900.00,2026-08-02,UTR202608000071,settled,100.00,0.00,0.00
SET-0072,ORD-2026-FEE-0072,5194.00,2026-08-03,UTR202608000072,settled,106.00,0.00,0.00
SET-0073,ORD-2026-FEE-0073,5488.00,2026-08-04,UTR202608000073,settled,112.00,0.00,0.00
SET-0074,ORD-2026-FEE-0074,5782.00,2026-08-05,UTR202608000074,settled,118.00,0.00,0.00
SET-0075,ORD-2026-FEE-0075,6076.00,2026-08-06,UTR202608000075,settled,124.00,0.00,0.00
SET-0076,ORD-2026-FEE-0076,6370.00,2026-08-07,UTR202608000076,settled,130.00,0.00,0.00
SET-0077,ORD-2026-FEE-0077,6664.00,2026-08-08,UTR202608000077,settled,136.00,0.00,0.00
SET-0078,ORD-2026-FEE-0078,6958.00,2026-08-09,UTR202608000078,settled,142.00,0.00,0.00
SET-0079,ORD-2026-GST-0079,7811.20,2026-08-02,UTR202608000079,settled,160.00,28.80,0.00
SET-0080,ORD-2026-GST-0080,8250.58,2026-08-03,UTR202608000080,settled,169.00,30.42,0.00
SET-0081,ORD-2026-GST-0081,8689.96,2026-08-04,UTR202608000081,settled,178.00,32.04,0.00
SET-0082,ORD-2026-GST-0082,9129.34,2026-08-05,UTR202608000082,settled,187.00,33.66,0.00
SET-0083,ORD-2026-GST-0083,9568.72,2026-08-06,UTR202608000083,settled,196.00,35.28,0.00
SET-0084,ORD-2026-TDS-0084,14496.00,2026-08-02,UTR202608000084,settled,300.00,54.00,150.00
SET-0085,ORD-2026-TDS-0085,15462.40,2026-08-03,UTR202608000085,settled,320.00,57.60,160.00
SET-0086,ORD-2026-TDS-0086,16428.80,2026-08-04,UTR202608000086,settled,340.00,61.20,170.00
SET-0087,ORD-2026-AI-0087,11970.00,2026-08-04,UTR202608000087,settled,30.00,0.00,0.00
SET-0088,ORD-2026-AI-0088,24955.00,2026-08-04,UTR202608000088,settled,45.00,0.00,0.00
SET-0089,ORD-2026-AI-0089,18450.00,2026-08-04,UTR202608000089,settled,50.00,0.00,0.00
SET-0090,ORD-2026-AI-0090,31935.00,2026-08-04,UTR202608000090,settled,65.00,0.00,0.00
SET-0091,ORD-2026-AI-0091,14165.00,2026-08-04,UTR202608000091,settled,35.00,0.00,0.00
SET-0092,ORD-2026-AI-0092,20960.00,2026-08-04,UTR202608000092,settled,40.00,0.00,0.00
SET-0093,ORD-2026-DELAY-0093,9500.00,2026-08-19,UTR202608000093,pending,0.00,0.00,0.00
SET-0094,ORD-2026-DELAY-0094,10000.00,2026-08-19,UTR202608000094,pending,0.00,0.00,0.00
SET-0095,ORD-2026-REF-0095,-3200.00,2026-08-09,UTR202608000095,refund_processed,0.00,0.00,0.00
SET-0096,ORD-2026-REF-0096,-3600.00,2026-08-09,UTR202608000096,refund_processed,0.00,0.00,0.00
SET-0097,ORD-2026-DUP-0097,6800.00,2026-08-06,UTR202608000097,settled,0.00,0.00,0.00
SET-0098,ORD-2026-DUP-0097,6800.00,2026-08-06,UTR202608000098,settled,0.00,0.00,0.00
SET-0099,ORD-2026-MISS-0099,11000.00,2026-08-05,UTR202608000099,settled,0.00,0.00,0.00
SET-0100,ORD-2026-UNK-0100,5432.10,2026-08-11,UTR-UNKNOWN-100,settled,12.34,2.22,0.00
