settlement_id,booking_id,net_settlement,payout_date,utr_number,status,convenience_fee,gst_deduction,tds_amount
SET-TRAV-00051,ORD-TRAV-EX-00051,"₹61,250.00",2026-08-04,UTRTRAV2026080000051,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00052,ORD-TRAV-EX-00052,"₹62,425.00",2026-08-05,UTRTRAV2026080000052,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00053,ORD-TRAV-EX-00053,"₹63,600.00",2026-08-06,UTRTRAV2026080000053,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00054,ORD-TRAV-EX-00054,"₹64,775.00",2026-08-07,UTRTRAV2026080000054,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00055,ORD-TRAV-EX-00055,"₹65,950.00",2026-08-08,UTRTRAV2026080000055,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00056,ORD-TRAV-EX-00056,"₹67,125.00",2026-08-09,UTRTRAV2026080000056,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00057,ORD-TRAV-EX-00057,"₹68,300.00",2026-08-10,UTRTRAV2026080000057,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00058,ORD-TRAV-EX-00058,"₹69,475.00",2026-08-11,UTRTRAV2026080000058,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00059,ORD-TRAV-EX-00059,"₹70,650.00",2026-08-12,UTRTRAV2026080000059,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00060,ORD-TRAV-EX-00060,"₹71,825.00",2026-08-13,UTRTRAV2026080000060,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00061,ORD-TRAV-EX-00061,"₹73,000.00",2026-08-14,UTRTRAV2026080000061,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00062,ORD-TRAV-EX-00062,"₹74,175.00",2026-08-15,UTRTRAV2026080000062,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00063,ORD-TRAV-EX-00063,"₹75,350.00",2026-08-16,UTRTRAV2026080000063,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00064,ORD-TRAV-EX-00064,"₹76,525.00",2026-08-17,UTRTRAV2026080000064,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00065,ORD-TRAV-EX-00065,"₹77,700.00",2026-08-18,UTRTRAV2026080000065,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00066,ORD-TRAV-EX-00066,"₹78,875.00",2026-08-19,UTRTRAV2026080000066,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00067,ORD-TRAV-EX-00067,"₹80,050.00",2026-08-20,UTRTRAV2026080000067,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00068,ORD-TRAV-EX-00068,"₹81,225.00",2026-08-21,UTRTRAV2026080000068,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00069,ORD-TRAV-EX-00069,"₹82,400.00",2026-08-22,UTRTRAV2026080000069,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00070,ORD-TRAV-EX-00070,"₹83,575.00",2026-08-23,UTRTRAV2026080000070,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00071,ORD-TRAV-FEE-00071,"₹14,000.62",2026-08-04,UTRTRAV2026080000071,settled,₹249.38,₹0.00,₹0.00
SET-TRAV-00072,ORD-TRAV-FEE-00072,"₹15,155.06",2026-08-05,UTRTRAV2026080000072,settled,₹269.94,₹0.00,₹0.00
SET-TRAV-00073,ORD-TRAV-FEE-00073,"₹16,309.50",2026-08-06,UTRTRAV2026080000073,settled,₹290.50,₹0.00,₹0.00
SET-TRAV-00074,ORD-TRAV-FEE-00074,"₹17,463.94",2026-08-07,UTRTRAV2026080000074,settled,₹311.06,₹0.00,₹0.00
SET-TRAV-00075,ORD-TRAV-FEE-00075,"₹18,618.37",2026-08-08,UTRTRAV2026080000075,settled,₹331.63,₹0.00,₹0.00
SET-TRAV-00076,ORD-TRAV-FEE-00076,"₹19,772.81",2026-08-09,UTRTRAV2026080000076,settled,₹352.19,₹0.00,₹0.00
SET-TRAV-00077,ORD-TRAV-FEE-00077,"₹20,927.25",2026-08-10,UTRTRAV2026080000077,settled,₹372.75,₹0.00,₹0.00
SET-TRAV-00078,ORD-TRAV-FEE-00078,"₹22,081.69",2026-08-11,UTRTRAV2026080000078,settled,₹393.31,₹0.00,₹0.00
SET-TRAV-00079,ORD-TRAV-GST-00079,"₹25,463.10",2026-08-04,UTRTRAV2026080000079,settled,₹455.00,₹81.90,₹0.00
SET-TRAV-00080,ORD-TRAV-GST-00080,"₹26,613.84",2026-08-05,UTRTRAV2026080000080,settled,₹475.56,₹85.60,₹0.00
SET-TRAV-00081,ORD-TRAV-GST-00081,"₹27,764.57",2026-08-06,UTRTRAV2026080000081,settled,₹496.13,₹89.30,₹0.00
SET-TRAV-00082,ORD-TRAV-GST-00082,"₹28,915.31",2026-08-07,UTRTRAV2026080000082,settled,₹516.69,₹93.00,₹0.00
SET-TRAV-00083,ORD-TRAV-GST-00083,"₹30,066.04",2026-08-08,UTRTRAV2026080000083,settled,₹537.25,₹96.71,₹0.00
SET-TRAV-00084,ORD-TRAV-TDS-00084,"₹36,592.96",2026-08-04,UTRTRAV2026080000084,settled,₹660.63,₹118.91,₹377.50
SET-TRAV-00085,ORD-TRAV-TDS-00085,"₹37,731.95",2026-08-05,UTRTRAV2026080000085,settled,₹681.19,₹122.61,₹389.25
SET-TRAV-00086,ORD-TRAV-TDS-00086,"₹38,870.93",2026-08-06,UTRTRAV2026080000086,settled,₹701.75,₹126.32,₹401.00
SET-TRAV-00087,ORD-TRAV-AI-00087,"₹49,470.00",2026-08-04,UTRTRAV2026080000087,settled,₹30.00,₹0.00,₹0.00
SET-TRAV-00088,ORD-TRAV-AI-00088,"₹50,630.00",2026-08-05,UTRTRAV2026080000088,settled,₹45.00,₹0.00,₹0.00
SET-TRAV-00089,ORD-TRAV-AI-00089,"₹51,790.00",2026-08-06,UTRTRAV2026080000089,settled,₹60.00,₹0.00,₹0.00
SET-TRAV-00090,ORD-TRAV-AI-00090,"₹52,950.00",2026-08-07,UTRTRAV2026080000090,settled,₹75.00,₹0.00,₹0.00
SET-TRAV-00091,ORD-TRAV-AI-00091,"₹54,110.00",2026-08-08,UTRTRAV2026080000091,settled,₹90.00,₹0.00,₹0.00
SET-TRAV-00092,ORD-TRAV-AI-00092,"₹55,345.00",2026-08-09,UTRTRAV2026080000092,settled,₹30.00,₹0.00,₹0.00
SET-TRAV-00093,ORD-TRAV-EXC-00093,"₹-61,250.00",2026-08-01,UTRTRAV2026080000093,refund_processed,₹0.00,₹0.00,₹0.00
SET-TRAV-00094,ORD-TRAV-EXC-00094,"₹-62,425.00",2026-08-02,UTRTRAV2026080000094,refund_processed,₹0.00,₹0.00,₹0.00
SET-TRAV-00095,ORD-TRAV-EXC-00095,"₹63,600.00",2026-08-10,UTRTRAV2026080000095,pending,₹0.00,₹0.00,₹0.00
SET-TRAV-00096,ORD-TRAV-EXC-00096,"₹64,775.00",2026-08-11,UTRTRAV2026080000096,pending,₹0.00,₹0.00,₹0.00
SET-TRAV-00097,ORD-TRAV-EXC-00097,"₹-65,950.00",2026-08-05,UTRTRAV2026080000097,refund_processed,₹0.00,₹0.00,₹0.00
SET-TRAV-00098,ORD-TRAV-EXC-00098,"₹-67,125.00",2026-08-06,UTRTRAV2026080000098,refund_processed,₹0.00,₹0.00,₹0.00
SET-TRAV-00099,ORD-TRAV-EXC-00099,"₹68,300.00",2026-08-14,UTRTRAV2026080000099,pending,₹0.00,₹0.00,₹0.00
SET-TRAV-00100,ORD-TRAV-EXC-00100,"₹69,475.00",2026-08-15,UTRTRAV2026080000100,pending,₹0.00,₹0.00,₹0.00
