document_number,po_number,total_invoice_val,created_at,client_entity_name,status
INV-ENTE-00025,ORD-ENTE-EX-00025,"₹ 215,400.00",2026/08/25,Client_ENTE_25,paid
INV-ENTE-00026,ORD-ENTE-EX-00026,"₹ 223,750.00",2026/08/01,Client_ENTE_26,paid
INV-ENTE-00027,ORD-ENTE-EX-00027,"₹ 232,100.00",2026/08/02,Client_ENTE_27,paid
INV-ENTE-00028,ORD-ENTE-EX-00028,"₹ 240,450.00",2026/08/03,Client_ENTE_28,paid
INV-ENTE-00029,ORD-ENTE-EX-00029,"₹ 248,800.00",2026/08/04,Client_ENTE_29,paid
INV-ENTE-00030,ORD-ENTE-EX-00030,"₹ 257,150.00",2026/08/05,Client_ENTE_30,paid
INV-ENTE-00031,ORD-ENTE-EX-00031,"₹ 265,500.00",2026/08/06,Client_ENTE_31,paid
INV-ENTE-00032,ORD-ENTE-EX-00032,"₹ 273,850.00",2026/08/07,Client_ENTE_32,paid
INV-ENTE-00033,ORD-ENTE-EX-00033,"₹ 282,200.00",2026/08/08,Client_ENTE_33,paid
INV-ENTE-00034,ORD-ENTE-EX-00034,"₹ 290,550.00",2026/08/09,Client_ENTE_34,paid
INV-ENTE-00035,ORD-ENTE-EX-00035,"₹ 298,900.00",2026/08/10,Client_ENTE_35,paid
INV-ENTE-00036,ORD-ENTE-EX-00036,"₹ 307,250.00",2026/08/11,Client_ENTE_36,paid
INV-ENTE-00037,ORD-ENTE-EX-00037,"₹ 315,600.00",2026/08/12,Client_ENTE_37,paid
INV-ENTE-00038,ORD-ENTE-EX-00038,"₹ 323,950.00",2026/08/13,Client_ENTE_38,paid
INV-ENTE-00039,ORD-ENTE-EX-00039,"₹ 332,300.00",2026/08/14,Client_ENTE_39,paid
INV-ENTE-00040,ORD-ENTE-EX-00040,"₹ 340,650.00",2026/08/15,Client_ENTE_40,paid
INV-ENTE-00041,ORD-ENTE-EX-00041,"₹ 349,000.00",2026/08/16,Client_ENTE_41,paid
INV-ENTE-00042,ORD-ENTE-EX-00042,"₹ 357,350.00",2026/08/17,Client_ENTE_42,paid
INV-ENTE-00043,ORD-ENTE-EX-00043,"₹ 365,700.00",2026/08/18,Client_ENTE_43,paid
INV-ENTE-00044,ORD-ENTE-EX-00044,"₹ 374,050.00",2026/08/19,Client_ENTE_44,paid
INV-ENTE-00045,ORD-ENTE-EX-00045,"₹ 382,400.00",2026/08/20,Client_ENTE_45,paid
INV-ENTE-00046,ORD-ENTE-EX-00046,"₹ 390,750.00",2026/08/21,Client_ENTE_46,paid
INV-ENTE-00047,ORD-ENTE-EX-00047,"₹ 399,100.00",2026/08/22,Client_ENTE_47,paid
INV-ENTE-00048,ORD-ENTE-EX-00048,"₹ 407,450.00",2026/08/23,Client_ENTE_48,paid
INV-ENTE-00049,ORD-ENTE-EX-00049,"₹ 415,800.00",2026/08/24,Client_ENTE_49,paid
INV-ENTE-00050,ORD-ENTE-EX-00050,"₹ 424,150.00",2026/08/25,Client_ENTE_50,paid
INV-ENTE-00051,ORD-ENTE-EX-00051,"₹ 432,500.00",2026/08/01,Client_ENTE_51,paid
INV-ENTE-00052,ORD-ENTE-EX-00052,"₹ 440,850.00",2026/08/02,Client_ENTE_52,paid
INV-ENTE-00053,ORD-ENTE-EX-00053,"₹ 449,200.00",2026/08/03,Client_ENTE_53,paid
INV-ENTE-00054,ORD-ENTE-EX-00054,"₹ 457,550.00",2026/08/04,Client_ENTE_54,paid
INV-ENTE-00055,ORD-ENTE-EX-00055,"₹ 465,900.00",2026/08/05,Client_ENTE_55,paid
INV-ENTE-00056,ORD-ENTE-EX-00056,"₹ 474,250.00",2026/08/06,Client_ENTE_56,paid
INV-ENTE-00057,ORD-ENTE-EX-00057,"₹ 482,600.00",2026/08/07,Client_ENTE_57,paid
INV-ENTE-00058,ORD-ENTE-EX-00058,"₹ 490,950.00",2026/08/08,Client_ENTE_58,paid
INV-ENTE-00059,ORD-ENTE-EX-00059,"₹ 499,300.00",2026/08/09,Client_ENTE_59,paid
INV-ENTE-00060,ORD-ENTE-EX-00060,"₹ 507,650.00",2026/08/10,Client_ENTE_60,paid
INV-ENTE-00061,ORD-ENTE-EX-00061,"₹ 516,000.00",2026/08/11,Client_ENTE_61,paid
INV-ENTE-00062,ORD-ENTE-EX-00062,"₹ 524,350.00",2026/08/12,Client_ENTE_62,paid
INV-ENTE-00063,ORD-ENTE-EX-00063,"₹ 532,700.00",2026/08/13,Client_ENTE_63,paid
INV-ENTE-00064,ORD-ENTE-EX-00064,"₹ 541,050.00",2026/08/14,Client_ENTE_64,paid
INV-ENTE-00065,ORD-ENTE-EX-00065,"₹ 549,400.00",2026/08/15,Client_ENTE_65,paid
INV-ENTE-00066,ORD-ENTE-EX-00066,"₹ 557,750.00",2026/08/16,Client_ENTE_66,paid
INV-ENTE-00067,ORD-ENTE-EX-00067,"₹ 566,100.00",2026/08/17,Client_ENTE_67,paid
INV-ENTE-00068,ORD-ENTE-EX-00068,"₹ 574,450.00",2026/08/18,Client_ENTE_68,paid
INV-ENTE-00069,ORD-ENTE-EX-00069,"₹ 582,800.00",2026/08/19,Client_ENTE_69,paid
INV-ENTE-00070,ORD-ENTE-EX-00070,"₹ 591,150.00",2026/08/20,Client_ENTE_70,paid
INV-ENTE-00071,ORD-ENTE-FEE-00071,"₹ 98,500.00",2026/08/01,Client_ENTE_71,paid
INV-ENTE-00072,ORD-ENTE-FEE-00072,"₹ 106,850.00",2026/08/02,Client_ENTE_72,paid
INV-ENTE-00073,ORD-ENTE-FEE-00073,"₹ 115,200.00",2026/08/03,Client_ENTE_73,paid
INV-ENTE-00074,ORD-ENTE-FEE-00074,"₹ 123,550.00",2026/08/04,Client_ENTE_74,paid
INV-ENTE-00075,ORD-ENTE-FEE-00075,"₹ 131,900.00",2026/08/05,Client_ENTE_75,paid
INV-ENTE-00076,ORD-ENTE-FEE-00076,"₹ 140,250.00",2026/08/06,Client_ENTE_76,paid
INV-ENTE-00077,ORD-ENTE-FEE-00077,"₹ 148,600.00",2026/08/07,Client_ENTE_77,paid
INV-ENTE-00078,ORD-ENTE-FEE-00078,"₹ 156,950.00",2026/08/08,Client_ENTE_78,paid
INV-ENTE-00079,ORD-ENTE-GST-00079,"₹ 182,000.00",2026/08/01,Client_ENTE_79,paid
INV-ENTE-00080,ORD-ENTE-GST-00080,"₹ 190,350.00",2026/08/02,Client_ENTE_80,paid
INV-ENTE-00081,ORD-ENTE-GST-00081,"₹ 198,700.00",2026/08/03,Client_ENTE_81,paid
INV-ENTE-00082,ORD-ENTE-GST-00082,"₹ 207,050.00",2026/08/04,Client_ENTE_82,paid
INV-ENTE-00083,ORD-ENTE-GST-00083,"₹ 215,400.00",2026/08/05,Client_ENTE_83,paid
INV-ENTE-00084,ORD-ENTE-TDS-00084,"₹ 265,500.00",2026/08/01,Client_ENTE_84,paid
INV-ENTE-00085,ORD-ENTE-TDS-00085,"₹ 273,850.00",2026/08/02,Client_ENTE_85,paid
INV-ENTE-00086,ORD-ENTE-TDS-00086,"₹ 282,200.00",2026/08/03,Client_ENTE_86,paid
INV-ENTE-00087,ORD-ENTE-AI-00087,"₹ 349,000.00",2026/08/01,Client_ENTE_87,paid
INV-ENTE-00088,ORD-ENTE-AI-00088,"₹ 357,350.00",2026/08/02,Client_ENTE_88,paid
INV-ENTE-00089,ORD-ENTE-AI-00089,"₹ 365,700.00",2026/08/03,Client_ENTE_89,paid
INV-ENTE-00090,ORD-ENTE-AI-00090,"₹ 374,050.00",2026/08/04,Client_ENTE_90,paid
INV-ENTE-00091,ORD-ENTE-AI-00091,"₹ 382,400.00",2026/08/05,Client_ENTE_91,paid
INV-ENTE-00092,ORD-ENTE-AI-00092,"₹ 390,750.00",2026/08/06,Client_ENTE_92,paid
INV-ENTE-00093,ORD-ENTE-EXC-00093,"₹ 432,500.00",2026/08/01,Client_ENTE_93,pending_settlement
INV-ENTE-00094,ORD-ENTE-EXC-00094,"₹ 440,850.00",2026/08/02,Client_ENTE_94,paid
INV-ENTE-00095,ORD-ENTE-EXC-00095,"₹ 449,200.00",2026/08/03,Client_ENTE_95,pending_settlement
INV-ENTE-00096,ORD-ENTE-EXC-00096,"₹ 457,550.00",2026/08/04,Client_ENTE_96,pending_settlement
INV-ENTE-00097,ORD-ENTE-EXC-00097,"₹ 465,900.00",2026/08/05,Client_ENTE_97,pending_settlement
INV-ENTE-00098,ORD-ENTE-EXC-00098,"₹ 474,250.00",2026/08/06,Client_ENTE_98,pending_settlement
INV-ENTE-00099,ORD-ENTE-EXC-00099,"₹ 482,600.00",2026/08/07,Client_ENTE_99,paid
INV-ENTE-00100,ORD-ENTE-EXC-00100,"₹ 490,950.00",2026/08/08,Client_ENTE_100,pending_settlement
