batch_id,po_number,net_amount,value_date,payment_reference,status,charges,tax,tds_amount
SET-ENTE-00019,ORD-ENTE-EX-00019,"₹ 165,300.00",2026/08/23,UTRENTE2026080000019,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00020,ORD-ENTE-EX-00020,"₹ 173,650.00",2026/08/24,UTRENTE2026080000020,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00021,ORD-ENTE-EX-00021,"₹ 182,000.00",2026/08/25,UTRENTE2026080000021,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00022,ORD-ENTE-EX-00022,"₹ 190,350.00",2026/08/26,UTRENTE2026080000022,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00023,ORD-ENTE-EX-00023,"₹ 198,700.00",2026/08/27,UTRENTE2026080000023,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00024,ORD-ENTE-EX-00024,"₹ 207,050.00",2026/08/28,UTRENTE2026080000024,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00025,ORD-ENTE-EX-00025,"₹ 215,400.00",2026/08/29,UTRENTE2026080000025,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00026,ORD-ENTE-EX-00026,"₹ 223,750.00",2026/08/05,UTRENTE2026080000026,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00027,ORD-ENTE-EX-00027,"₹ 232,100.00",2026/08/06,UTRENTE2026080000027,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00028,ORD-ENTE-EX-00028,"₹ 240,450.00",2026/08/07,UTRENTE2026080000028,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00029,ORD-ENTE-EX-00029,"₹ 248,800.00",2026/08/08,UTRENTE2026080000029,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00030,ORD-ENTE-EX-00030,"₹ 257,150.00",2026/08/09,UTRENTE2026080000030,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00031,ORD-ENTE-EX-00031,"₹ 265,500.00",2026/08/10,UTRENTE2026080000031,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00032,ORD-ENTE-EX-00032,"₹ 273,850.00",2026/08/11,UTRENTE2026080000032,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00033,ORD-ENTE-EX-00033,"₹ 282,200.00",2026/08/12,UTRENTE2026080000033,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00034,ORD-ENTE-EX-00034,"₹ 290,550.00",2026/08/13,UTRENTE2026080000034,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00035,ORD-ENTE-EX-00035,"₹ 298,900.00",2026/08/14,UTRENTE2026080000035,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00036,ORD-ENTE-EX-00036,"₹ 307,250.00",2026/08/15,UTRENTE2026080000036,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00037,ORD-ENTE-EX-00037,"₹ 315,600.00",2026/08/16,UTRENTE2026080000037,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00038,ORD-ENTE-EX-00038,"₹ 323,950.00",2026/08/17,UTRENTE2026080000038,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00039,ORD-ENTE-EX-00039,"₹ 332,300.00",2026/08/18,UTRENTE2026080000039,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00040,ORD-ENTE-EX-00040,"₹ 340,650.00",2026/08/19,UTRENTE2026080000040,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00041,ORD-ENTE-EX-00041,"₹ 349,000.00",2026/08/20,UTRENTE2026080000041,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00042,ORD-ENTE-EX-00042,"₹ 357,350.00",2026/08/21,UTRENTE2026080000042,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00043,ORD-ENTE-EX-00043,"₹ 365,700.00",2026/08/22,UTRENTE2026080000043,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00044,ORD-ENTE-EX-00044,"₹ 374,050.00",2026/08/23,UTRENTE2026080000044,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00045,ORD-ENTE-EX-00045,"₹ 382,400.00",2026/08/24,UTRENTE2026080000045,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00046,ORD-ENTE-EX-00046,"₹ 390,750.00",2026/08/25,UTRENTE2026080000046,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00047,ORD-ENTE-EX-00047,"₹ 399,100.00",2026/08/26,UTRENTE2026080000047,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00048,ORD-ENTE-EX-00048,"₹ 407,450.00",2026/08/27,UTRENTE2026080000048,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00049,ORD-ENTE-EX-00049,"₹ 415,800.00",2026/08/28,UTRENTE2026080000049,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00050,ORD-ENTE-EX-00050,"₹ 424,150.00",2026/08/29,UTRENTE2026080000050,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00051,ORD-ENTE-EX-00051,"₹ 432,500.00",2026/08/05,UTRENTE2026080000051,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00052,ORD-ENTE-EX-00052,"₹ 440,850.00",2026/08/06,UTRENTE2026080000052,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00053,ORD-ENTE-EX-00053,"₹ 449,200.00",2026/08/07,UTRENTE2026080000053,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00054,ORD-ENTE-EX-00054,"₹ 457,550.00",2026/08/08,UTRENTE2026080000054,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00055,ORD-ENTE-EX-00055,"₹ 465,900.00",2026/08/09,UTRENTE2026080000055,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00056,ORD-ENTE-EX-00056,"₹ 474,250.00",2026/08/10,UTRENTE2026080000056,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00057,ORD-ENTE-EX-00057,"₹ 482,600.00",2026/08/11,UTRENTE2026080000057,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00058,ORD-ENTE-EX-00058,"₹ 490,950.00",2026/08/12,UTRENTE2026080000058,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00059,ORD-ENTE-EX-00059,"₹ 499,300.00",2026/08/13,UTRENTE2026080000059,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00060,ORD-ENTE-EX-00060,"₹ 507,650.00",2026/08/14,UTRENTE2026080000060,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00061,ORD-ENTE-EX-00061,"₹ 516,000.00",2026/08/15,UTRENTE2026080000061,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00062,ORD-ENTE-EX-00062,"₹ 524,350.00",2026/08/16,UTRENTE2026080000062,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00063,ORD-ENTE-EX-00063,"₹ 532,700.00",2026/08/17,UTRENTE2026080000063,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00064,ORD-ENTE-EX-00064,"₹ 541,050.00",2026/08/18,UTRENTE2026080000064,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00065,ORD-ENTE-EX-00065,"₹ 549,400.00",2026/08/19,UTRENTE2026080000065,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00066,ORD-ENTE-EX-00066,"₹ 557,750.00",2026/08/20,UTRENTE2026080000066,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00067,ORD-ENTE-EX-00067,"₹ 566,100.00",2026/08/21,UTRENTE2026080000067,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00068,ORD-ENTE-EX-00068,"₹ 574,450.00",2026/08/22,UTRENTE2026080000068,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00069,ORD-ENTE-EX-00069,"₹ 582,800.00",2026/08/23,UTRENTE2026080000069,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00070,ORD-ENTE-EX-00070,"₹ 591,150.00",2026/08/24,UTRENTE2026080000070,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00071,ORD-ENTE-FEE-00071,"₹ 97,022.50",2026/08/05,UTRENTE2026080000071,settled,"₹ 1,477.50",₹ 0.00,₹ 0.00
SET-ENTE-00072,ORD-ENTE-FEE-00072,"₹ 105,247.25",2026/08/06,UTRENTE2026080000072,settled,"₹ 1,602.75",₹ 0.00,₹ 0.00
SET-ENTE-00073,ORD-ENTE-FEE-00073,"₹ 113,472.00",2026/08/07,UTRENTE2026080000073,settled,"₹ 1,728.00",₹ 0.00,₹ 0.00
SET-ENTE-00074,ORD-ENTE-FEE-00074,"₹ 121,696.75",2026/08/08,UTRENTE2026080000074,settled,"₹ 1,853.25",₹ 0.00,₹ 0.00
SET-ENTE-00075,ORD-ENTE-FEE-00075,"₹ 129,921.50",2026/08/09,UTRENTE2026080000075,settled,"₹ 1,978.50",₹ 0.00,₹ 0.00
SET-ENTE-00076,ORD-ENTE-FEE-00076,"₹ 138,146.25",2026/08/10,UTRENTE2026080000076,settled,"₹ 2,103.75",₹ 0.00,₹ 0.00
SET-ENTE-00077,ORD-ENTE-FEE-00077,"₹ 146,371.00",2026/08/11,UTRENTE2026080000077,settled,"₹ 2,229.00",₹ 0.00,₹ 0.00
SET-ENTE-00078,ORD-ENTE-FEE-00078,"₹ 154,595.75",2026/08/12,UTRENTE2026080000078,settled,"₹ 2,354.25",₹ 0.00,₹ 0.00
SET-ENTE-00079,ORD-ENTE-GST-00079,"₹ 178,778.60",2026/08/05,UTRENTE2026080000079,settled,"₹ 2,730.00",₹ 491.40,₹ 0.00
SET-ENTE-00080,ORD-ENTE-GST-00080,"₹ 186,980.80",2026/08/06,UTRENTE2026080000080,settled,"₹ 2,855.25",₹ 513.95,₹ 0.00
SET-ENTE-00081,ORD-ENTE-GST-00081,"₹ 195,183.01",2026/08/07,UTRENTE2026080000081,settled,"₹ 2,980.50",₹ 536.49,₹ 0.00
SET-ENTE-00082,ORD-ENTE-GST-00082,"₹ 203,385.21",2026/08/08,UTRENTE2026080000082,settled,"₹ 3,105.75",₹ 559.04,₹ 0.00
SET-ENTE-00083,ORD-ENTE-GST-00083,"₹ 211,587.42",2026/08/09,UTRENTE2026080000083,settled,"₹ 3,231.00",₹ 581.58,₹ 0.00
SET-ENTE-00084,ORD-ENTE-TDS-00084,"₹ 258,145.65",2026/08/05,UTRENTE2026080000084,settled,"₹ 3,982.50",₹ 716.85,"₹ 2,655.00"
SET-ENTE-00085,ORD-ENTE-TDS-00085,"₹ 266,264.35",2026/08/06,UTRENTE2026080000085,settled,"₹ 4,107.75",₹ 739.40,"₹ 2,738.50"
SET-ENTE-00086,ORD-ENTE-TDS-00086,"₹ 274,383.06",2026/08/07,UTRENTE2026080000086,settled,"₹ 4,233.00",₹ 761.94,"₹ 2,822.00"
SET-ENTE-00087,ORD-ENTE-AI-00087,"₹ 348,970.00",2026/08/05,UTRENTE2026080000087,settled,₹ 30.00,₹ 0.00,₹ 0.00
SET-ENTE-00088,ORD-ENTE-AI-00088,"₹ 357,305.00",2026/08/06,UTRENTE2026080000088,settled,₹ 45.00,₹ 0.00,₹ 0.00
SET-ENTE-00089,ORD-ENTE-AI-00089,"₹ 365,640.00",2026/08/07,UTRENTE2026080000089,settled,₹ 60.00,₹ 0.00,₹ 0.00
SET-ENTE-00090,ORD-ENTE-AI-00090,"₹ 373,975.00",2026/08/08,UTRENTE2026080000090,settled,₹ 75.00,₹ 0.00,₹ 0.00
SET-ENTE-00091,ORD-ENTE-AI-00091,"₹ 382,310.00",2026/08/09,UTRENTE2026080000091,settled,₹ 90.00,₹ 0.00,₹ 0.00
SET-ENTE-00092,ORD-ENTE-AI-00092,"₹ 390,720.00",2026/08/10,UTRENTE2026080000092,settled,₹ 30.00,₹ 0.00,₹ 0.00
SET-ENTE-00093,ORD-ENTE-EXC-00093,"₹ 432,500.00",2026/08/09,UTRENTE2026080000093,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00094,ORD-ENTE-EXC-00094,"₹ 440,850.00",2026/08/10,UTRENTE2026080000094,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00095,ORD-ENTE-EXC-00095,"₹ 449,200.00",2026/08/11,UTRENTE2026080000095,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00096,ORD-ENTE-EXC-00096,"₹ 457,550.00",2026/08/12,UTRENTE2026080000096,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00097,ORD-ENTE-EXC-00097,"₹ 465,900.00",2026/08/13,UTRENTE2026080000097,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00098,ORD-ENTE-EXC-00098,"₹ 474,250.00",2026/08/14,UTRENTE2026080000098,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00099,ORD-ENTE-EXC-00099,"₹ 482,600.00",2026/08/15,UTRENTE2026080000099,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00100,ORD-ENTE-EXC-00100,"₹ 490,950.00",2026/08/16,UTRENTE2026080000100,pending,₹ 0.00,₹ 0.00,₹ 0.00
