line_id,booking_date,description,payment_reference,amount,ledger_balance,status
BNK-ENTE-00014,2026/08/18,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000014,UTRENTE2026080000014,"₹ 123,550.00","₹ 5,969,850.00",credited
BNK-ENTE-00015,2026/08/19,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000015,UTRENTE2026080000015,"₹ 131,900.00","₹ 6,101,750.00",credited
BNK-ENTE-00016,2026/08/20,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000016,UTRENTE2026080000016,"₹ 140,250.00","₹ 6,242,000.00",credited
BNK-ENTE-00017,2026/08/21,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000017,UTRENTE2026080000017,"₹ 148,600.00","₹ 6,390,600.00",credited
BNK-ENTE-00018,2026/08/22,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000018,UTRENTE2026080000018,"₹ 156,950.00","₹ 6,547,550.00",credited
BNK-ENTE-00019,2026/08/23,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000019,UTRENTE2026080000019,"₹ 165,300.00","₹ 6,712,850.00",credited
BNK-ENTE-00020,2026/08/24,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000020,UTRENTE2026080000020,"₹ 173,650.00","₹ 6,886,500.00",credited
BNK-ENTE-00021,2026/08/25,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000021,UTRENTE2026080000021,"₹ 182,000.00","₹ 7,068,500.00",credited
BNK-ENTE-00022,2026/08/26,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000022,UTRENTE2026080000022,"₹ 190,350.00","₹ 7,258,850.00",credited
BNK-ENTE-00023,2026/08/27,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000023,UTRENTE2026080000023,"₹ 198,700.00","₹ 7,457,550.00",credited
BNK-ENTE-00024,2026/08/28,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000024,UTRENTE2026080000024,"₹ 207,050.00","₹ 7,664,600.00",credited
BNK-ENTE-00025,2026/08/29,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000025,UTRENTE2026080000025,"₹ 215,400.00","₹ 7,880,000.00",credited
BNK-ENTE-00026,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000026,UTRENTE2026080000026,"₹ 223,750.00","₹ 8,103,750.00",credited
BNK-ENTE-00027,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000027,UTRENTE2026080000027,"₹ 232,100.00","₹ 8,335,850.00",credited
BNK-ENTE-00028,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000028,UTRENTE2026080000028,"₹ 240,450.00","₹ 8,576,300.00",credited
BNK-ENTE-00029,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000029,UTRENTE2026080000029,"₹ 248,800.00","₹ 8,825,100.00",credited
BNK-ENTE-00030,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000030,UTRENTE2026080000030,"₹ 257,150.00","₹ 9,082,250.00",credited
BNK-ENTE-00031,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000031,UTRENTE2026080000031,"₹ 265,500.00","₹ 9,347,750.00",credited
BNK-ENTE-00032,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000032,UTRENTE2026080000032,"₹ 273,850.00","₹ 9,621,600.00",credited
BNK-ENTE-00033,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000033,UTRENTE2026080000033,"₹ 282,200.00","₹ 9,903,800.00",credited
BNK-ENTE-00034,2026/08/13,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000034,UTRENTE2026080000034,"₹ 290,550.00","₹ 10,194,350.00",credited
BNK-ENTE-00035,2026/08/14,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000035,UTRENTE2026080000035,"₹ 298,900.00","₹ 10,493,250.00",credited
BNK-ENTE-00036,2026/08/15,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000036,UTRENTE2026080000036,"₹ 307,250.00","₹ 10,800,500.00",credited
BNK-ENTE-00037,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000037,UTRENTE2026080000037,"₹ 315,600.00","₹ 11,116,100.00",credited
BNK-ENTE-00038,2026/08/17,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000038,UTRENTE2026080000038,"₹ 323,950.00","₹ 11,440,050.00",credited
BNK-ENTE-00039,2026/08/18,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000039,UTRENTE2026080000039,"₹ 332,300.00","₹ 11,772,350.00",credited
BNK-ENTE-00040,2026/08/19,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000040,UTRENTE2026080000040,"₹ 340,650.00","₹ 12,113,000.00",credited
BNK-ENTE-00041,2026/08/20,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000041,UTRENTE2026080000041,"₹ 349,000.00","₹ 12,462,000.00",credited
BNK-ENTE-00042,2026/08/21,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000042,UTRENTE2026080000042,"₹ 357,350.00","₹ 12,819,350.00",credited
BNK-ENTE-00043,2026/08/22,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000043,UTRENTE2026080000043,"₹ 365,700.00","₹ 13,185,050.00",credited
BNK-ENTE-00044,2026/08/23,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000044,UTRENTE2026080000044,"₹ 374,050.00","₹ 13,559,100.00",credited
BNK-ENTE-00045,2026/08/24,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000045,UTRENTE2026080000045,"₹ 382,400.00","₹ 13,941,500.00",credited
BNK-ENTE-00046,2026/08/25,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000046,UTRENTE2026080000046,"₹ 390,750.00","₹ 14,332,250.00",credited
BNK-ENTE-00047,2026/08/26,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000047,UTRENTE2026080000047,"₹ 399,100.00","₹ 14,731,350.00",credited
BNK-ENTE-00048,2026/08/27,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000048,UTRENTE2026080000048,"₹ 407,450.00","₹ 15,138,800.00",credited
BNK-ENTE-00049,2026/08/28,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000049,UTRENTE2026080000049,"₹ 415,800.00","₹ 15,554,600.00",credited
BNK-ENTE-00050,2026/08/29,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000050,UTRENTE2026080000050,"₹ 424,150.00","₹ 15,978,750.00",credited
BNK-ENTE-00051,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000051,UTRENTE2026080000051,"₹ 432,500.00","₹ 16,411,250.00",credited
BNK-ENTE-00052,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000052,UTRENTE2026080000052,"₹ 440,850.00","₹ 16,852,100.00",credited
BNK-ENTE-00053,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000053,UTRENTE2026080000053,"₹ 449,200.00","₹ 17,301,300.00",credited
BNK-ENTE-00054,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000054,UTRENTE2026080000054,"₹ 457,550.00","₹ 17,758,850.00",credited
BNK-ENTE-00055,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000055,UTRENTE2026080000055,"₹ 465,900.00","₹ 18,224,750.00",credited
BNK-ENTE-00056,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000056,UTRENTE2026080000056,"₹ 474,250.00","₹ 18,699,000.00",credited
BNK-ENTE-00057,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000057,UTRENTE2026080000057,"₹ 482,600.00","₹ 19,181,600.00",credited
BNK-ENTE-00058,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000058,UTRENTE2026080000058,"₹ 490,950.00","₹ 19,672,550.00",credited
BNK-ENTE-00059,2026/08/13,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000059,UTRENTE2026080000059,"₹ 499,300.00","₹ 20,171,850.00",credited
BNK-ENTE-00060,2026/08/14,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000060,UTRENTE2026080000060,"₹ 507,650.00","₹ 20,679,500.00",credited
BNK-ENTE-00061,2026/08/15,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000061,UTRENTE2026080000061,"₹ 516,000.00","₹ 21,195,500.00",credited
BNK-ENTE-00062,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000062,UTRENTE2026080000062,"₹ 524,350.00","₹ 21,719,850.00",credited
BNK-ENTE-00063,2026/08/17,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000063,UTRENTE2026080000063,"₹ 532,700.00","₹ 22,252,550.00",credited
BNK-ENTE-00064,2026/08/18,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000064,UTRENTE2026080000064,"₹ 541,050.00","₹ 22,793,600.00",credited
BNK-ENTE-00065,2026/08/19,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000065,UTRENTE2026080000065,"₹ 549,400.00","₹ 23,343,000.00",credited
BNK-ENTE-00066,2026/08/20,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000066,UTRENTE2026080000066,"₹ 557,750.00","₹ 23,900,750.00",credited
BNK-ENTE-00067,2026/08/21,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000067,UTRENTE2026080000067,"₹ 566,100.00","₹ 24,466,850.00",credited
BNK-ENTE-00068,2026/08/22,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000068,UTRENTE2026080000068,"₹ 574,450.00","₹ 25,041,300.00",credited
BNK-ENTE-00069,2026/08/23,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000069,UTRENTE2026080000069,"₹ 582,800.00","₹ 25,624,100.00",credited
BNK-ENTE-00070,2026/08/24,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000070,UTRENTE2026080000070,"₹ 591,150.00","₹ 26,215,250.00",credited
BNK-ENTE-00071,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000071,UTRENTE2026080000071,"₹ 97,022.50","₹ 26,312,272.50",credited
BNK-ENTE-00072,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000072,UTRENTE2026080000072,"₹ 105,247.25","₹ 26,417,519.75",credited
BNK-ENTE-00073,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000073,UTRENTE2026080000073,"₹ 113,472.00","₹ 26,530,991.75",credited
BNK-ENTE-00074,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000074,UTRENTE2026080000074,"₹ 121,696.75","₹ 26,652,688.50",credited
BNK-ENTE-00075,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000075,UTRENTE2026080000075,"₹ 129,921.50","₹ 26,782,610.00",credited
BNK-ENTE-00076,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000076,UTRENTE2026080000076,"₹ 138,146.25","₹ 26,920,756.25",credited
BNK-ENTE-00077,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000077,UTRENTE2026080000077,"₹ 146,371.00","₹ 27,067,127.25",credited
BNK-ENTE-00078,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000078,UTRENTE2026080000078,"₹ 154,595.75","₹ 27,221,723.00",credited
BNK-ENTE-00079,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000079,UTRENTE2026080000079,"₹ 178,778.60","₹ 27,400,501.60",credited
BNK-ENTE-00080,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000080,UTRENTE2026080000080,"₹ 186,980.80","₹ 27,587,482.40",credited
BNK-ENTE-00081,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000081,UTRENTE2026080000081,"₹ 195,183.01","₹ 27,782,665.41",credited
BNK-ENTE-00082,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000082,UTRENTE2026080000082,"₹ 203,385.21","₹ 27,986,050.62",credited
BNK-ENTE-00083,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000083,UTRENTE2026080000083,"₹ 211,587.42","₹ 28,197,638.04",credited
BNK-ENTE-00084,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000084,UTRENTE2026080000084,"₹ 258,145.65","₹ 28,455,783.69",credited
BNK-ENTE-00085,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000085,UTRENTE2026080000085,"₹ 266,264.35","₹ 28,722,048.04",credited
BNK-ENTE-00086,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000086,UTRENTE2026080000086,"₹ 274,383.06","₹ 28,996,431.10",credited
BNK-ENTE-00087,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000087,UTRENTE2026080000087,"₹ 348,970.00","₹ 29,345,401.10",credited
BNK-ENTE-00088,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000088,UTRENTE2026080000088,"₹ 357,305.00","₹ 29,702,706.10",credited
BNK-ENTE-00089,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000089,UTRENTE2026080000089,"₹ 365,640.00","₹ 30,068,346.10",credited
BNK-ENTE-00090,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000090,UTRENTE2026080000090,"₹ 373,975.00","₹ 30,442,321.10",credited
BNK-ENTE-00091,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000091,UTRENTE2026080000091,"₹ 382,310.00","₹ 30,824,631.10",credited
BNK-ENTE-00092,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000092,UTRENTE2026080000092,"₹ 390,720.00","₹ 31,215,351.10",credited
BNK-ENTE-00093,2026/08/09,ACH CR PENDING SETTLEMENT UTRENTE2026080000093,UTRENTE2026080000093,"₹ 432,500.00","₹ 31,215,351.10",pending
BNK-ENTE-00094,2026/08/10,BANK ANNUAL SERVICE CHARGES,MISC-94,₹ -100.00,"₹ 31,215,351.10",debited
BNK-ENTE-00095,2026/08/11,ACH CR PENDING SETTLEMENT UTRENTE2026080000095,UTRENTE2026080000095,"₹ 449,200.00","₹ 31,215,351.10",pending
BNK-ENTE-00096,2026/08/12,ACH CR PENDING SETTLEMENT UTRENTE2026080000096,UTRENTE2026080000096,"₹ 457,550.00","₹ 31,215,351.10",pending
BNK-ENTE-00097,2026/08/13,ACH CR PENDING SETTLEMENT UTRENTE2026080000097,UTRENTE2026080000097,"₹ 465,900.00","₹ 31,215,351.10",pending
BNK-ENTE-00098,2026/08/14,ACH CR PENDING SETTLEMENT UTRENTE2026080000098,UTRENTE2026080000098,"₹ 474,250.00","₹ 31,215,351.10",pending
BNK-ENTE-00099,2026/08/15,BANK ANNUAL SERVICE CHARGES,MISC-99,₹ -100.00,"₹ 31,215,351.10",debited
BNK-ENTE-00100,2026/08/16,ACH CR PENDING SETTLEMENT UTRENTE2026080000100,UTRENTE2026080000100,"₹ 490,950.00","₹ 31,215,351.10",pending
