invoice_number,order_number,gross_amount,created_date,buyer_name,status
INV-MARK-00060,ORD-MARK-EX-00060,"₹26,878.00",10/08/2026,Client_MARK_60,paid
INV-MARK-00061,ORD-MARK-EX-00061,"₹27,320.00",11/08/2026,Client_MARK_61,paid
INV-MARK-00062,ORD-MARK-EX-00062,"₹27,762.00",12/08/2026,Client_MARK_62,paid
INV-MARK-00063,ORD-MARK-EX-00063,"₹28,204.00",13/08/2026,Client_MARK_63,paid
INV-MARK-00064,ORD-MARK-EX-00064,"₹28,646.00",14/08/2026,Client_MARK_64,paid
INV-MARK-00065,ORD-MARK-EX-00065,"₹29,088.00",15/08/2026,Client_MARK_65,paid
INV-MARK-00066,ORD-MARK-EX-00066,"₹29,530.00",16/08/2026,Client_MARK_66,paid
INV-MARK-00067,ORD-MARK-EX-00067,"₹29,972.00",17/08/2026,Client_MARK_67,paid
INV-MARK-00068,ORD-MARK-EX-00068,"₹30,414.00",18/08/2026,Client_MARK_68,paid
INV-MARK-00069,ORD-MARK-EX-00069,"₹30,856.00",19/08/2026,Client_MARK_69,paid
INV-MARK-00070,ORD-MARK-EX-00070,"₹31,298.00",20/08/2026,Client_MARK_70,paid
INV-MARK-00071,ORD-MARK-FEE-00071,"₹5,220.00",01/08/2026,Client_MARK_71,paid
INV-MARK-00072,ORD-MARK-FEE-00072,"₹5,662.00",02/08/2026,Client_MARK_72,paid
INV-MARK-00073,ORD-MARK-FEE-00073,"₹6,104.00",03/08/2026,Client_MARK_73,paid
INV-MARK-00074,ORD-MARK-FEE-00074,"₹6,546.00",04/08/2026,Client_MARK_74,paid
INV-MARK-00075,ORD-MARK-FEE-00075,"₹6,988.00",05/08/2026,Client_MARK_75,paid
INV-MARK-00076,ORD-MARK-FEE-00076,"₹7,430.00",06/08/2026,Client_MARK_76,paid
INV-MARK-00077,ORD-MARK-FEE-00077,"₹7,872.00",07/08/2026,Client_MARK_77,paid
INV-MARK-00078,ORD-MARK-FEE-00078,"₹8,314.00",08/08/2026,Client_MARK_78,paid
INV-MARK-00079,ORD-MARK-GST-00079,"₹9,640.00",01/08/2026,Client_MARK_79,paid
INV-MARK-00080,ORD-MARK-GST-00080,"₹10,082.00",02/08/2026,Client_MARK_80,paid
INV-MARK-00081,ORD-MARK-GST-00081,"₹10,524.00",03/08/2026,Client_MARK_81,paid
INV-MARK-00082,ORD-MARK-GST-00082,"₹10,966.00",04/08/2026,Client_MARK_82,paid
INV-MARK-00083,ORD-MARK-GST-00083,"₹11,408.00",05/08/2026,Client_MARK_83,paid
INV-MARK-00084,ORD-MARK-TDS-00084,"₹14,060.00",01/08/2026,Client_MARK_84,paid
INV-MARK-00085,ORD-MARK-TDS-00085,"₹14,502.00",02/08/2026,Client_MARK_85,paid
INV-MARK-00086,ORD-MARK-TDS-00086,"₹14,944.00",03/08/2026,Client_MARK_86,paid
INV-MARK-00087,ORD-MARK-AI-00087,"₹18,480.00",01/08/2026,Client_MARK_87,paid
INV-MARK-00088,ORD-MARK-AI-00088,"₹18,922.00",02/08/2026,Client_MARK_88,paid
INV-MARK-00089,ORD-MARK-AI-00089,"₹19,364.00",03/08/2026,Client_MARK_89,paid
INV-MARK-00090,ORD-MARK-AI-00090,"₹19,806.00",04/08/2026,Client_MARK_90,paid
INV-MARK-00091,ORD-MARK-AI-00091,"₹20,248.00",05/08/2026,Client_MARK_91,paid
INV-MARK-00092,ORD-MARK-AI-00092,"₹20,690.00",06/08/2026,Client_MARK_92,paid
INV-MARK-00093,ORD-MARK-EXC-00093,"₹22,900.00",01/08/2026,Client_MARK_93,pending_settlement
INV-MARK-00094,ORD-MARK-EXC-00094,"₹23,342.00",02/08/2026,Client_MARK_94,pending_settlement
INV-MARK-00095,ORD-MARK-EXC-00095,"₹23,784.00",03/08/2026,Client_MARK_95,pending_settlement
INV-MARK-00096,ORD-MARK-EXC-00096,"₹24,226.00",04/08/2026,Client_MARK_96,paid
INV-MARK-00097,ORD-MARK-EXC-00097,"₹24,668.00",05/08/2026,Client_MARK_97,refunded
INV-MARK-00098,ORD-MARK-EXC-00098,"₹25,110.00",06/08/2026,Client_MARK_98,pending_settlement
INV-MARK-00099,ORD-MARK-EXC-00099,"₹25,552.00",07/08/2026,Client_MARK_99,pending_settlement
INV-MARK-00100,ORD-MARK-EXC-00100,"₹25,994.00",08/08/2026,Client_MARK_100,pending_settlement
