scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,expected_value,evidence_field,difference_amount,exception_category
SCENARIO-SUB-0075,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0075,INV-SUB-0075,SET-SUB-0075,BNK-SUB-0075,UTRSUB202608000075,6200.00,6076.00,6076.00,Rule match: 2.0% MDR fee (₹124.00) deducted for subscription.,,,,,
SCENARIO-SUB-0076,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0076,INV-SUB-0076,SET-SUB-0076,BNK-SUB-0076,UTRSUB202608000076,6500.00,6370.00,6370.00,Rule match: 2.0% MDR fee (₹130.00) deducted for subscription.,,,,,
SCENARIO-SUB-0077,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0077,INV-SUB-0077,SET-SUB-0077,BNK-SUB-0077,UTRSUB202608000077,6800.00,6664.00,6664.00,Rule match: 2.0% MDR fee (₹136.00) deducted for subscription.,,,,,
SCENARIO-SUB-0078,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0078,INV-SUB-0078,SET-SUB-0078,BNK-SUB-0078,UTRSUB202608000078,7100.00,6958.00,6958.00,Rule match: 2.0% MDR fee (₹142.00) deducted for subscription.,,,,,
SCENARIO-SUB-0079,subscription,gst_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST,ORD-SUB-GST-0079,INV-SUB-0079,SET-SUB-0079,BNK-SUB-0079,UTRSUB202608000079,8000.00,7811.20,7811.20,Rule match: 2.0% fee + 18.0% GST deducted.,,,,,
SCENARIO-SUB-0080,subscription,gst_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST,ORD-SUB-GST-0080,INV-SUB-0080,SET-SUB-0080,BNK-SUB-0080,UTRSUB202608000080,8450.00,8250.58,8250.58,Rule match: 2.0% fee + 18.0% GST deducted.,,,,,
SCENARIO-SUB-0081,subscription,gst_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST,ORD-SUB-GST-0081,INV-SUB-0081,SET-SUB-0081,BNK-SUB-0081,UTRSUB202608000081,8900.00,8689.96,8689.96,Rule match: 2.0% fee + 18.0% GST deducted.,,,,,
SCENARIO-SUB-0082,subscription,gst_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST,ORD-SUB-GST-0082,INV-SUB-0082,SET-SUB-0082,BNK-SUB-0082,UTRSUB202608000082,9350.00,9129.34,9129.34,Rule match: 2.0% fee + 18.0% GST deducted.,,,,,
SCENARIO-SUB-0083,subscription,gst_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST,ORD-SUB-GST-0083,INV-SUB-0083,SET-SUB-0083,BNK-SUB-0083,UTRSUB202608000083,9800.00,9568.72,9568.72,Rule match: 2.0% fee + 18.0% GST deducted.,,,,,
SCENARIO-SUB-0084,subscription,tds_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST+TDS,ORD-SUB-TDS-0084,INV-SUB-0084,SET-SUB-0084,BNK-SUB-0084,UTRSUB202608000084,15000.00,14646.00,14646.00,Rule match: 2.0% fee + 18.0% GST + 0.0% TDS deducted.,,,,,
SCENARIO-SUB-0085,subscription,tds_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST+TDS,ORD-SUB-TDS-0085,INV-SUB-0085,SET-SUB-0085,BNK-SUB-0085,UTRSUB202608000085,16000.00,15622.40,15622.40,Rule match: 2.0% fee + 18.0% GST + 0.0% TDS deducted.,,,,,
SCENARIO-SUB-0086,subscription,tds_deduction,rule,fee_gst_tds_adjusted_amount:Fee+GST+TDS,ORD-SUB-TDS-0086,INV-SUB-0086,SET-SUB-0086,BNK-SUB-0086,UTRSUB202608000086,17000.00,16598.80,16598.80,Rule match: 2.0% fee + 18.0% GST + 0.0% TDS deducted.,,,,,
SCENARIO-SUB-0087,subscription,non_standard_adjustment,ai,,ORD-SUB-AI-0087,INV-SUB-0087,SET-SUB-0087,BNK-SUB-0087,UTRSUB202608000087,12000.00,11970.00,11970.00,Non-standard one-off adjustment of ₹30.00 for subscription.,processing_fee,11970.00,settlement.fees,30.00,
SCENARIO-SUB-0088,subscription,non_standard_adjustment,ai,,ORD-SUB-AI-0088,INV-SUB-0088,SET-SUB-0088,BNK-SUB-0088,UTRSUB202608000088,25000.00,24955.00,24955.00,Non-standard one-off adjustment of ₹45.00 for subscription.,processing_fee,24955.00,settlement.fees,45.00,
SCENARIO-SUB-0089,subscription,non_standard_adjustment,ai,,ORD-SUB-AI-0089,INV-SUB-0089,SET-SUB-0089,BNK-SUB-0089,UTRSUB202608000089,18500.00,18450.00,18450.00,Non-standard one-off adjustment of ₹50.00 for subscription.,processing_fee,18450.00,settlement.fees,50.00,
SCENARIO-SUB-0090,subscription,non_standard_adjustment,ai,,ORD-SUB-AI-0090,INV-SUB-0090,SET-SUB-0090,BNK-SUB-0090,UTRSUB202608000090,32000.00,31935.00,31935.00,Non-standard one-off adjustment of ₹65.00 for subscription.,processing_fee,31935.00,settlement.fees,65.00,
SCENARIO-SUB-0091,subscription,non_standard_adjustment,ai,,ORD-SUB-AI-0091,INV-SUB-0091,SET-SUB-0091,BNK-SUB-0091,UTRSUB202608000091,14200.00,14165.00,14165.00,Non-standard one-off adjustment of ₹35.00 for subscription.,processing_fee,14165.00,settlement.fees,35.00,
SCENARIO-SUB-0092,subscription,non_standard_adjustment,ai,,ORD-SUB-AI-0092,INV-SUB-0092,SET-SUB-0092,BNK-SUB-0092,UTRSUB202608000092,21000.00,20960.00,20960.00,Non-standard one-off adjustment of ₹40.00 for subscription.,processing_fee,20960.00,settlement.fees,40.00,
SCENARIO-SUB-0093,subscription,delayed_settlement,exception,,ORD-SUB-DELAY-0093,INV-SUB-0093,SET-SUB-0093,BNK-SUB-0093,UTRSUB202608000093,9500.00,9500.00,9500.00,Settlement delay beyond expected window (2 days).,,,,,settlement_delay
SCENARIO-SUB-0094,subscription,delayed_settlement,exception,,ORD-SUB-DELAY-0094,INV-SUB-0094,SET-SUB-0094,BNK-SUB-0094,UTRSUB202608000094,10000.00,10000.00,10000.00,Settlement delay beyond expected window (2 days).,,,,,settlement_delay
SCENARIO-SUB-0095,subscription,refund,exception,,ORD-SUB-REF-0095,INV-SUB-0095,SET-SUB-0095,BNK-SUB-0095,UTRSUB202608000095,3200.00,-3200.00,-3200.00,Exception: Refund transaction resulting in negative bank debit.,,,,,refund_pending
SCENARIO-SUB-0096,subscription,refund,exception,,ORD-SUB-REF-0096,INV-SUB-0096,SET-SUB-0096,BNK-SUB-0096,UTRSUB202608000096,3600.00,-3600.00,-3600.00,Exception: Refund transaction resulting in negative bank debit.,,,,,refund_pending
SCENARIO-SUB-0097,subscription,duplicate_invoice,exception,,ORD-SUB-DUP-0097,INV-SUB-0097,SET-SUB-0097,BNK-SUB-0097,UTRSUB202608000097,6800.00,6800.00,6800.00,Exception: Duplicate invoice detected for same order ID.,,,,,duplicate_invoice
SCENARIO-SUB-0098,subscription,duplicate_invoice,exception,,ORD-SUB-DUP-0097,INV-SUB-0098,SET-SUB-0098,BNK-SUB-0098,UTRSUB202608000098,6800.00,6800.00,6800.00,Exception: Duplicate invoice detected for same order ID.,,,,,duplicate_invoice
SCENARIO-SUB-0099,subscription,missing_bank_credit,exception,,ORD-SUB-MISS-0099,INV-SUB-0099,SET-SUB-0099,BNK-SUB-0099,UTRSUB202608000099,11000.00,11000.00,-50.00,Exception: Expected settlement credit not found in bank statement past delay window.,,,,,missing_credit
