disbursement_id,merchant_order_id,net_payout,deposit_date,utr,settlement_status,gateway_fee,tax,tds
SET-SUB-0043,ORD-SUB-EX-0043,"6,271.00 INR",15-Aug-2026,UTRSUB202608000043,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0044,ORD-SUB-EX-0044,"6,396.50 INR",16-Aug-2026,UTRSUB202608000044,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0045,ORD-SUB-EX-0045,"6,522.00 INR",17-Aug-2026,UTRSUB202608000045,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0046,ORD-SUB-EX-0046,"6,647.50 INR",03-Aug-2026,UTRSUB202608000046,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0047,ORD-SUB-EX-0047,"6,773.00 INR",04-Aug-2026,UTRSUB202608000047,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0048,ORD-SUB-EX-0048,"6,898.50 INR",05-Aug-2026,UTRSUB202608000048,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0049,ORD-SUB-EX-0049,"7,024.00 INR",06-Aug-2026,UTRSUB202608000049,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0050,ORD-SUB-EX-0050,"7,149.50 INR",07-Aug-2026,UTRSUB202608000050,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0051,ORD-SUB-EX-0051,"7,275.00 INR",08-Aug-2026,UTRSUB202608000051,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0052,ORD-SUB-EX-0052,"7,400.50 INR",09-Aug-2026,UTRSUB202608000052,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0053,ORD-SUB-EX-0053,"7,526.00 INR",10-Aug-2026,UTRSUB202608000053,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0054,ORD-SUB-EX-0054,"7,651.50 INR",11-Aug-2026,UTRSUB202608000054,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0055,ORD-SUB-EX-0055,"7,777.00 INR",12-Aug-2026,UTRSUB202608000055,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0056,ORD-SUB-EX-0056,"7,902.50 INR",13-Aug-2026,UTRSUB202608000056,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0057,ORD-SUB-EX-0057,"8,028.00 INR",14-Aug-2026,UTRSUB202608000057,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0058,ORD-SUB-EX-0058,"8,153.50 INR",15-Aug-2026,UTRSUB202608000058,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0059,ORD-SUB-EX-0059,"8,279.00 INR",16-Aug-2026,UTRSUB202608000059,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0060,ORD-SUB-EX-0060,"8,404.50 INR",17-Aug-2026,UTRSUB202608000060,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0061,ORD-SUB-EX-0061,"8,530.00 INR",03-Aug-2026,UTRSUB202608000061,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0062,ORD-SUB-EX-0062,"8,655.50 INR",04-Aug-2026,UTRSUB202608000062,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0063,ORD-SUB-EX-0063,"8,781.00 INR",05-Aug-2026,UTRSUB202608000063,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0064,ORD-SUB-EX-0064,"8,906.50 INR",06-Aug-2026,UTRSUB202608000064,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0065,ORD-SUB-EX-0065,"9,032.00 INR",07-Aug-2026,UTRSUB202608000065,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0066,ORD-SUB-EX-0066,"9,157.50 INR",08-Aug-2026,UTRSUB202608000066,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0067,ORD-SUB-EX-0067,"9,283.00 INR",09-Aug-2026,UTRSUB202608000067,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0068,ORD-SUB-EX-0068,"9,408.50 INR",10-Aug-2026,UTRSUB202608000068,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0069,ORD-SUB-EX-0069,"9,534.00 INR",11-Aug-2026,UTRSUB202608000069,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0070,ORD-SUB-EX-0070,"9,659.50 INR",12-Aug-2026,UTRSUB202608000070,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0071,ORD-SUB-FEE-0071,"4,900.00 INR",03-Aug-2026,UTRSUB202608000071,settled,100.00 INR,0.00 INR,0.00 INR
SET-SUB-0072,ORD-SUB-FEE-0072,"5,194.00 INR",04-Aug-2026,UTRSUB202608000072,settled,106.00 INR,0.00 INR,0.00 INR
SET-SUB-0073,ORD-SUB-FEE-0073,"5,488.00 INR",05-Aug-2026,UTRSUB202608000073,settled,112.00 INR,0.00 INR,0.00 INR
SET-SUB-0074,ORD-SUB-FEE-0074,"5,782.00 INR",06-Aug-2026,UTRSUB202608000074,settled,118.00 INR,0.00 INR,0.00 INR
SET-SUB-0075,ORD-SUB-FEE-0075,"6,076.00 INR",07-Aug-2026,UTRSUB202608000075,settled,124.00 INR,0.00 INR,0.00 INR
SET-SUB-0076,ORD-SUB-FEE-0076,"6,370.00 INR",08-Aug-2026,UTRSUB202608000076,settled,130.00 INR,0.00 INR,0.00 INR
SET-SUB-0077,ORD-SUB-FEE-0077,"6,664.00 INR",09-Aug-2026,UTRSUB202608000077,settled,136.00 INR,0.00 INR,0.00 INR
SET-SUB-0078,ORD-SUB-FEE-0078,"6,958.00 INR",10-Aug-2026,UTRSUB202608000078,settled,142.00 INR,0.00 INR,0.00 INR
SET-SUB-0079,ORD-SUB-GST-0079,"7,811.20 INR",03-Aug-2026,UTRSUB202608000079,settled,160.00 INR,28.80 INR,0.00 INR
SET-SUB-0080,ORD-SUB-GST-0080,"8,250.58 INR",04-Aug-2026,UTRSUB202608000080,settled,169.00 INR,30.42 INR,0.00 INR
SET-SUB-0081,ORD-SUB-GST-0081,"8,689.96 INR",05-Aug-2026,UTRSUB202608000081,settled,178.00 INR,32.04 INR,0.00 INR
SET-SUB-0082,ORD-SUB-GST-0082,"9,129.34 INR",06-Aug-2026,UTRSUB202608000082,settled,187.00 INR,33.66 INR,0.00 INR
SET-SUB-0083,ORD-SUB-GST-0083,"9,568.72 INR",07-Aug-2026,UTRSUB202608000083,settled,196.00 INR,35.28 INR,0.00 INR
SET-SUB-0084,ORD-SUB-TDS-0084,"14,646.00 INR",03-Aug-2026,UTRSUB202608000084,settled,300.00 INR,54.00 INR,0.00 INR
SET-SUB-0085,ORD-SUB-TDS-0085,"15,622.40 INR",04-Aug-2026,UTRSUB202608000085,settled,320.00 INR,57.60 INR,0.00 INR
SET-SUB-0086,ORD-SUB-TDS-0086,"16,598.80 INR",05-Aug-2026,UTRSUB202608000086,settled,340.00 INR,61.20 INR,0.00 INR
SET-SUB-0087,ORD-SUB-AI-0087,"11,970.00 INR",05-Aug-2026,UTRSUB202608000087,settled,30.00 INR,0.00 INR,0.00 INR
SET-SUB-0088,ORD-SUB-AI-0088,"24,955.00 INR",05-Aug-2026,UTRSUB202608000088,settled,45.00 INR,0.00 INR,0.00 INR
SET-SUB-0089,ORD-SUB-AI-0089,"18,450.00 INR",05-Aug-2026,UTRSUB202608000089,settled,50.00 INR,0.00 INR,0.00 INR
SET-SUB-0090,ORD-SUB-AI-0090,"31,935.00 INR",05-Aug-2026,UTRSUB202608000090,settled,65.00 INR,0.00 INR,0.00 INR
SET-SUB-0091,ORD-SUB-AI-0091,"14,165.00 INR",05-Aug-2026,UTRSUB202608000091,settled,35.00 INR,0.00 INR,0.00 INR
SET-SUB-0092,ORD-SUB-AI-0092,"20,960.00 INR",05-Aug-2026,UTRSUB202608000092,settled,40.00 INR,0.00 INR,0.00 INR
SET-SUB-0093,ORD-SUB-DELAY-0093,"9,500.00 INR",20-Aug-2026,UTRSUB202608000093,pending,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0094,ORD-SUB-DELAY-0094,"10,000.00 INR",20-Aug-2026,UTRSUB202608000094,pending,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0095,ORD-SUB-REF-0095,"-3,200.00 INR",09-Aug-2026,UTRSUB202608000095,refund_processed,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0096,ORD-SUB-REF-0096,"-3,600.00 INR",09-Aug-2026,UTRSUB202608000096,refund_processed,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0097,ORD-SUB-DUP-0097,"6,800.00 INR",06-Aug-2026,UTRSUB202608000097,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0098,ORD-SUB-DUP-0097,"6,800.00 INR",06-Aug-2026,UTRSUB202608000098,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0099,ORD-SUB-MISS-0099,"11,000.00 INR",06-Aug-2026,UTRSUB202608000099,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0100,ORD-SUB-UNK-0100,"5,432.10 INR",11-Aug-2026,UTR-UNKNOWN-SUB-100,settled,12.34 INR,2.22 INR,0.00 INR
