receipt_id,merchant_order_id,total_value,billing_date,account_name,payment_status
INV-SUB-0021,ORD-SUB-EX-0021,"3,510.00 INR",06-Aug-2026,Customer_SUB_21,paid
INV-SUB-0022,ORD-SUB-EX-0022,"3,635.50 INR",07-Aug-2026,Customer_SUB_22,paid
INV-SUB-0023,ORD-SUB-EX-0023,"3,761.00 INR",08-Aug-2026,Customer_SUB_23,paid
INV-SUB-0024,ORD-SUB-EX-0024,"3,886.50 INR",09-Aug-2026,Customer_SUB_24,paid
INV-SUB-0025,ORD-SUB-EX-0025,"4,012.00 INR",10-Aug-2026,Customer_SUB_25,paid
INV-SUB-0026,ORD-SUB-EX-0026,"4,137.50 INR",11-Aug-2026,Customer_SUB_26,paid
INV-SUB-0027,ORD-SUB-EX-0027,"4,263.00 INR",12-Aug-2026,Customer_SUB_27,paid
INV-SUB-0028,ORD-SUB-EX-0028,"4,388.50 INR",13-Aug-2026,Customer_SUB_28,paid
INV-SUB-0029,ORD-SUB-EX-0029,"4,514.00 INR",14-Aug-2026,Customer_SUB_29,paid
INV-SUB-0030,ORD-SUB-EX-0030,"4,639.50 INR",15-Aug-2026,Customer_SUB_30,paid
INV-SUB-0031,ORD-SUB-EX-0031,"4,765.00 INR",01-Aug-2026,Customer_SUB_31,paid
INV-SUB-0032,ORD-SUB-EX-0032,"4,890.50 INR",02-Aug-2026,Customer_SUB_32,paid
INV-SUB-0033,ORD-SUB-EX-0033,"5,016.00 INR",03-Aug-2026,Customer_SUB_33,paid
INV-SUB-0034,ORD-SUB-EX-0034,"5,141.50 INR",04-Aug-2026,Customer_SUB_34,paid
INV-SUB-0035,ORD-SUB-EX-0035,"5,267.00 INR",05-Aug-2026,Customer_SUB_35,paid
INV-SUB-0036,ORD-SUB-EX-0036,"5,392.50 INR",06-Aug-2026,Customer_SUB_36,paid
INV-SUB-0037,ORD-SUB-EX-0037,"5,518.00 INR",07-Aug-2026,Customer_SUB_37,paid
INV-SUB-0038,ORD-SUB-EX-0038,"5,643.50 INR",08-Aug-2026,Customer_SUB_38,paid
INV-SUB-0039,ORD-SUB-EX-0039,"5,769.00 INR",09-Aug-2026,Customer_SUB_39,paid
INV-SUB-0040,ORD-SUB-EX-0040,"5,894.50 INR",10-Aug-2026,Customer_SUB_40,paid
INV-SUB-0041,ORD-SUB-EX-0041,"6,020.00 INR",11-Aug-2026,Customer_SUB_41,paid
INV-SUB-0042,ORD-SUB-EX-0042,"6,145.50 INR",12-Aug-2026,Customer_SUB_42,paid
INV-SUB-0043,ORD-SUB-EX-0043,"6,271.00 INR",13-Aug-2026,Customer_SUB_43,paid
INV-SUB-0044,ORD-SUB-EX-0044,"6,396.50 INR",14-Aug-2026,Customer_SUB_44,paid
INV-SUB-0045,ORD-SUB-EX-0045,"6,522.00 INR",15-Aug-2026,Customer_SUB_45,paid
INV-SUB-0046,ORD-SUB-EX-0046,"6,647.50 INR",01-Aug-2026,Customer_SUB_46,paid
INV-SUB-0047,ORD-SUB-EX-0047,"6,773.00 INR",02-Aug-2026,Customer_SUB_47,paid
INV-SUB-0048,ORD-SUB-EX-0048,"6,898.50 INR",03-Aug-2026,Customer_SUB_48,paid
INV-SUB-0049,ORD-SUB-EX-0049,"7,024.00 INR",04-Aug-2026,Customer_SUB_49,paid
INV-SUB-0050,ORD-SUB-EX-0050,"7,149.50 INR",05-Aug-2026,Customer_SUB_50,paid
INV-SUB-0051,ORD-SUB-EX-0051,"7,275.00 INR",06-Aug-2026,Customer_SUB_51,paid
INV-SUB-0052,ORD-SUB-EX-0052,"7,400.50 INR",07-Aug-2026,Customer_SUB_52,paid
INV-SUB-0053,ORD-SUB-EX-0053,"7,526.00 INR",08-Aug-2026,Customer_SUB_53,paid
INV-SUB-0054,ORD-SUB-EX-0054,"7,651.50 INR",09-Aug-2026,Customer_SUB_54,paid
INV-SUB-0055,ORD-SUB-EX-0055,"7,777.00 INR",10-Aug-2026,Customer_SUB_55,paid
INV-SUB-0056,ORD-SUB-EX-0056,"7,902.50 INR",11-Aug-2026,Customer_SUB_56,paid
INV-SUB-0057,ORD-SUB-EX-0057,"8,028.00 INR",12-Aug-2026,Customer_SUB_57,paid
INV-SUB-0058,ORD-SUB-EX-0058,"8,153.50 INR",13-Aug-2026,Customer_SUB_58,paid
INV-SUB-0059,ORD-SUB-EX-0059,"8,279.00 INR",14-Aug-2026,Customer_SUB_59,paid
INV-SUB-0060,ORD-SUB-EX-0060,"8,404.50 INR",15-Aug-2026,Customer_SUB_60,paid
INV-SUB-0061,ORD-SUB-EX-0061,"8,530.00 INR",01-Aug-2026,Customer_SUB_61,paid
INV-SUB-0062,ORD-SUB-EX-0062,"8,655.50 INR",02-Aug-2026,Customer_SUB_62,paid
INV-SUB-0063,ORD-SUB-EX-0063,"8,781.00 INR",03-Aug-2026,Customer_SUB_63,paid
INV-SUB-0064,ORD-SUB-EX-0064,"8,906.50 INR",04-Aug-2026,Customer_SUB_64,paid
INV-SUB-0065,ORD-SUB-EX-0065,"9,032.00 INR",05-Aug-2026,Customer_SUB_65,paid
INV-SUB-0066,ORD-SUB-EX-0066,"9,157.50 INR",06-Aug-2026,Customer_SUB_66,paid
INV-SUB-0067,ORD-SUB-EX-0067,"9,283.00 INR",07-Aug-2026,Customer_SUB_67,paid
INV-SUB-0068,ORD-SUB-EX-0068,"9,408.50 INR",08-Aug-2026,Customer_SUB_68,paid
INV-SUB-0069,ORD-SUB-EX-0069,"9,534.00 INR",09-Aug-2026,Customer_SUB_69,paid
INV-SUB-0070,ORD-SUB-EX-0070,"9,659.50 INR",10-Aug-2026,Customer_SUB_70,paid
INV-SUB-0071,ORD-SUB-FEE-0071,"5,000.00 INR",01-Aug-2026,Customer_SUB_71,paid
INV-SUB-0072,ORD-SUB-FEE-0072,"5,300.00 INR",02-Aug-2026,Customer_SUB_72,paid
INV-SUB-0073,ORD-SUB-FEE-0073,"5,600.00 INR",03-Aug-2026,Customer_SUB_73,paid
INV-SUB-0074,ORD-SUB-FEE-0074,"5,900.00 INR",04-Aug-2026,Customer_SUB_74,paid
INV-SUB-0075,ORD-SUB-FEE-0075,"6,200.00 INR",05-Aug-2026,Customer_SUB_75,paid
INV-SUB-0076,ORD-SUB-FEE-0076,"6,500.00 INR",06-Aug-2026,Customer_SUB_76,paid
INV-SUB-0077,ORD-SUB-FEE-0077,"6,800.00 INR",07-Aug-2026,Customer_SUB_77,paid
INV-SUB-0078,ORD-SUB-FEE-0078,"7,100.00 INR",08-Aug-2026,Customer_SUB_78,paid
INV-SUB-0079,ORD-SUB-GST-0079,"8,000.00 INR",01-Aug-2026,Customer_SUB_79,paid
INV-SUB-0080,ORD-SUB-GST-0080,"8,450.00 INR",02-Aug-2026,Customer_SUB_80,paid
INV-SUB-0081,ORD-SUB-GST-0081,"8,900.00 INR",03-Aug-2026,Customer_SUB_81,paid
INV-SUB-0082,ORD-SUB-GST-0082,"9,350.00 INR",04-Aug-2026,Customer_SUB_82,paid
INV-SUB-0083,ORD-SUB-GST-0083,"9,800.00 INR",05-Aug-2026,Customer_SUB_83,paid
INV-SUB-0084,ORD-SUB-TDS-0084,"15,000.00 INR",01-Aug-2026,Customer_SUB_84,paid
INV-SUB-0085,ORD-SUB-TDS-0085,"16,000.00 INR",02-Aug-2026,Customer_SUB_85,paid
INV-SUB-0086,ORD-SUB-TDS-0086,"17,000.00 INR",03-Aug-2026,Customer_SUB_86,paid
INV-SUB-0087,ORD-SUB-AI-0087,"12,000.00 INR",03-Aug-2026,Customer_SUB_87,paid
INV-SUB-0088,ORD-SUB-AI-0088,"25,000.00 INR",03-Aug-2026,Customer_SUB_88,paid
INV-SUB-0089,ORD-SUB-AI-0089,"18,500.00 INR",03-Aug-2026,Customer_SUB_89,paid
INV-SUB-0090,ORD-SUB-AI-0090,"32,000.00 INR",03-Aug-2026,Customer_SUB_90,paid
INV-SUB-0091,ORD-SUB-AI-0091,"14,200.00 INR",03-Aug-2026,Customer_SUB_91,paid
INV-SUB-0092,ORD-SUB-AI-0092,"21,000.00 INR",03-Aug-2026,Customer_SUB_92,paid
INV-SUB-0093,ORD-SUB-DELAY-0093,"9,500.00 INR",13-Aug-2026,Customer_SUB_93,pending_settlement
INV-SUB-0094,ORD-SUB-DELAY-0094,"10,000.00 INR",13-Aug-2026,Customer_SUB_94,pending_settlement
INV-SUB-0095,ORD-SUB-REF-0095,"3,200.00 INR",09-Aug-2026,Customer_SUB_95,refunded
INV-SUB-0096,ORD-SUB-REF-0096,"3,600.00 INR",09-Aug-2026,Customer_SUB_96,refunded
INV-SUB-0097,ORD-SUB-DUP-0097,"6,800.00 INR",06-Aug-2026,Customer_SUB_97_DUP,paid
INV-SUB-0098,ORD-SUB-DUP-0097,"6,800.00 INR",06-Aug-2026,Customer_SUB_98_DUP,paid
INV-SUB-0099,ORD-SUB-MISS-0099,"11,000.00 INR",04-Aug-2026,Customer_SUB_99,paid
INV-SUB-0100,ORD-SUB-UNK-0100,"7,777.00 INR",11-Aug-2026,Customer_SUB_100_UNKNOWN,paid
