txn_id,statement_date,transaction_details,utr,amount,available_balance,txn_status
BNK-SUB-0018,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000018,UTRSUB202608000018,"3,133.50 INR","537,201.50 INR",credited
BNK-SUB-0019,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000019,UTRSUB202608000019,"3,259.00 INR","540,460.50 INR",credited
BNK-SUB-0020,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000020,UTRSUB202608000020,"3,384.50 INR","543,845.00 INR",credited
BNK-SUB-0021,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000021,UTRSUB202608000021,"3,510.00 INR","547,355.00 INR",credited
BNK-SUB-0022,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000022,UTRSUB202608000022,"3,635.50 INR","550,990.50 INR",credited
BNK-SUB-0023,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000023,UTRSUB202608000023,"3,761.00 INR","554,751.50 INR",credited
BNK-SUB-0024,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000024,UTRSUB202608000024,"3,886.50 INR","558,638.00 INR",credited
BNK-SUB-0025,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000025,UTRSUB202608000025,"4,012.00 INR","562,650.00 INR",credited
BNK-SUB-0026,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000026,UTRSUB202608000026,"4,137.50 INR","566,787.50 INR",credited
BNK-SUB-0027,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000027,UTRSUB202608000027,"4,263.00 INR","571,050.50 INR",credited
BNK-SUB-0028,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000028,UTRSUB202608000028,"4,388.50 INR","575,439.00 INR",credited
BNK-SUB-0029,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000029,UTRSUB202608000029,"4,514.00 INR","579,953.00 INR",credited
BNK-SUB-0030,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000030,UTRSUB202608000030,"4,639.50 INR","584,592.50 INR",credited
BNK-SUB-0031,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000031,UTRSUB202608000031,"4,765.00 INR","589,357.50 INR",credited
BNK-SUB-0032,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000032,UTRSUB202608000032,"4,890.50 INR","594,248.00 INR",credited
BNK-SUB-0033,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000033,UTRSUB202608000033,"5,016.00 INR","599,264.00 INR",credited
BNK-SUB-0034,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000034,UTRSUB202608000034,"5,141.50 INR","604,405.50 INR",credited
BNK-SUB-0035,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000035,UTRSUB202608000035,"5,267.00 INR","609,672.50 INR",credited
BNK-SUB-0036,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000036,UTRSUB202608000036,"5,392.50 INR","615,065.00 INR",credited
BNK-SUB-0037,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000037,UTRSUB202608000037,"5,518.00 INR","620,583.00 INR",credited
BNK-SUB-0038,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000038,UTRSUB202608000038,"5,643.50 INR","626,226.50 INR",credited
BNK-SUB-0039,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000039,UTRSUB202608000039,"5,769.00 INR","631,995.50 INR",credited
BNK-SUB-0040,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000040,UTRSUB202608000040,"5,894.50 INR","637,890.00 INR",credited
BNK-SUB-0041,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000041,UTRSUB202608000041,"6,020.00 INR","643,910.00 INR",credited
BNK-SUB-0042,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000042,UTRSUB202608000042,"6,145.50 INR","650,055.50 INR",credited
BNK-SUB-0043,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000043,UTRSUB202608000043,"6,271.00 INR","656,326.50 INR",credited
BNK-SUB-0044,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000044,UTRSUB202608000044,"6,396.50 INR","662,723.00 INR",credited
BNK-SUB-0045,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000045,UTRSUB202608000045,"6,522.00 INR","669,245.00 INR",credited
BNK-SUB-0046,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000046,UTRSUB202608000046,"6,647.50 INR","675,892.50 INR",credited
BNK-SUB-0047,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000047,UTRSUB202608000047,"6,773.00 INR","682,665.50 INR",credited
BNK-SUB-0048,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000048,UTRSUB202608000048,"6,898.50 INR","689,564.00 INR",credited
BNK-SUB-0049,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000049,UTRSUB202608000049,"7,024.00 INR","696,588.00 INR",credited
BNK-SUB-0050,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000050,UTRSUB202608000050,"7,149.50 INR","703,737.50 INR",credited
BNK-SUB-0051,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000051,UTRSUB202608000051,"7,275.00 INR","711,012.50 INR",credited
BNK-SUB-0052,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000052,UTRSUB202608000052,"7,400.50 INR","718,413.00 INR",credited
BNK-SUB-0053,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000053,UTRSUB202608000053,"7,526.00 INR","725,939.00 INR",credited
BNK-SUB-0054,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000054,UTRSUB202608000054,"7,651.50 INR","733,590.50 INR",credited
BNK-SUB-0055,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000055,UTRSUB202608000055,"7,777.00 INR","741,367.50 INR",credited
BNK-SUB-0056,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000056,UTRSUB202608000056,"7,902.50 INR","749,270.00 INR",credited
BNK-SUB-0057,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000057,UTRSUB202608000057,"8,028.00 INR","757,298.00 INR",credited
BNK-SUB-0058,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000058,UTRSUB202608000058,"8,153.50 INR","765,451.50 INR",credited
BNK-SUB-0059,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000059,UTRSUB202608000059,"8,279.00 INR","773,730.50 INR",credited
BNK-SUB-0060,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000060,UTRSUB202608000060,"8,404.50 INR","782,135.00 INR",credited
BNK-SUB-0061,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000061,UTRSUB202608000061,"8,530.00 INR","790,665.00 INR",credited
BNK-SUB-0062,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000062,UTRSUB202608000062,"8,655.50 INR","799,320.50 INR",credited
BNK-SUB-0063,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000063,UTRSUB202608000063,"8,781.00 INR","808,101.50 INR",credited
BNK-SUB-0064,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000064,UTRSUB202608000064,"8,906.50 INR","817,008.00 INR",credited
BNK-SUB-0065,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000065,UTRSUB202608000065,"9,032.00 INR","826,040.00 INR",credited
BNK-SUB-0066,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000066,UTRSUB202608000066,"9,157.50 INR","835,197.50 INR",credited
BNK-SUB-0067,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000067,UTRSUB202608000067,"9,283.00 INR","844,480.50 INR",credited
BNK-SUB-0068,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000068,UTRSUB202608000068,"9,408.50 INR","853,889.00 INR",credited
BNK-SUB-0069,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000069,UTRSUB202608000069,"9,534.00 INR","863,423.00 INR",credited
BNK-SUB-0070,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000070,UTRSUB202608000070,"9,659.50 INR","873,082.50 INR",credited
BNK-SUB-0071,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000071,UTRSUB202608000071,"4,900.00 INR","877,982.50 INR",credited
BNK-SUB-0072,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000072,UTRSUB202608000072,"5,194.00 INR","883,176.50 INR",credited
BNK-SUB-0073,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000073,UTRSUB202608000073,"5,488.00 INR","888,664.50 INR",credited
BNK-SUB-0074,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000074,UTRSUB202608000074,"5,782.00 INR","894,446.50 INR",credited
BNK-SUB-0075,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000075,UTRSUB202608000075,"6,076.00 INR","900,522.50 INR",credited
BNK-SUB-0076,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000076,UTRSUB202608000076,"6,370.00 INR","906,892.50 INR",credited
BNK-SUB-0077,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000077,UTRSUB202608000077,"6,664.00 INR","913,556.50 INR",credited
BNK-SUB-0078,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000078,UTRSUB202608000078,"6,958.00 INR","920,514.50 INR",credited
BNK-SUB-0079,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000079,UTRSUB202608000079,"7,811.20 INR","928,325.70 INR",credited
BNK-SUB-0080,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000080,UTRSUB202608000080,"8,250.58 INR","936,576.28 INR",credited
BNK-SUB-0081,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000081,UTRSUB202608000081,"8,689.96 INR","945,266.24 INR",credited
BNK-SUB-0082,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000082,UTRSUB202608000082,"9,129.34 INR","954,395.58 INR",credited
BNK-SUB-0083,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000083,UTRSUB202608000083,"9,568.72 INR","963,964.30 INR",credited
BNK-SUB-0084,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000084,UTRSUB202608000084,"14,646.00 INR","978,610.30 INR",credited
BNK-SUB-0085,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000085,UTRSUB202608000085,"15,622.40 INR","994,232.70 INR",credited
BNK-SUB-0086,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000086,UTRSUB202608000086,"16,598.80 INR","1,010,831.50 INR",credited
BNK-SUB-0087,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000087,UTRSUB202608000087,"11,970.00 INR","1,022,801.50 INR",credited
BNK-SUB-0088,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000088,UTRSUB202608000088,"24,955.00 INR","1,047,756.50 INR",credited
BNK-SUB-0089,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000089,UTRSUB202608000089,"18,450.00 INR","1,066,206.50 INR",credited
BNK-SUB-0090,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000090,UTRSUB202608000090,"31,935.00 INR","1,098,141.50 INR",credited
BNK-SUB-0091,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000091,UTRSUB202608000091,"14,165.00 INR","1,112,306.50 INR",credited
BNK-SUB-0092,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000092,UTRSUB202608000092,"20,960.00 INR","1,133,266.50 INR",credited
BNK-SUB-0093,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT PENDING UTRSUB202608000093,UTRSUB202608000093,"9,500.00 INR","1,133,266.50 INR",pending
BNK-SUB-0094,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT PENDING UTRSUB202608000094,UTRSUB202608000094,"10,000.00 INR","1,133,266.50 INR",pending
BNK-SUB-0095,09-Aug-2026,ACH DR RAZORPAY REFUND UTRSUB202608000095,UTRSUB202608000095,"-3,200.00 INR","1,130,066.50 INR",debited
BNK-SUB-0096,09-Aug-2026,ACH DR RAZORPAY REFUND UTRSUB202608000096,UTRSUB202608000096,"-3,600.00 INR","1,126,466.50 INR",debited
BNK-SUB-0097,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000097,UTRSUB202608000097,"6,800.00 INR","1,133,266.50 INR",credited
BNK-SUB-0098,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000098,UTRSUB202608000098,"6,800.00 INR","1,140,066.50 INR",credited
BNK-SUB-0099,06-Aug-2026,MISC BANK CHARGES UNRELATED,MISC-REF-SUB-99,-50.00 INR,"1,140,066.50 INR",debited
BNK-SUB-0100,11-Aug-2026,UNKNOWN ACH SETTLEMENT UTR-UNKNOWN-SUB-100,UTR-UNKNOWN-SUB-100,"9,999.00 INR","1,140,066.50 INR",credited
