bank_line_id,value_date,statement_narration,utr_ref,amount,ledger_balance,status
BNK-GAMI-00017,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000017,UTRGAMI2026080000017,"₹8,084.00","₹5,069,564.00",credited
BNK-GAMI-00018,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000018,UTRGAMI2026080000018,"₹8,583.00","₹5,078,147.00",credited
BNK-GAMI-00019,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000019,UTRGAMI2026080000019,"₹9,082.00","₹5,087,229.00",credited
BNK-GAMI-00020,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000020,UTRGAMI2026080000020,"₹9,581.00","₹5,096,810.00",credited
BNK-GAMI-00021,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000021,UTRGAMI2026080000021,"₹10,080.00","₹5,106,890.00",credited
BNK-GAMI-00022,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000022,UTRGAMI2026080000022,"₹10,579.00","₹5,117,469.00",credited
BNK-GAMI-00023,2026-08-24,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000023,UTRGAMI2026080000023,"₹11,078.00","₹5,128,547.00",credited
BNK-GAMI-00024,2026-08-25,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000024,UTRGAMI2026080000024,"₹11,577.00","₹5,140,124.00",credited
BNK-GAMI-00025,2026-08-26,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000025,UTRGAMI2026080000025,"₹12,076.00","₹5,152,200.00",credited
BNK-GAMI-00026,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000026,UTRGAMI2026080000026,"₹12,575.00","₹5,164,775.00",credited
BNK-GAMI-00027,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000027,UTRGAMI2026080000027,"₹13,074.00","₹5,177,849.00",credited
BNK-GAMI-00028,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000028,UTRGAMI2026080000028,"₹13,573.00","₹5,191,422.00",credited
BNK-GAMI-00029,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000029,UTRGAMI2026080000029,"₹14,072.00","₹5,205,494.00",credited
BNK-GAMI-00030,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000030,UTRGAMI2026080000030,"₹14,571.00","₹5,220,065.00",credited
BNK-GAMI-00031,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000031,UTRGAMI2026080000031,"₹15,070.00","₹5,235,135.00",credited
BNK-GAMI-00032,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000032,UTRGAMI2026080000032,"₹15,569.00","₹5,250,704.00",credited
BNK-GAMI-00033,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000033,UTRGAMI2026080000033,"₹16,068.00","₹5,266,772.00",credited
BNK-GAMI-00034,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000034,UTRGAMI2026080000034,"₹16,567.00","₹5,283,339.00",credited
BNK-GAMI-00035,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000035,UTRGAMI2026080000035,"₹17,066.00","₹5,300,405.00",credited
BNK-GAMI-00036,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000036,UTRGAMI2026080000036,"₹17,565.00","₹5,317,970.00",credited
BNK-GAMI-00037,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000037,UTRGAMI2026080000037,"₹18,064.00","₹5,336,034.00",credited
BNK-GAMI-00038,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000038,UTRGAMI2026080000038,"₹18,563.00","₹5,354,597.00",credited
BNK-GAMI-00039,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000039,UTRGAMI2026080000039,"₹19,062.00","₹5,373,659.00",credited
BNK-GAMI-00040,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000040,UTRGAMI2026080000040,"₹19,561.00","₹5,393,220.00",credited
BNK-GAMI-00041,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000041,UTRGAMI2026080000041,"₹20,060.00","₹5,413,280.00",credited
BNK-GAMI-00042,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000042,UTRGAMI2026080000042,"₹20,559.00","₹5,433,839.00",credited
BNK-GAMI-00043,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000043,UTRGAMI2026080000043,"₹21,058.00","₹5,454,897.00",credited
BNK-GAMI-00044,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000044,UTRGAMI2026080000044,"₹21,557.00","₹5,476,454.00",credited
BNK-GAMI-00045,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000045,UTRGAMI2026080000045,"₹22,056.00","₹5,498,510.00",credited
BNK-GAMI-00046,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000046,UTRGAMI2026080000046,"₹22,555.00","₹5,521,065.00",credited
BNK-GAMI-00047,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000047,UTRGAMI2026080000047,"₹23,054.00","₹5,544,119.00",credited
BNK-GAMI-00048,2026-08-24,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000048,UTRGAMI2026080000048,"₹23,553.00","₹5,567,672.00",credited
BNK-GAMI-00049,2026-08-25,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000049,UTRGAMI2026080000049,"₹24,052.00","₹5,591,724.00",credited
BNK-GAMI-00050,2026-08-26,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000050,UTRGAMI2026080000050,"₹24,551.00","₹5,616,275.00",credited
BNK-GAMI-00051,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000051,UTRGAMI2026080000051,"₹25,050.00","₹5,641,325.00",credited
BNK-GAMI-00052,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000052,UTRGAMI2026080000052,"₹25,549.00","₹5,666,874.00",credited
BNK-GAMI-00053,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000053,UTRGAMI2026080000053,"₹26,048.00","₹5,692,922.00",credited
BNK-GAMI-00054,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000054,UTRGAMI2026080000054,"₹26,547.00","₹5,719,469.00",credited
BNK-GAMI-00055,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000055,UTRGAMI2026080000055,"₹27,046.00","₹5,746,515.00",credited
BNK-GAMI-00056,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000056,UTRGAMI2026080000056,"₹27,545.00","₹5,774,060.00",credited
BNK-GAMI-00057,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000057,UTRGAMI2026080000057,"₹28,044.00","₹5,802,104.00",credited
BNK-GAMI-00058,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000058,UTRGAMI2026080000058,"₹28,543.00","₹5,830,647.00",credited
BNK-GAMI-00059,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000059,UTRGAMI2026080000059,"₹29,042.00","₹5,859,689.00",credited
BNK-GAMI-00060,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000060,UTRGAMI2026080000060,"₹29,541.00","₹5,889,230.00",credited
BNK-GAMI-00061,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000061,UTRGAMI2026080000061,"₹30,040.00","₹5,919,270.00",credited
BNK-GAMI-00062,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000062,UTRGAMI2026080000062,"₹30,539.00","₹5,949,809.00",credited
BNK-GAMI-00063,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000063,UTRGAMI2026080000063,"₹31,038.00","₹5,980,847.00",credited
BNK-GAMI-00064,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000064,UTRGAMI2026080000064,"₹31,537.00","₹6,012,384.00",credited
BNK-GAMI-00065,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000065,UTRGAMI2026080000065,"₹32,036.00","₹6,044,420.00",credited
BNK-GAMI-00066,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000066,UTRGAMI2026080000066,"₹32,535.00","₹6,076,955.00",credited
BNK-GAMI-00067,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000067,UTRGAMI2026080000067,"₹33,034.00","₹6,109,989.00",credited
BNK-GAMI-00068,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000068,UTRGAMI2026080000068,"₹33,533.00","₹6,143,522.00",credited
BNK-GAMI-00069,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000069,UTRGAMI2026080000069,"₹34,032.00","₹6,177,554.00",credited
BNK-GAMI-00070,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000070,UTRGAMI2026080000070,"₹34,531.00","₹6,212,085.00",credited
BNK-GAMI-00071,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000071,UTRGAMI2026080000071,"₹4,962.75","₹6,217,047.75",credited
BNK-GAMI-00072,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000072,UTRGAMI2026080000072,"₹5,449.27","₹6,222,497.02",credited
BNK-GAMI-00073,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000073,UTRGAMI2026080000073,"₹5,935.80","₹6,228,432.82",credited
BNK-GAMI-00074,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000074,UTRGAMI2026080000074,"₹6,422.32","₹6,234,855.14",credited
BNK-GAMI-00075,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000075,UTRGAMI2026080000075,"₹6,908.85","₹6,241,763.99",credited
BNK-GAMI-00076,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000076,UTRGAMI2026080000076,"₹7,395.37","₹6,249,159.36",credited
BNK-GAMI-00077,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000077,UTRGAMI2026080000077,"₹7,881.90","₹6,257,041.26",credited
BNK-GAMI-00078,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000078,UTRGAMI2026080000078,"₹8,368.42","₹6,265,409.68",credited
BNK-GAMI-00079,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000079,UTRGAMI2026080000079,"₹9,757.44","₹6,275,167.12",credited
BNK-GAMI-00080,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000080,UTRGAMI2026080000080,"₹10,240.47","₹6,285,407.59",credited
BNK-GAMI-00081,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000081,UTRGAMI2026080000081,"₹10,723.50","₹6,296,131.09",credited
BNK-GAMI-00082,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000082,UTRGAMI2026080000082,"₹11,206.53","₹6,307,337.62",credited
BNK-GAMI-00083,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000083,UTRGAMI2026080000083,"₹11,689.57","₹6,319,027.19",credited
BNK-GAMI-00084,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000084,UTRGAMI2026080000084,"₹10,066.76","₹6,329,093.95",credited
BNK-GAMI-00085,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000085,UTRGAMI2026080000085,"₹10,400.09","₹6,339,494.04",credited
BNK-GAMI-00086,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000086,UTRGAMI2026080000086,"₹10,733.42","₹6,350,227.46",credited
BNK-GAMI-00087,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000087,UTRGAMI2026080000087,"₹20,030.00","₹6,370,257.46",credited
BNK-GAMI-00088,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000088,UTRGAMI2026080000088,"₹20,514.00","₹6,390,771.46",credited
BNK-GAMI-00089,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000089,UTRGAMI2026080000089,"₹20,998.00","₹6,411,769.46",credited
BNK-GAMI-00090,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000090,UTRGAMI2026080000090,"₹21,482.00","₹6,433,251.46",credited
BNK-GAMI-00091,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000091,UTRGAMI2026080000091,"₹21,966.00","₹6,455,217.46",credited
BNK-GAMI-00092,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000092,UTRGAMI2026080000092,"₹22,525.00","₹6,477,742.46",credited
BNK-GAMI-00093,2026-08-06,ACH CR PENDING SETTLEMENT UTRGAMI2026080000093,UTRGAMI2026080000093,"₹25,050.00","₹6,477,742.46",pending
BNK-GAMI-00094,2026-08-07,ACH CR PENDING SETTLEMENT UTRGAMI2026080000094,UTRGAMI2026080000094,"₹25,549.00","₹6,477,742.46",pending
BNK-GAMI-00095,2026-08-08,ACH CR PENDING SETTLEMENT UTRGAMI2026080000095,UTRGAMI2026080000095,"₹26,048.00","₹6,477,742.46",pending
BNK-GAMI-00096,2026-08-09,ACH CR PENDING SETTLEMENT UTRGAMI2026080000096,UTRGAMI2026080000096,"₹26,547.00","₹6,477,742.46",pending
BNK-GAMI-00097,2026-08-10,ACH CR PENDING SETTLEMENT UTRGAMI2026080000097,UTRGAMI2026080000097,"₹27,046.00","₹6,477,742.46",pending
BNK-GAMI-00098,2026-08-11,ACH CR PENDING SETTLEMENT UTRGAMI2026080000098,UTRGAMI2026080000098,"₹27,545.00","₹6,477,742.46",pending
BNK-GAMI-00099,2026-08-12,ACH CR PENDING SETTLEMENT UTRGAMI2026080000099,UTRGAMI2026080000099,"₹28,044.00","₹6,477,742.46",pending
BNK-GAMI-00100,2026-08-13,ACH CR PENDING SETTLEMENT UTRGAMI2026080000100,UTRGAMI2026080000100,"₹28,543.00","₹6,477,742.46",pending
