wallet_txn_no,gamer_tag_id,reload_amount,txn_timestamp,player_username,txn_status
INV-GAMI-00086,ORD-GAMI-TDS-00086,"₹16,068.00",2026-08-03,Client_GAMI_86,paid
INV-GAMI-00087,ORD-GAMI-AI-00087,"₹20,060.00",2026-08-01,Client_GAMI_87,paid
INV-GAMI-00088,ORD-GAMI-AI-00088,"₹20,559.00",2026-08-02,Client_GAMI_88,paid
INV-GAMI-00089,ORD-GAMI-AI-00089,"₹21,058.00",2026-08-03,Client_GAMI_89,paid
INV-GAMI-00090,ORD-GAMI-AI-00090,"₹21,557.00",2026-08-04,Client_GAMI_90,paid
INV-GAMI-00091,ORD-GAMI-AI-00091,"₹22,056.00",2026-08-05,Client_GAMI_91,paid
INV-GAMI-00092,ORD-GAMI-AI-00092,"₹22,555.00",2026-08-06,Client_GAMI_92,paid
INV-GAMI-00093,ORD-GAMI-EXC-00093,"₹25,050.00",2026-08-01,Client_GAMI_93,pending_settlement
INV-GAMI-00094,ORD-GAMI-EXC-00094,"₹25,549.00",2026-08-02,Client_GAMI_94,pending_settlement
INV-GAMI-00095,ORD-GAMI-EXC-00095,"₹26,048.00",2026-08-03,Client_GAMI_95,pending_settlement
INV-GAMI-00096,ORD-GAMI-EXC-00096,"₹26,547.00",2026-08-04,Client_GAMI_96,pending_settlement
INV-GAMI-00097,ORD-GAMI-EXC-00097,"₹27,046.00",2026-08-05,Client_GAMI_97,pending_settlement
INV-GAMI-00098,ORD-GAMI-EXC-00098,"₹27,545.00",2026-08-06,Client_GAMI_98,pending_settlement
INV-GAMI-00099,ORD-GAMI-EXC-00099,"₹28,044.00",2026-08-07,Client_GAMI_99,pending_settlement
INV-GAMI-00100,ORD-GAMI-EXC-00100,"₹28,543.00",2026-08-08,Client_GAMI_100,pending_settlement
