payout_ref_id,gamer_tag_id,net_wallet_payout,settlement_timestamp,utr_ref,status,platform_commission,gst_28_percent,tds_194b_deduction
SET-GAMI-00034,ORD-GAMI-EX-00034,"₹16,567.00",2026-08-10,UTRGAMI2026080000034,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00035,ORD-GAMI-EX-00035,"₹17,066.00",2026-08-11,UTRGAMI2026080000035,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00036,ORD-GAMI-EX-00036,"₹17,565.00",2026-08-12,UTRGAMI2026080000036,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00037,ORD-GAMI-EX-00037,"₹18,064.00",2026-08-13,UTRGAMI2026080000037,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00038,ORD-GAMI-EX-00038,"₹18,563.00",2026-08-14,UTRGAMI2026080000038,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00039,ORD-GAMI-EX-00039,"₹19,062.00",2026-08-15,UTRGAMI2026080000039,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00040,ORD-GAMI-EX-00040,"₹19,561.00",2026-08-16,UTRGAMI2026080000040,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00041,ORD-GAMI-EX-00041,"₹20,060.00",2026-08-17,UTRGAMI2026080000041,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00042,ORD-GAMI-EX-00042,"₹20,559.00",2026-08-18,UTRGAMI2026080000042,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00043,ORD-GAMI-EX-00043,"₹21,058.00",2026-08-19,UTRGAMI2026080000043,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00044,ORD-GAMI-EX-00044,"₹21,557.00",2026-08-20,UTRGAMI2026080000044,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00045,ORD-GAMI-EX-00045,"₹22,056.00",2026-08-21,UTRGAMI2026080000045,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00046,ORD-GAMI-EX-00046,"₹22,555.00",2026-08-22,UTRGAMI2026080000046,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00047,ORD-GAMI-EX-00047,"₹23,054.00",2026-08-23,UTRGAMI2026080000047,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00048,ORD-GAMI-EX-00048,"₹23,553.00",2026-08-24,UTRGAMI2026080000048,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00049,ORD-GAMI-EX-00049,"₹24,052.00",2026-08-25,UTRGAMI2026080000049,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00050,ORD-GAMI-EX-00050,"₹24,551.00",2026-08-26,UTRGAMI2026080000050,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00051,ORD-GAMI-EX-00051,"₹25,050.00",2026-08-02,UTRGAMI2026080000051,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00052,ORD-GAMI-EX-00052,"₹25,549.00",2026-08-03,UTRGAMI2026080000052,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00053,ORD-GAMI-EX-00053,"₹26,048.00",2026-08-04,UTRGAMI2026080000053,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00054,ORD-GAMI-EX-00054,"₹26,547.00",2026-08-05,UTRGAMI2026080000054,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00055,ORD-GAMI-EX-00055,"₹27,046.00",2026-08-06,UTRGAMI2026080000055,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00056,ORD-GAMI-EX-00056,"₹27,545.00",2026-08-07,UTRGAMI2026080000056,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00057,ORD-GAMI-EX-00057,"₹28,044.00",2026-08-08,UTRGAMI2026080000057,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00058,ORD-GAMI-EX-00058,"₹28,543.00",2026-08-09,UTRGAMI2026080000058,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00059,ORD-GAMI-EX-00059,"₹29,042.00",2026-08-10,UTRGAMI2026080000059,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00060,ORD-GAMI-EX-00060,"₹29,541.00",2026-08-11,UTRGAMI2026080000060,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00061,ORD-GAMI-EX-00061,"₹30,040.00",2026-08-12,UTRGAMI2026080000061,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00062,ORD-GAMI-EX-00062,"₹30,539.00",2026-08-13,UTRGAMI2026080000062,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00063,ORD-GAMI-EX-00063,"₹31,038.00",2026-08-14,UTRGAMI2026080000063,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00064,ORD-GAMI-EX-00064,"₹31,537.00",2026-08-15,UTRGAMI2026080000064,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00065,ORD-GAMI-EX-00065,"₹32,036.00",2026-08-16,UTRGAMI2026080000065,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00066,ORD-GAMI-EX-00066,"₹32,535.00",2026-08-17,UTRGAMI2026080000066,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00067,ORD-GAMI-EX-00067,"₹33,034.00",2026-08-18,UTRGAMI2026080000067,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00068,ORD-GAMI-EX-00068,"₹33,533.00",2026-08-19,UTRGAMI2026080000068,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00069,ORD-GAMI-EX-00069,"₹34,032.00",2026-08-20,UTRGAMI2026080000069,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00070,ORD-GAMI-EX-00070,"₹34,531.00",2026-08-21,UTRGAMI2026080000070,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00071,ORD-GAMI-FEE-00071,"₹4,962.75",2026-08-02,UTRGAMI2026080000071,settled,₹127.25,₹0.00,₹0.00
SET-GAMI-00072,ORD-GAMI-FEE-00072,"₹5,449.27",2026-08-03,UTRGAMI2026080000072,settled,₹139.73,₹0.00,₹0.00
SET-GAMI-00073,ORD-GAMI-FEE-00073,"₹5,935.80",2026-08-04,UTRGAMI2026080000073,settled,₹152.20,₹0.00,₹0.00
SET-GAMI-00074,ORD-GAMI-FEE-00074,"₹6,422.32",2026-08-05,UTRGAMI2026080000074,settled,₹164.68,₹0.00,₹0.00
SET-GAMI-00075,ORD-GAMI-FEE-00075,"₹6,908.85",2026-08-06,UTRGAMI2026080000075,settled,₹177.15,₹0.00,₹0.00
SET-GAMI-00076,ORD-GAMI-FEE-00076,"₹7,395.37",2026-08-07,UTRGAMI2026080000076,settled,₹189.63,₹0.00,₹0.00
SET-GAMI-00077,ORD-GAMI-FEE-00077,"₹7,881.90",2026-08-08,UTRGAMI2026080000077,settled,₹202.10,₹0.00,₹0.00
SET-GAMI-00078,ORD-GAMI-FEE-00078,"₹8,368.42",2026-08-09,UTRGAMI2026080000078,settled,₹214.58,₹0.00,₹0.00
SET-GAMI-00079,ORD-GAMI-GST-00079,"₹9,757.44",2026-08-02,UTRGAMI2026080000079,settled,₹252.00,₹70.56,₹0.00
SET-GAMI-00080,ORD-GAMI-GST-00080,"₹10,240.47",2026-08-03,UTRGAMI2026080000080,settled,₹264.48,₹74.05,₹0.00
SET-GAMI-00081,ORD-GAMI-GST-00081,"₹10,723.50",2026-08-04,UTRGAMI2026080000081,settled,₹276.95,₹77.55,₹0.00
SET-GAMI-00082,ORD-GAMI-GST-00082,"₹11,206.53",2026-08-05,UTRGAMI2026080000082,settled,₹289.43,₹81.04,₹0.00
SET-GAMI-00083,ORD-GAMI-GST-00083,"₹11,689.57",2026-08-06,UTRGAMI2026080000083,settled,₹301.90,₹84.53,₹0.00
SET-GAMI-00084,ORD-GAMI-TDS-00084,"₹10,066.76",2026-08-02,UTRGAMI2026080000084,settled,₹376.75,₹105.49,"₹4,521.00"
SET-GAMI-00085,ORD-GAMI-TDS-00085,"₹10,400.09",2026-08-03,UTRGAMI2026080000085,settled,₹389.23,₹108.98,"₹4,670.70"
SET-GAMI-00086,ORD-GAMI-TDS-00086,"₹10,733.42",2026-08-04,UTRGAMI2026080000086,settled,₹401.70,₹112.48,"₹4,820.40"
SET-GAMI-00087,ORD-GAMI-AI-00087,"₹20,030.00",2026-08-02,UTRGAMI2026080000087,settled,₹30.00,₹0.00,₹0.00
SET-GAMI-00088,ORD-GAMI-AI-00088,"₹20,514.00",2026-08-03,UTRGAMI2026080000088,settled,₹45.00,₹0.00,₹0.00
SET-GAMI-00089,ORD-GAMI-AI-00089,"₹20,998.00",2026-08-04,UTRGAMI2026080000089,settled,₹60.00,₹0.00,₹0.00
SET-GAMI-00090,ORD-GAMI-AI-00090,"₹21,482.00",2026-08-05,UTRGAMI2026080000090,settled,₹75.00,₹0.00,₹0.00
SET-GAMI-00091,ORD-GAMI-AI-00091,"₹21,966.00",2026-08-06,UTRGAMI2026080000091,settled,₹90.00,₹0.00,₹0.00
SET-GAMI-00092,ORD-GAMI-AI-00092,"₹22,525.00",2026-08-07,UTRGAMI2026080000092,settled,₹30.00,₹0.00,₹0.00
SET-GAMI-00093,ORD-GAMI-EXC-00093,"₹25,050.00",2026-08-06,UTRGAMI2026080000093,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00094,ORD-GAMI-EXC-00094,"₹25,549.00",2026-08-07,UTRGAMI2026080000094,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00095,ORD-GAMI-EXC-00095,"₹26,048.00",2026-08-08,UTRGAMI2026080000095,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00096,ORD-GAMI-EXC-00096,"₹26,547.00",2026-08-09,UTRGAMI2026080000096,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00097,ORD-GAMI-EXC-00097,"₹27,046.00",2026-08-10,UTRGAMI2026080000097,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00098,ORD-GAMI-EXC-00098,"₹27,545.00",2026-08-11,UTRGAMI2026080000098,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00099,ORD-GAMI-EXC-00099,"₹28,044.00",2026-08-12,UTRGAMI2026080000099,pending,₹0.00,₹0.00,₹0.00
SET-GAMI-00100,ORD-GAMI-EXC-00100,"₹28,543.00",2026-08-13,UTRGAMI2026080000100,pending,₹0.00,₹0.00,₹0.00
