invoice_number,order_number,gross_amount,created_date,buyer_name,status
INV-MAR-0046,ORD-MAR-EX-0046,"₹6,647.50",01/08/2026,Customer_MAR_46,paid
INV-MAR-0047,ORD-MAR-EX-0047,"₹6,773.00",02/08/2026,Customer_MAR_47,paid
INV-MAR-0048,ORD-MAR-EX-0048,"₹6,898.50",03/08/2026,Customer_MAR_48,paid
INV-MAR-0049,ORD-MAR-EX-0049,"₹7,024.00",04/08/2026,Customer_MAR_49,paid
INV-MAR-0050,ORD-MAR-EX-0050,"₹7,149.50",05/08/2026,Customer_MAR_50,paid
INV-MAR-0051,ORD-MAR-EX-0051,"₹7,275.00",06/08/2026,Customer_MAR_51,paid
INV-MAR-0052,ORD-MAR-EX-0052,"₹7,400.50",07/08/2026,Customer_MAR_52,paid
INV-MAR-0053,ORD-MAR-EX-0053,"₹7,526.00",08/08/2026,Customer_MAR_53,paid
INV-MAR-0054,ORD-MAR-EX-0054,"₹7,651.50",09/08/2026,Customer_MAR_54,paid
INV-MAR-0055,ORD-MAR-EX-0055,"₹7,777.00",10/08/2026,Customer_MAR_55,paid
INV-MAR-0056,ORD-MAR-EX-0056,"₹7,902.50",11/08/2026,Customer_MAR_56,paid
INV-MAR-0057,ORD-MAR-EX-0057,"₹8,028.00",12/08/2026,Customer_MAR_57,paid
INV-MAR-0058,ORD-MAR-EX-0058,"₹8,153.50",13/08/2026,Customer_MAR_58,paid
INV-MAR-0059,ORD-MAR-EX-0059,"₹8,279.00",14/08/2026,Customer_MAR_59,paid
INV-MAR-0060,ORD-MAR-EX-0060,"₹8,404.50",15/08/2026,Customer_MAR_60,paid
INV-MAR-0061,ORD-MAR-EX-0061,"₹8,530.00",01/08/2026,Customer_MAR_61,paid
INV-MAR-0062,ORD-MAR-EX-0062,"₹8,655.50",02/08/2026,Customer_MAR_62,paid
INV-MAR-0063,ORD-MAR-EX-0063,"₹8,781.00",03/08/2026,Customer_MAR_63,paid
INV-MAR-0064,ORD-MAR-EX-0064,"₹8,906.50",04/08/2026,Customer_MAR_64,paid
INV-MAR-0065,ORD-MAR-EX-0065,"₹9,032.00",05/08/2026,Customer_MAR_65,paid
INV-MAR-0066,ORD-MAR-EX-0066,"₹9,157.50",06/08/2026,Customer_MAR_66,paid
INV-MAR-0067,ORD-MAR-EX-0067,"₹9,283.00",07/08/2026,Customer_MAR_67,paid
INV-MAR-0068,ORD-MAR-EX-0068,"₹9,408.50",08/08/2026,Customer_MAR_68,paid
INV-MAR-0069,ORD-MAR-EX-0069,"₹9,534.00",09/08/2026,Customer_MAR_69,paid
INV-MAR-0070,ORD-MAR-EX-0070,"₹9,659.50",10/08/2026,Customer_MAR_70,paid
INV-MAR-0071,ORD-MAR-FEE-0071,"₹5,000.00",01/08/2026,Customer_MAR_71,paid
INV-MAR-0072,ORD-MAR-FEE-0072,"₹5,300.00",02/08/2026,Customer_MAR_72,paid
INV-MAR-0073,ORD-MAR-FEE-0073,"₹5,600.00",03/08/2026,Customer_MAR_73,paid
INV-MAR-0074,ORD-MAR-FEE-0074,"₹5,900.00",04/08/2026,Customer_MAR_74,paid
INV-MAR-0075,ORD-MAR-FEE-0075,"₹6,200.00",05/08/2026,Customer_MAR_75,paid
INV-MAR-0076,ORD-MAR-FEE-0076,"₹6,500.00",06/08/2026,Customer_MAR_76,paid
INV-MAR-0077,ORD-MAR-FEE-0077,"₹6,800.00",07/08/2026,Customer_MAR_77,paid
INV-MAR-0078,ORD-MAR-FEE-0078,"₹7,100.00",08/08/2026,Customer_MAR_78,paid
INV-MAR-0079,ORD-MAR-GST-0079,"₹8,000.00",01/08/2026,Customer_MAR_79,paid
INV-MAR-0080,ORD-MAR-GST-0080,"₹8,450.00",02/08/2026,Customer_MAR_80,paid
INV-MAR-0081,ORD-MAR-GST-0081,"₹8,900.00",03/08/2026,Customer_MAR_81,paid
INV-MAR-0082,ORD-MAR-GST-0082,"₹9,350.00",04/08/2026,Customer_MAR_82,paid
INV-MAR-0083,ORD-MAR-GST-0083,"₹9,800.00",05/08/2026,Customer_MAR_83,paid
INV-MAR-0084,ORD-MAR-TDS-0084,"₹15,000.00",01/08/2026,Customer_MAR_84,paid
INV-MAR-0085,ORD-MAR-TDS-0085,"₹16,000.00",02/08/2026,Customer_MAR_85,paid
INV-MAR-0086,ORD-MAR-TDS-0086,"₹17,000.00",03/08/2026,Customer_MAR_86,paid
INV-MAR-0087,ORD-MAR-AI-0087,"₹12,000.00",03/08/2026,Customer_MAR_87,paid
INV-MAR-0088,ORD-MAR-AI-0088,"₹25,000.00",03/08/2026,Customer_MAR_88,paid
INV-MAR-0089,ORD-MAR-AI-0089,"₹18,500.00",03/08/2026,Customer_MAR_89,paid
INV-MAR-0090,ORD-MAR-AI-0090,"₹32,000.00",03/08/2026,Customer_MAR_90,paid
INV-MAR-0091,ORD-MAR-AI-0091,"₹14,200.00",03/08/2026,Customer_MAR_91,paid
INV-MAR-0092,ORD-MAR-AI-0092,"₹21,000.00",03/08/2026,Customer_MAR_92,paid
INV-MAR-0093,ORD-MAR-DELAY-0093,"₹9,500.00",13/08/2026,Customer_MAR_93,pending_settlement
INV-MAR-0094,ORD-MAR-DELAY-0094,"₹10,000.00",13/08/2026,Customer_MAR_94,pending_settlement
INV-MAR-0095,ORD-MAR-REF-0095,"₹3,200.00",09/08/2026,Customer_MAR_95,refunded
INV-MAR-0096,ORD-MAR-REF-0096,"₹3,600.00",09/08/2026,Customer_MAR_96,refunded
INV-MAR-0097,ORD-MAR-DUP-0097,"₹6,800.00",06/08/2026,Customer_MAR_97_DUP,paid
INV-MAR-0098,ORD-MAR-DUP-0097,"₹6,800.00",06/08/2026,Customer_MAR_98_DUP,paid
INV-MAR-0099,ORD-MAR-MISS-0099,"₹11,000.00",04/08/2026,Customer_MAR_99,paid
INV-MAR-0100,ORD-MAR-UNK-0100,"₹7,777.00",11/08/2026,Customer_MAR_100_UNKNOWN,paid
