bank_ref,value_date,particulars,bank_ref_no,amount,balance,status
BNK-MARK-00022,25/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000022,UTRMARK2026080000022,"₹10,082.00","₹5,119,702.00",credited
BNK-MARK-00023,26/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000023,UTRMARK2026080000023,"₹10,524.00","₹5,130,226.00",credited
BNK-MARK-00024,27/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000024,UTRMARK2026080000024,"₹10,966.00","₹5,141,192.00",credited
BNK-MARK-00025,28/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000025,UTRMARK2026080000025,"₹11,408.00","₹5,152,600.00",credited
BNK-MARK-00026,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000026,UTRMARK2026080000026,"₹11,850.00","₹5,164,450.00",credited
BNK-MARK-00027,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000027,UTRMARK2026080000027,"₹12,292.00","₹5,176,742.00",credited
BNK-MARK-00028,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000028,UTRMARK2026080000028,"₹12,734.00","₹5,189,476.00",credited
BNK-MARK-00029,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000029,UTRMARK2026080000029,"₹13,176.00","₹5,202,652.00",credited
BNK-MARK-00030,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000030,UTRMARK2026080000030,"₹13,618.00","₹5,216,270.00",credited
BNK-MARK-00031,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000031,UTRMARK2026080000031,"₹14,060.00","₹5,230,330.00",credited
BNK-MARK-00032,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000032,UTRMARK2026080000032,"₹14,502.00","₹5,244,832.00",credited
BNK-MARK-00033,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000033,UTRMARK2026080000033,"₹14,944.00","₹5,259,776.00",credited
BNK-MARK-00034,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000034,UTRMARK2026080000034,"₹15,386.00","₹5,275,162.00",credited
BNK-MARK-00035,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000035,UTRMARK2026080000035,"₹15,828.00","₹5,290,990.00",credited
BNK-MARK-00036,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000036,UTRMARK2026080000036,"₹16,270.00","₹5,307,260.00",credited
BNK-MARK-00037,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000037,UTRMARK2026080000037,"₹16,712.00","₹5,323,972.00",credited
BNK-MARK-00038,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000038,UTRMARK2026080000038,"₹17,154.00","₹5,341,126.00",credited
BNK-MARK-00039,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000039,UTRMARK2026080000039,"₹17,596.00","₹5,358,722.00",credited
BNK-MARK-00040,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000040,UTRMARK2026080000040,"₹18,038.00","₹5,376,760.00",credited
BNK-MARK-00041,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000041,UTRMARK2026080000041,"₹18,480.00","₹5,395,240.00",credited
BNK-MARK-00042,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000042,UTRMARK2026080000042,"₹18,922.00","₹5,414,162.00",credited
BNK-MARK-00043,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000043,UTRMARK2026080000043,"₹19,364.00","₹5,433,526.00",credited
BNK-MARK-00044,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000044,UTRMARK2026080000044,"₹19,806.00","₹5,453,332.00",credited
BNK-MARK-00045,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000045,UTRMARK2026080000045,"₹20,248.00","₹5,473,580.00",credited
BNK-MARK-00046,24/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000046,UTRMARK2026080000046,"₹20,690.00","₹5,494,270.00",credited
BNK-MARK-00047,25/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000047,UTRMARK2026080000047,"₹21,132.00","₹5,515,402.00",credited
BNK-MARK-00048,26/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000048,UTRMARK2026080000048,"₹21,574.00","₹5,536,976.00",credited
BNK-MARK-00049,27/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000049,UTRMARK2026080000049,"₹22,016.00","₹5,558,992.00",credited
BNK-MARK-00050,28/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000050,UTRMARK2026080000050,"₹22,458.00","₹5,581,450.00",credited
BNK-MARK-00051,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000051,UTRMARK2026080000051,"₹22,900.00","₹5,604,350.00",credited
BNK-MARK-00052,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000052,UTRMARK2026080000052,"₹23,342.00","₹5,627,692.00",credited
BNK-MARK-00053,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000053,UTRMARK2026080000053,"₹23,784.00","₹5,651,476.00",credited
BNK-MARK-00054,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000054,UTRMARK2026080000054,"₹24,226.00","₹5,675,702.00",credited
BNK-MARK-00055,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000055,UTRMARK2026080000055,"₹24,668.00","₹5,700,370.00",credited
BNK-MARK-00056,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000056,UTRMARK2026080000056,"₹25,110.00","₹5,725,480.00",credited
BNK-MARK-00057,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000057,UTRMARK2026080000057,"₹25,552.00","₹5,751,032.00",credited
BNK-MARK-00058,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000058,UTRMARK2026080000058,"₹25,994.00","₹5,777,026.00",credited
BNK-MARK-00059,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000059,UTRMARK2026080000059,"₹26,436.00","₹5,803,462.00",credited
BNK-MARK-00060,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000060,UTRMARK2026080000060,"₹26,878.00","₹5,830,340.00",credited
BNK-MARK-00061,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000061,UTRMARK2026080000061,"₹27,320.00","₹5,857,660.00",credited
BNK-MARK-00062,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000062,UTRMARK2026080000062,"₹27,762.00","₹5,885,422.00",credited
BNK-MARK-00063,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000063,UTRMARK2026080000063,"₹28,204.00","₹5,913,626.00",credited
BNK-MARK-00064,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000064,UTRMARK2026080000064,"₹28,646.00","₹5,942,272.00",credited
BNK-MARK-00065,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000065,UTRMARK2026080000065,"₹29,088.00","₹5,971,360.00",credited
BNK-MARK-00066,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000066,UTRMARK2026080000066,"₹29,530.00","₹6,000,890.00",credited
BNK-MARK-00067,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000067,UTRMARK2026080000067,"₹29,972.00","₹6,030,862.00",credited
BNK-MARK-00068,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000068,UTRMARK2026080000068,"₹30,414.00","₹6,061,276.00",credited
BNK-MARK-00069,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000069,UTRMARK2026080000069,"₹30,856.00","₹6,092,132.00",credited
BNK-MARK-00070,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000070,UTRMARK2026080000070,"₹31,298.00","₹6,123,430.00",credited
BNK-MARK-00071,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000071,UTRMARK2026080000071,"₹5,126.04","₹6,128,556.04",credited
BNK-MARK-00072,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000072,UTRMARK2026080000072,"₹5,560.08","₹6,134,116.12",credited
BNK-MARK-00073,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000073,UTRMARK2026080000073,"₹5,994.13","₹6,140,110.25",credited
BNK-MARK-00074,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000074,UTRMARK2026080000074,"₹6,428.17","₹6,146,538.42",credited
BNK-MARK-00075,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000075,UTRMARK2026080000075,"₹6,862.22","₹6,153,400.64",credited
BNK-MARK-00076,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000076,UTRMARK2026080000076,"₹7,296.26","₹6,160,696.90",credited
BNK-MARK-00077,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000077,UTRMARK2026080000077,"₹7,730.30","₹6,168,427.20",credited
BNK-MARK-00078,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000078,UTRMARK2026080000078,"₹8,164.35","₹6,176,591.55",credited
BNK-MARK-00079,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000079,UTRMARK2026080000079,"₹9,435.25","₹6,186,026.80",credited
BNK-MARK-00080,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000080,UTRMARK2026080000080,"₹9,867.85","₹6,195,894.65",credited
BNK-MARK-00081,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000081,UTRMARK2026080000081,"₹10,300.47","₹6,206,195.12",credited
BNK-MARK-00082,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000082,UTRMARK2026080000082,"₹10,733.08","₹6,216,928.20",credited
BNK-MARK-00083,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000083,UTRMARK2026080000083,"₹11,165.70","₹6,228,093.90",credited
BNK-MARK-00084,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000084,UTRMARK2026080000084,"₹13,620.77","₹6,241,714.67",credited
BNK-MARK-00085,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000085,UTRMARK2026080000085,"₹14,048.95","₹6,255,763.62",credited
BNK-MARK-00086,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000086,UTRMARK2026080000086,"₹14,477.15","₹6,270,240.77",credited
BNK-MARK-00087,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000087,UTRMARK2026080000087,"₹18,450.00","₹6,288,690.77",credited
BNK-MARK-00088,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000088,UTRMARK2026080000088,"₹18,877.00","₹6,307,567.77",credited
BNK-MARK-00089,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000089,UTRMARK2026080000089,"₹19,304.00","₹6,326,871.77",credited
BNK-MARK-00090,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000090,UTRMARK2026080000090,"₹19,731.00","₹6,346,602.77",credited
BNK-MARK-00091,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000091,UTRMARK2026080000091,"₹20,158.00","₹6,366,760.77",credited
BNK-MARK-00092,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000092,UTRMARK2026080000092,"₹20,660.00","₹6,387,420.77",credited
BNK-MARK-00093,08/08/2026,ACH CR PENDING SETTLEMENT UTRMARK2026080000093,UTRMARK2026080000093,"₹22,900.00","₹6,387,420.77",pending
BNK-MARK-00094,09/08/2026,ACH CR PENDING SETTLEMENT UTRMARK2026080000094,UTRMARK2026080000094,"₹23,342.00","₹6,387,420.77",pending
BNK-MARK-00095,10/08/2026,ACH CR PENDING SETTLEMENT UTRMARK2026080000095,UTRMARK2026080000095,"₹23,784.00","₹6,387,420.77",pending
BNK-MARK-00096,11/08/2026,BANK ANNUAL SERVICE CHARGES,MISC-96,₹-100.00,"₹6,387,420.77",debited
BNK-MARK-00097,05/08/2026,ACH DR RAZORPAY REFUND UTRMARK2026080000097,UTRMARK2026080000097,"₹-24,668.00","₹6,362,752.77",debited
BNK-MARK-00098,13/08/2026,ACH CR PENDING SETTLEMENT UTRMARK2026080000098,UTRMARK2026080000098,"₹25,110.00","₹6,362,752.77",pending
BNK-MARK-00099,14/08/2026,ACH CR PENDING SETTLEMENT UTRMARK2026080000099,UTRMARK2026080000099,"₹25,552.00","₹6,362,752.77",pending
BNK-MARK-00100,15/08/2026,ACH CR PENDING SETTLEMENT UTRMARK2026080000100,UTRMARK2026080000100,"₹25,994.00","₹6,362,752.77",pending
