stmt_txn_id,posting_date,particulars,bank_utr,amount,balance,status
BNK-HEAL-00091,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000091,UTRHEAL2026080000091,"₹ 79,782.00","₹ 10,347,134.22",credited
BNK-HEAL-00092,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000092,UTRHEAL2026080000092,"₹ 81,630.00","₹ 10,428,764.22",credited
BNK-HEAL-00093,07/08/2026,BANK ANNUAL SERVICE CHARGES,MISC-93,₹ -100.00,"₹ 10,428,764.22",debited
BNK-HEAL-00094,08/08/2026,ACH CR PENDING SETTLEMENT UTRHEAL2026080000094,UTRHEAL2026080000094,"₹ 92,388.00","₹ 10,428,764.22",pending
BNK-HEAL-00095,09/08/2026,ACH CR PENDING SETTLEMENT UTRHEAL2026080000095,UTRHEAL2026080000095,"₹ 94,176.00","₹ 10,428,764.22",pending
BNK-HEAL-00096,10/08/2026,ACH CR PENDING SETTLEMENT UTRHEAL2026080000096,UTRHEAL2026080000096,"₹ 95,964.00","₹ 10,428,764.22",pending
BNK-HEAL-00097,11/08/2026,BANK ANNUAL SERVICE CHARGES,MISC-97,₹ -100.00,"₹ 10,428,764.22",debited
BNK-HEAL-00098,12/08/2026,ACH CR PENDING SETTLEMENT UTRHEAL2026080000098,UTRHEAL2026080000098,"₹ 99,540.00","₹ 10,428,764.22",pending
BNK-HEAL-00099,13/08/2026,ACH CR PENDING SETTLEMENT UTRHEAL2026080000099,UTRHEAL2026080000099,"₹ 101,328.00","₹ 10,428,764.22",pending
BNK-HEAL-00100,14/08/2026,ACH CR PENDING SETTLEMENT UTRHEAL2026080000100,UTRHEAL2026080000100,"₹ 103,116.00","₹ 10,428,764.22",pending
