txn_id,statement_date,transaction_details,utr,amount,available_balance,txn_status
BNK-SAAS-00028,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000028,UTRSAAS2026080000028,26745.00 INR,5395430.00 INR,credited
BNK-SAAS-00029,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000029,UTRSAAS2026080000029,27680.00 INR,5423110.00 INR,credited
BNK-SAAS-00030,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000030,UTRSAAS2026080000030,28615.00 INR,5451725.00 INR,credited
BNK-SAAS-00031,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000031,UTRSAAS2026080000031,29550.00 INR,5481275.00 INR,credited
BNK-SAAS-00032,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000032,UTRSAAS2026080000032,30485.00 INR,5511760.00 INR,credited
BNK-SAAS-00033,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000033,UTRSAAS2026080000033,31420.00 INR,5543180.00 INR,credited
BNK-SAAS-00034,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000034,UTRSAAS2026080000034,32355.00 INR,5575535.00 INR,credited
BNK-SAAS-00035,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000035,UTRSAAS2026080000035,33290.00 INR,5608825.00 INR,credited
BNK-SAAS-00036,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000036,UTRSAAS2026080000036,34225.00 INR,5643050.00 INR,credited
BNK-SAAS-00037,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000037,UTRSAAS2026080000037,35160.00 INR,5678210.00 INR,credited
BNK-SAAS-00038,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000038,UTRSAAS2026080000038,36095.00 INR,5714305.00 INR,credited
BNK-SAAS-00039,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000039,UTRSAAS2026080000039,37030.00 INR,5751335.00 INR,credited
BNK-SAAS-00040,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000040,UTRSAAS2026080000040,37965.00 INR,5789300.00 INR,credited
BNK-SAAS-00041,18-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000041,UTRSAAS2026080000041,38900.00 INR,5828200.00 INR,credited
BNK-SAAS-00042,19-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000042,UTRSAAS2026080000042,39835.00 INR,5868035.00 INR,credited
BNK-SAAS-00043,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000043,UTRSAAS2026080000043,40770.00 INR,5908805.00 INR,credited
BNK-SAAS-00044,21-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000044,UTRSAAS2026080000044,41705.00 INR,5950510.00 INR,credited
BNK-SAAS-00045,22-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000045,UTRSAAS2026080000045,42640.00 INR,5993150.00 INR,credited
BNK-SAAS-00046,23-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000046,UTRSAAS2026080000046,43575.00 INR,6036725.00 INR,credited
BNK-SAAS-00047,24-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000047,UTRSAAS2026080000047,44510.00 INR,6081235.00 INR,credited
BNK-SAAS-00048,25-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000048,UTRSAAS2026080000048,45445.00 INR,6126680.00 INR,credited
BNK-SAAS-00049,26-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000049,UTRSAAS2026080000049,46380.00 INR,6173060.00 INR,credited
BNK-SAAS-00050,27-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000050,UTRSAAS2026080000050,47315.00 INR,6220375.00 INR,credited
BNK-SAAS-00051,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000051,UTRSAAS2026080000051,48250.00 INR,6268625.00 INR,credited
BNK-SAAS-00052,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000052,UTRSAAS2026080000052,49185.00 INR,6317810.00 INR,credited
BNK-SAAS-00053,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000053,UTRSAAS2026080000053,50120.00 INR,6367930.00 INR,credited
BNK-SAAS-00054,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000054,UTRSAAS2026080000054,51055.00 INR,6418985.00 INR,credited
BNK-SAAS-00055,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000055,UTRSAAS2026080000055,51990.00 INR,6470975.00 INR,credited
BNK-SAAS-00056,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000056,UTRSAAS2026080000056,52925.00 INR,6523900.00 INR,credited
BNK-SAAS-00057,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000057,UTRSAAS2026080000057,53860.00 INR,6577760.00 INR,credited
BNK-SAAS-00058,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000058,UTRSAAS2026080000058,54795.00 INR,6632555.00 INR,credited
BNK-SAAS-00059,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000059,UTRSAAS2026080000059,55730.00 INR,6688285.00 INR,credited
BNK-SAAS-00060,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000060,UTRSAAS2026080000060,56665.00 INR,6744950.00 INR,credited
BNK-SAAS-00061,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000061,UTRSAAS2026080000061,57600.00 INR,6802550.00 INR,credited
BNK-SAAS-00062,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000062,UTRSAAS2026080000062,58535.00 INR,6861085.00 INR,credited
BNK-SAAS-00063,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000063,UTRSAAS2026080000063,59470.00 INR,6920555.00 INR,credited
BNK-SAAS-00064,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000064,UTRSAAS2026080000064,60405.00 INR,6980960.00 INR,credited
BNK-SAAS-00065,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000065,UTRSAAS2026080000065,61340.00 INR,7042300.00 INR,credited
BNK-SAAS-00066,18-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000066,UTRSAAS2026080000066,62275.00 INR,7104575.00 INR,credited
BNK-SAAS-00067,19-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000067,UTRSAAS2026080000067,63210.00 INR,7167785.00 INR,credited
BNK-SAAS-00068,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000068,UTRSAAS2026080000068,64145.00 INR,7231930.00 INR,credited
BNK-SAAS-00069,21-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000069,UTRSAAS2026080000069,65080.00 INR,7297010.00 INR,credited
BNK-SAAS-00070,22-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000070,UTRSAAS2026080000070,66015.00 INR,7363025.00 INR,credited
BNK-SAAS-00071,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000071,UTRSAAS2026080000071,10611.30 INR,7373636.30 INR,credited
BNK-SAAS-00072,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000072,UTRSAAS2026080000072,11525.73 INR,7385162.03 INR,credited
BNK-SAAS-00073,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000073,UTRSAAS2026080000073,12440.16 INR,7397602.19 INR,credited
BNK-SAAS-00074,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000074,UTRSAAS2026080000074,13354.59 INR,7410956.78 INR,credited
BNK-SAAS-00075,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000075,UTRSAAS2026080000075,14269.02 INR,7425225.80 INR,credited
BNK-SAAS-00076,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000076,UTRSAAS2026080000076,15183.45 INR,7440409.25 INR,credited
BNK-SAAS-00077,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000077,UTRSAAS2026080000077,16097.88 INR,7456507.13 INR,credited
BNK-SAAS-00078,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000078,UTRSAAS2026080000078,17012.31 INR,7473519.44 INR,credited
BNK-SAAS-00079,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000079,UTRSAAS2026080000079,19675.61 INR,7493195.05 INR,credited
BNK-SAAS-00080,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000080,UTRSAAS2026080000080,20586.34 INR,7513781.39 INR,credited
BNK-SAAS-00081,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000081,UTRSAAS2026080000081,21497.06 INR,7535278.45 INR,credited
BNK-SAAS-00082,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000082,UTRSAAS2026080000082,22407.79 INR,7557686.24 INR,credited
BNK-SAAS-00083,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000083,UTRSAAS2026080000083,23318.52 INR,7581004.76 INR,credited
BNK-SAAS-00084,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000084,UTRSAAS2026080000084,28487.38 INR,7609492.14 INR,credited
BNK-SAAS-00085,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000085,UTRSAAS2026080000085,29388.76 INR,7638880.90 INR,credited
BNK-SAAS-00086,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000086,UTRSAAS2026080000086,30290.14 INR,7669171.04 INR,credited
BNK-SAAS-00087,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000087,UTRSAAS2026080000087,38870.00 INR,7708041.04 INR,credited
BNK-SAAS-00088,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000088,UTRSAAS2026080000088,39790.00 INR,7747831.04 INR,credited
BNK-SAAS-00089,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000089,UTRSAAS2026080000089,40710.00 INR,7788541.04 INR,credited
BNK-SAAS-00090,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000090,UTRSAAS2026080000090,41630.00 INR,7830171.04 INR,credited
BNK-SAAS-00091,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000091,UTRSAAS2026080000091,42550.00 INR,7872721.04 INR,credited
BNK-SAAS-00092,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000092,UTRSAAS2026080000092,43545.00 INR,7916266.04 INR,credited
BNK-SAAS-00093,07-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000093,UTRSAAS2026080000093,48250.00 INR,7916266.04 INR,pending
BNK-SAAS-00094,08-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000094,UTRSAAS2026080000094,49185.00 INR,7916266.04 INR,pending
BNK-SAAS-00095,09-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000095,UTRSAAS2026080000095,50120.00 INR,7916266.04 INR,pending
BNK-SAAS-00096,10-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000096,UTRSAAS2026080000096,51055.00 INR,7916266.04 INR,pending
BNK-SAAS-00097,11-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000097,UTRSAAS2026080000097,51990.00 INR,7916266.04 INR,pending
BNK-SAAS-00098,12-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000098,UTRSAAS2026080000098,52925.00 INR,7916266.04 INR,pending
BNK-SAAS-00099,13-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000099,UTRSAAS2026080000099,53860.00 INR,7916266.04 INR,pending
BNK-SAAS-00100,14-Aug-2026,ACH CR PENDING SETTLEMENT UTRSAAS2026080000100,UTRSAAS2026080000100,54795.00 INR,7916266.04 INR,pending
