settlement_id,order_id,amount,settlement_date,reference_number,status,fees,gst,tds
SET-RETA-00055,ORD-RETA-EX-00055,17487.00,2026-08-07,UTRRETA2026080000055,settled,0.00,0.00,0.00
SET-RETA-00056,ORD-RETA-EX-00056,17802.50,2026-08-08,UTRRETA2026080000056,settled,0.00,0.00,0.00
SET-RETA-00057,ORD-RETA-EX-00057,18118.00,2026-08-09,UTRRETA2026080000057,settled,0.00,0.00,0.00
SET-RETA-00058,ORD-RETA-EX-00058,18433.50,2026-08-10,UTRRETA2026080000058,settled,0.00,0.00,0.00
SET-RETA-00059,ORD-RETA-EX-00059,18749.00,2026-08-11,UTRRETA2026080000059,settled,0.00,0.00,0.00
SET-RETA-00060,ORD-RETA-EX-00060,19064.50,2026-08-12,UTRRETA2026080000060,settled,0.00,0.00,0.00
SET-RETA-00061,ORD-RETA-EX-00061,19380.00,2026-08-13,UTRRETA2026080000061,settled,0.00,0.00,0.00
SET-RETA-00062,ORD-RETA-EX-00062,19695.50,2026-08-14,UTRRETA2026080000062,settled,0.00,0.00,0.00
SET-RETA-00063,ORD-RETA-EX-00063,20011.00,2026-08-15,UTRRETA2026080000063,settled,0.00,0.00,0.00
SET-RETA-00064,ORD-RETA-EX-00064,20326.50,2026-08-16,UTRRETA2026080000064,settled,0.00,0.00,0.00
SET-RETA-00065,ORD-RETA-EX-00065,20642.00,2026-08-17,UTRRETA2026080000065,settled,0.00,0.00,0.00
SET-RETA-00066,ORD-RETA-EX-00066,20957.50,2026-08-18,UTRRETA2026080000066,settled,0.00,0.00,0.00
SET-RETA-00067,ORD-RETA-EX-00067,21273.00,2026-08-19,UTRRETA2026080000067,settled,0.00,0.00,0.00
SET-RETA-00068,ORD-RETA-EX-00068,21588.50,2026-08-20,UTRRETA2026080000068,settled,0.00,0.00,0.00
SET-RETA-00069,ORD-RETA-EX-00069,21904.00,2026-08-21,UTRRETA2026080000069,settled,0.00,0.00,0.00
SET-RETA-00070,ORD-RETA-EX-00070,22219.50,2026-08-22,UTRRETA2026080000070,settled,0.00,0.00,0.00
SET-RETA-00071,ORD-RETA-FEE-00071,3532.90,2026-08-03,UTRRETA2026080000071,settled,72.10,0.00,0.00
SET-RETA-00072,ORD-RETA-FEE-00072,3842.09,2026-08-04,UTRRETA2026080000072,settled,78.41,0.00,0.00
SET-RETA-00073,ORD-RETA-FEE-00073,4151.28,2026-08-05,UTRRETA2026080000073,settled,84.72,0.00,0.00
SET-RETA-00074,ORD-RETA-FEE-00074,4460.47,2026-08-06,UTRRETA2026080000074,settled,91.03,0.00,0.00
SET-RETA-00075,ORD-RETA-FEE-00075,4769.66,2026-08-07,UTRRETA2026080000075,settled,97.34,0.00,0.00
SET-RETA-00076,ORD-RETA-FEE-00076,5078.85,2026-08-08,UTRRETA2026080000076,settled,103.65,0.00,0.00
SET-RETA-00077,ORD-RETA-FEE-00077,5388.04,2026-08-09,UTRRETA2026080000077,settled,109.96,0.00,0.00
SET-RETA-00078,ORD-RETA-FEE-00078,5697.23,2026-08-10,UTRRETA2026080000078,settled,116.27,0.00,0.00
SET-RETA-00079,ORD-RETA-GST-00079,6600.46,2026-08-03,UTRRETA2026080000079,settled,135.20,24.34,0.00
SET-RETA-00080,ORD-RETA-GST-00080,6908.52,2026-08-04,UTRRETA2026080000080,settled,141.51,25.47,0.00
SET-RETA-00081,ORD-RETA-GST-00081,7216.57,2026-08-05,UTRRETA2026080000081,settled,147.82,26.61,0.00
SET-RETA-00082,ORD-RETA-GST-00082,7524.63,2026-08-06,UTRRETA2026080000082,settled,154.13,27.74,0.00
SET-RETA-00083,ORD-RETA-GST-00083,7832.68,2026-08-07,UTRRETA2026080000083,settled,160.44,28.88,0.00
SET-RETA-00084,ORD-RETA-TDS-00084,9581.86,2026-08-03,UTRRETA2026080000084,settled,198.30,35.69,99.15
SET-RETA-00085,ORD-RETA-TDS-00085,9886.75,2026-08-04,UTRRETA2026080000085,settled,204.61,36.83,102.31
SET-RETA-00086,ORD-RETA-TDS-00086,10191.65,2026-08-05,UTRRETA2026080000086,settled,210.92,37.97,105.46
SET-RETA-00087,ORD-RETA-AI-00087,13040.00,2026-08-03,UTRRETA2026080000087,settled,30.00,0.00,0.00
SET-RETA-00088,ORD-RETA-AI-00088,13340.50,2026-08-04,UTRRETA2026080000088,settled,45.00,0.00,0.00
SET-RETA-00089,ORD-RETA-AI-00089,13641.00,2026-08-05,UTRRETA2026080000089,settled,60.00,0.00,0.00
SET-RETA-00090,ORD-RETA-AI-00090,13941.50,2026-08-06,UTRRETA2026080000090,settled,75.00,0.00,0.00
SET-RETA-00091,ORD-RETA-AI-00091,14242.00,2026-08-07,UTRRETA2026080000091,settled,90.00,0.00,0.00
SET-RETA-00092,ORD-RETA-AI-00092,14617.50,2026-08-08,UTRRETA2026080000092,settled,30.00,0.00,0.00
SET-RETA-00093,ORD-RETA-EXC-00093,16225.00,2026-08-07,UTRRETA2026080000093,pending,0.00,0.00,0.00
SET-RETA-00094,ORD-RETA-EXC-00094,16540.50,2026-08-08,UTRRETA2026080000094,settled,0.00,0.00,0.00
SET-RETA-00095,ORD-RETA-EXC-00095,-16856.00,2026-08-03,UTRRETA2026080000095,refund_processed,0.00,0.00,0.00
SET-RETA-00096,ORD-RETA-EXC-00096,17171.50,2026-08-10,UTRRETA2026080000096,pending,0.00,0.00,0.00
SET-RETA-00097,ORD-RETA-EXC-00097,17487.00,2026-08-11,UTRRETA2026080000097,pending,0.00,0.00,0.00
SET-RETA-00098,ORD-RETA-EXC-00098,17802.50,2026-08-12,UTRRETA2026080000098,settled,0.00,0.00,0.00
SET-RETA-00099,ORD-RETA-EXC-00099,-18118.00,2026-08-07,UTRRETA2026080000099,refund_processed,0.00,0.00,0.00
SET-RETA-00100,ORD-RETA-EXC-00100,18433.50,2026-08-14,UTRRETA2026080000100,pending,0.00,0.00,0.00
