bank_txn_id,txn_date,description,reference_number,amount,balance,status
BNK-RETA-00038,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000038,UTRRETA2026080000038,12123.50,5238896.50,credited
BNK-RETA-00039,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000039,UTRRETA2026080000039,12439.00,5251335.50,credited
BNK-RETA-00040,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000040,UTRRETA2026080000040,12754.50,5264090.00,credited
BNK-RETA-00041,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000041,UTRRETA2026080000041,13070.00,5277160.00,credited
BNK-RETA-00042,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000042,UTRRETA2026080000042,13385.50,5290545.50,credited
BNK-RETA-00043,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000043,UTRRETA2026080000043,13701.00,5304246.50,credited
BNK-RETA-00044,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000044,UTRRETA2026080000044,14016.50,5318263.00,credited
BNK-RETA-00045,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000045,UTRRETA2026080000045,14332.00,5332595.00,credited
BNK-RETA-00046,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000046,UTRRETA2026080000046,14647.50,5347242.50,credited
BNK-RETA-00047,2026-08-24,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000047,UTRRETA2026080000047,14963.00,5362205.50,credited
BNK-RETA-00048,2026-08-25,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000048,UTRRETA2026080000048,15278.50,5377484.00,credited
BNK-RETA-00049,2026-08-26,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000049,UTRRETA2026080000049,15594.00,5393078.00,credited
BNK-RETA-00050,2026-08-27,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000050,UTRRETA2026080000050,15909.50,5408987.50,credited
BNK-RETA-00051,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000051,UTRRETA2026080000051,16225.00,5425212.50,credited
BNK-RETA-00052,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000052,UTRRETA2026080000052,16540.50,5441753.00,credited
BNK-RETA-00053,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000053,UTRRETA2026080000053,16856.00,5458609.00,credited
BNK-RETA-00054,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000054,UTRRETA2026080000054,17171.50,5475780.50,credited
BNK-RETA-00055,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000055,UTRRETA2026080000055,17487.00,5493267.50,credited
BNK-RETA-00056,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000056,UTRRETA2026080000056,17802.50,5511070.00,credited
BNK-RETA-00057,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000057,UTRRETA2026080000057,18118.00,5529188.00,credited
BNK-RETA-00058,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000058,UTRRETA2026080000058,18433.50,5547621.50,credited
BNK-RETA-00059,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000059,UTRRETA2026080000059,18749.00,5566370.50,credited
BNK-RETA-00060,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000060,UTRRETA2026080000060,19064.50,5585435.00,credited
BNK-RETA-00061,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000061,UTRRETA2026080000061,19380.00,5604815.00,credited
BNK-RETA-00062,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000062,UTRRETA2026080000062,19695.50,5624510.50,credited
BNK-RETA-00063,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000063,UTRRETA2026080000063,20011.00,5644521.50,credited
BNK-RETA-00064,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000064,UTRRETA2026080000064,20326.50,5664848.00,credited
BNK-RETA-00065,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000065,UTRRETA2026080000065,20642.00,5685490.00,credited
BNK-RETA-00066,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000066,UTRRETA2026080000066,20957.50,5706447.50,credited
BNK-RETA-00067,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000067,UTRRETA2026080000067,21273.00,5727720.50,credited
BNK-RETA-00068,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000068,UTRRETA2026080000068,21588.50,5749309.00,credited
BNK-RETA-00069,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000069,UTRRETA2026080000069,21904.00,5771213.00,credited
BNK-RETA-00070,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000070,UTRRETA2026080000070,22219.50,5793432.50,credited
BNK-RETA-00071,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000071,UTRRETA2026080000071,3532.90,5796965.40,credited
BNK-RETA-00072,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000072,UTRRETA2026080000072,3842.09,5800807.49,credited
BNK-RETA-00073,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000073,UTRRETA2026080000073,4151.28,5804958.77,credited
BNK-RETA-00074,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000074,UTRRETA2026080000074,4460.47,5809419.24,credited
BNK-RETA-00075,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000075,UTRRETA2026080000075,4769.66,5814188.90,credited
BNK-RETA-00076,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000076,UTRRETA2026080000076,5078.85,5819267.75,credited
BNK-RETA-00077,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000077,UTRRETA2026080000077,5388.04,5824655.79,credited
BNK-RETA-00078,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000078,UTRRETA2026080000078,5697.23,5830353.02,credited
BNK-RETA-00079,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000079,UTRRETA2026080000079,6600.46,5836953.48,credited
BNK-RETA-00080,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000080,UTRRETA2026080000080,6908.52,5843862.00,credited
BNK-RETA-00081,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000081,UTRRETA2026080000081,7216.57,5851078.57,credited
BNK-RETA-00082,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000082,UTRRETA2026080000082,7524.63,5858603.20,credited
BNK-RETA-00083,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000083,UTRRETA2026080000083,7832.68,5866435.88,credited
BNK-RETA-00084,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000084,UTRRETA2026080000084,9581.86,5876017.74,credited
BNK-RETA-00085,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000085,UTRRETA2026080000085,9886.75,5885904.49,credited
BNK-RETA-00086,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000086,UTRRETA2026080000086,10191.65,5896096.14,credited
BNK-RETA-00087,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000087,UTRRETA2026080000087,13040.00,5909136.14,credited
BNK-RETA-00088,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000088,UTRRETA2026080000088,13340.50,5922476.64,credited
BNK-RETA-00089,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000089,UTRRETA2026080000089,13641.00,5936117.64,credited
BNK-RETA-00090,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000090,UTRRETA2026080000090,13941.50,5950059.14,credited
BNK-RETA-00091,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000091,UTRRETA2026080000091,14242.00,5964301.14,credited
BNK-RETA-00092,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000092,UTRRETA2026080000092,14617.50,5978918.64,credited
BNK-RETA-00093,2026-08-07,ACH CR PENDING SETTLEMENT UTRRETA2026080000093,UTRRETA2026080000093,16225.00,5978918.64,pending
BNK-RETA-00094,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000094,UTRRETA2026080000094,16540.50,5978918.64,credited
BNK-RETA-00095,2026-08-03,ACH DR RAZORPAY REFUND UTRRETA2026080000095,UTRRETA2026080000095,-16856.00,5962062.64,debited
BNK-RETA-00096,2026-08-10,ACH CR PENDING SETTLEMENT UTRRETA2026080000096,UTRRETA2026080000096,17171.50,5962062.64,pending
BNK-RETA-00097,2026-08-11,ACH CR PENDING SETTLEMENT UTRRETA2026080000097,UTRRETA2026080000097,17487.00,5962062.64,pending
BNK-RETA-00098,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000098,UTRRETA2026080000098,17802.50,5962062.64,credited
BNK-RETA-00099,2026-08-07,ACH DR RAZORPAY REFUND UTRRETA2026080000099,UTRRETA2026080000099,-18118.00,5943944.64,debited
BNK-RETA-00100,2026-08-14,ACH CR PENDING SETTLEMENT UTRRETA2026080000100,UTRRETA2026080000100,18433.50,5943944.64,pending
