inv_id,order_no,invoice_value,bill_date,customer,state
INV-RET-0040,ORD-RET-EX-0040,5894.50,2026-08-10,Customer_RET_40,paid
INV-RET-0041,ORD-RET-EX-0041,6020.00,2026-08-11,Customer_RET_41,paid
INV-RET-0042,ORD-RET-EX-0042,6145.50,2026-08-12,Customer_RET_42,paid
INV-RET-0043,ORD-RET-EX-0043,6271.00,2026-08-13,Customer_RET_43,paid
INV-RET-0044,ORD-RET-EX-0044,6396.50,2026-08-14,Customer_RET_44,paid
INV-RET-0045,ORD-RET-EX-0045,6522.00,2026-08-15,Customer_RET_45,paid
INV-RET-0046,ORD-RET-EX-0046,6647.50,2026-08-01,Customer_RET_46,paid
INV-RET-0047,ORD-RET-EX-0047,6773.00,2026-08-02,Customer_RET_47,paid
INV-RET-0048,ORD-RET-EX-0048,6898.50,2026-08-03,Customer_RET_48,paid
INV-RET-0049,ORD-RET-EX-0049,7024.00,2026-08-04,Customer_RET_49,paid
INV-RET-0050,ORD-RET-EX-0050,7149.50,2026-08-05,Customer_RET_50,paid
INV-RET-0051,ORD-RET-EX-0051,7275.00,2026-08-06,Customer_RET_51,paid
INV-RET-0052,ORD-RET-EX-0052,7400.50,2026-08-07,Customer_RET_52,paid
INV-RET-0053,ORD-RET-EX-0053,7526.00,2026-08-08,Customer_RET_53,paid
INV-RET-0054,ORD-RET-EX-0054,7651.50,2026-08-09,Customer_RET_54,paid
INV-RET-0055,ORD-RET-EX-0055,7777.00,2026-08-10,Customer_RET_55,paid
INV-RET-0056,ORD-RET-EX-0056,7902.50,2026-08-11,Customer_RET_56,paid
INV-RET-0057,ORD-RET-EX-0057,8028.00,2026-08-12,Customer_RET_57,paid
INV-RET-0058,ORD-RET-EX-0058,8153.50,2026-08-13,Customer_RET_58,paid
INV-RET-0059,ORD-RET-EX-0059,8279.00,2026-08-14,Customer_RET_59,paid
INV-RET-0060,ORD-RET-EX-0060,8404.50,2026-08-15,Customer_RET_60,paid
INV-RET-0061,ORD-RET-EX-0061,8530.00,2026-08-01,Customer_RET_61,paid
INV-RET-0062,ORD-RET-EX-0062,8655.50,2026-08-02,Customer_RET_62,paid
INV-RET-0063,ORD-RET-EX-0063,8781.00,2026-08-03,Customer_RET_63,paid
INV-RET-0064,ORD-RET-EX-0064,8906.50,2026-08-04,Customer_RET_64,paid
INV-RET-0065,ORD-RET-EX-0065,9032.00,2026-08-05,Customer_RET_65,paid
INV-RET-0066,ORD-RET-EX-0066,9157.50,2026-08-06,Customer_RET_66,paid
INV-RET-0067,ORD-RET-EX-0067,9283.00,2026-08-07,Customer_RET_67,paid
INV-RET-0068,ORD-RET-EX-0068,9408.50,2026-08-08,Customer_RET_68,paid
INV-RET-0069,ORD-RET-EX-0069,9534.00,2026-08-09,Customer_RET_69,paid
INV-RET-0070,ORD-RET-EX-0070,9659.50,2026-08-10,Customer_RET_70,paid
INV-RET-0071,ORD-RET-FEE-0071,5000.00,2026-08-01,Customer_RET_71,paid
INV-RET-0072,ORD-RET-FEE-0072,5300.00,2026-08-02,Customer_RET_72,paid
INV-RET-0073,ORD-RET-FEE-0073,5600.00,2026-08-03,Customer_RET_73,paid
INV-RET-0074,ORD-RET-FEE-0074,5900.00,2026-08-04,Customer_RET_74,paid
INV-RET-0075,ORD-RET-FEE-0075,6200.00,2026-08-05,Customer_RET_75,paid
INV-RET-0076,ORD-RET-FEE-0076,6500.00,2026-08-06,Customer_RET_76,paid
INV-RET-0077,ORD-RET-FEE-0077,6800.00,2026-08-07,Customer_RET_77,paid
INV-RET-0078,ORD-RET-FEE-0078,7100.00,2026-08-08,Customer_RET_78,paid
INV-RET-0079,ORD-RET-GST-0079,8000.00,2026-08-01,Customer_RET_79,paid
INV-RET-0080,ORD-RET-GST-0080,8450.00,2026-08-02,Customer_RET_80,paid
INV-RET-0081,ORD-RET-GST-0081,8900.00,2026-08-03,Customer_RET_81,paid
INV-RET-0082,ORD-RET-GST-0082,9350.00,2026-08-04,Customer_RET_82,paid
INV-RET-0083,ORD-RET-GST-0083,9800.00,2026-08-05,Customer_RET_83,paid
INV-RET-0084,ORD-RET-TDS-0084,15000.00,2026-08-01,Customer_RET_84,paid
INV-RET-0085,ORD-RET-TDS-0085,16000.00,2026-08-02,Customer_RET_85,paid
INV-RET-0086,ORD-RET-TDS-0086,17000.00,2026-08-03,Customer_RET_86,paid
INV-RET-0087,ORD-RET-AI-0087,12000.00,2026-08-03,Customer_RET_87,paid
INV-RET-0088,ORD-RET-AI-0088,25000.00,2026-08-03,Customer_RET_88,paid
INV-RET-0089,ORD-RET-AI-0089,18500.00,2026-08-03,Customer_RET_89,paid
INV-RET-0090,ORD-RET-AI-0090,32000.00,2026-08-03,Customer_RET_90,paid
INV-RET-0091,ORD-RET-AI-0091,14200.00,2026-08-03,Customer_RET_91,paid
INV-RET-0092,ORD-RET-AI-0092,21000.00,2026-08-03,Customer_RET_92,paid
INV-RET-0093,ORD-RET-DELAY-0093,9500.00,2026-08-13,Customer_RET_93,pending_settlement
INV-RET-0094,ORD-RET-DELAY-0094,10000.00,2026-08-13,Customer_RET_94,pending_settlement
INV-RET-0095,ORD-RET-REF-0095,3200.00,2026-08-09,Customer_RET_95,refunded
INV-RET-0096,ORD-RET-REF-0096,3600.00,2026-08-09,Customer_RET_96,refunded
INV-RET-0097,ORD-RET-DUP-0097,6800.00,2026-08-06,Customer_RET_97_DUP,paid
INV-RET-0098,ORD-RET-DUP-0097,6800.00,2026-08-06,Customer_RET_98_DUP,paid
INV-RET-0099,ORD-RET-MISS-0099,11000.00,2026-08-04,Customer_RET_99,paid
INV-RET-0100,ORD-RET-UNK-0100,7777.00,2026-08-11,Customer_RET_100_UNKNOWN,paid
