bill_no,table_order_id,billed_amount,order_date,guest_name,order_status
INV-REST-00092,ORD-REST-AI-00092,3962.50,06/08/2026,Client_REST_92,paid
INV-REST-00093,ORD-REST-EXC-00093,4375.00,01/08/2026,Client_REST_93,pending_settlement
INV-REST-00094,ORD-REST-EXC-00094,4457.50,02/08/2026,Client_REST_94,pending_settlement
INV-REST-00095,ORD-REST-EXC-00095,4540.00,03/08/2026,Client_REST_95,pending_settlement
INV-REST-00096,ORD-REST-EXC-00096,4622.50,04/08/2026,Client_REST_96,paid
INV-REST-00096-DUP,ORD-REST-EXC-00096,4622.50,04/08/2026,Client_REST_96_DUP,paid
INV-REST-00097,ORD-REST-EXC-00097,4705.00,05/08/2026,Client_REST_97,pending_settlement
INV-REST-00098,ORD-REST-EXC-00098,4787.50,06/08/2026,Client_REST_98,pending_settlement
INV-REST-00099,ORD-REST-EXC-00099,4870.00,07/08/2026,Client_REST_99,pending_settlement
INV-REST-00100,ORD-REST-EXC-00100,4952.50,08/08/2026,Client_REST_100,paid
INV-REST-00100-DUP,ORD-REST-EXC-00100,4952.50,08/08/2026,Client_REST_100_DUP,paid
