entry_id,trans_date,memo,rrn,amount,account_balance,state
BNK-REST-00015,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000015,UTRREST2026080000015,1405.00,5012412.50,credited
BNK-REST-00016,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000016,UTRREST2026080000016,1487.50,5013900.00,credited
BNK-REST-00017,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000017,UTRREST2026080000017,1570.00,5015470.00,credited
BNK-REST-00018,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000018,UTRREST2026080000018,1652.50,5017122.50,credited
BNK-REST-00019,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000019,UTRREST2026080000019,1735.00,5018857.50,credited
BNK-REST-00020,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000020,UTRREST2026080000020,1817.50,5020675.00,credited
BNK-REST-00021,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000021,UTRREST2026080000021,1900.00,5022575.00,credited
BNK-REST-00022,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000022,UTRREST2026080000022,1982.50,5024557.50,credited
BNK-REST-00023,24/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000023,UTRREST2026080000023,2065.00,5026622.50,credited
BNK-REST-00024,25/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000024,UTRREST2026080000024,2147.50,5028770.00,credited
BNK-REST-00025,26/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000025,UTRREST2026080000025,2230.00,5031000.00,credited
BNK-REST-00026,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000026,UTRREST2026080000026,2312.50,5033312.50,credited
BNK-REST-00027,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000027,UTRREST2026080000027,2395.00,5035707.50,credited
BNK-REST-00028,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000028,UTRREST2026080000028,2477.50,5038185.00,credited
BNK-REST-00029,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000029,UTRREST2026080000029,2560.00,5040745.00,credited
BNK-REST-00030,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000030,UTRREST2026080000030,2642.50,5043387.50,credited
BNK-REST-00031,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000031,UTRREST2026080000031,2725.00,5046112.50,credited
BNK-REST-00032,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000032,UTRREST2026080000032,2807.50,5048920.00,credited
BNK-REST-00033,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000033,UTRREST2026080000033,2890.00,5051810.00,credited
BNK-REST-00034,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000034,UTRREST2026080000034,2972.50,5054782.50,credited
BNK-REST-00035,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000035,UTRREST2026080000035,3055.00,5057837.50,credited
BNK-REST-00036,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000036,UTRREST2026080000036,3137.50,5060975.00,credited
BNK-REST-00037,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000037,UTRREST2026080000037,3220.00,5064195.00,credited
BNK-REST-00038,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000038,UTRREST2026080000038,3302.50,5067497.50,credited
BNK-REST-00039,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000039,UTRREST2026080000039,3385.00,5070882.50,credited
BNK-REST-00040,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000040,UTRREST2026080000040,3467.50,5074350.00,credited
BNK-REST-00041,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000041,UTRREST2026080000041,3550.00,5077900.00,credited
BNK-REST-00042,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000042,UTRREST2026080000042,3632.50,5081532.50,credited
BNK-REST-00043,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000043,UTRREST2026080000043,3715.00,5085247.50,credited
BNK-REST-00044,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000044,UTRREST2026080000044,3797.50,5089045.00,credited
BNK-REST-00045,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000045,UTRREST2026080000045,3880.00,5092925.00,credited
BNK-REST-00046,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000046,UTRREST2026080000046,3962.50,5096887.50,credited
BNK-REST-00047,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000047,UTRREST2026080000047,4045.00,5100932.50,credited
BNK-REST-00048,24/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000048,UTRREST2026080000048,4127.50,5105060.00,credited
BNK-REST-00049,25/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000049,UTRREST2026080000049,4210.00,5109270.00,credited
BNK-REST-00050,26/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000050,UTRREST2026080000050,4292.50,5113562.50,credited
BNK-REST-00051,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000051,UTRREST2026080000051,4375.00,5117937.50,credited
BNK-REST-00052,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000052,UTRREST2026080000052,4457.50,5122395.00,credited
BNK-REST-00053,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000053,UTRREST2026080000053,4540.00,5126935.00,credited
BNK-REST-00054,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000054,UTRREST2026080000054,4622.50,5131557.50,credited
BNK-REST-00055,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000055,UTRREST2026080000055,4705.00,5136262.50,credited
BNK-REST-00056,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000056,UTRREST2026080000056,4787.50,5141050.00,credited
BNK-REST-00057,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000057,UTRREST2026080000057,4870.00,5145920.00,credited
BNK-REST-00058,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000058,UTRREST2026080000058,4952.50,5150872.50,credited
BNK-REST-00059,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000059,UTRREST2026080000059,5035.00,5155907.50,credited
BNK-REST-00060,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000060,UTRREST2026080000060,5117.50,5161025.00,credited
BNK-REST-00061,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000061,UTRREST2026080000061,5200.00,5166225.00,credited
BNK-REST-00062,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000062,UTRREST2026080000062,5282.50,5171507.50,credited
BNK-REST-00063,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000063,UTRREST2026080000063,5365.00,5176872.50,credited
BNK-REST-00064,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000064,UTRREST2026080000064,5447.50,5182320.00,credited
BNK-REST-00065,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000065,UTRREST2026080000065,5530.00,5187850.00,credited
BNK-REST-00066,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000066,UTRREST2026080000066,5612.50,5193462.50,credited
BNK-REST-00067,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000067,UTRREST2026080000067,5695.00,5199157.50,credited
BNK-REST-00068,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000068,UTRREST2026080000068,5777.50,5204935.00,credited
BNK-REST-00069,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000069,UTRREST2026080000069,5860.00,5210795.00,credited
BNK-REST-00070,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000070,UTRREST2026080000070,5942.50,5216737.50,credited
BNK-REST-00071,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000071,UTRREST2026080000071,1058.87,5217796.37,credited
BNK-REST-00072,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000072,UTRREST2026080000072,1140.14,5218936.51,credited
BNK-REST-00073,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000073,UTRREST2026080000073,1221.40,5220157.91,credited
BNK-REST-00074,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000074,UTRREST2026080000074,1302.66,5221460.57,credited
BNK-REST-00075,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000075,UTRREST2026080000075,1383.92,5222844.49,credited
BNK-REST-00076,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000076,UTRREST2026080000076,1465.19,5224309.68,credited
BNK-REST-00077,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000077,UTRREST2026080000077,1546.45,5225856.13,credited
BNK-REST-00078,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000078,UTRREST2026080000078,1627.71,5227483.84,credited
BNK-REST-00079,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000079,UTRREST2026080000079,1866.37,5229350.21,credited
BNK-REST-00080,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000080,UTRREST2026080000080,1947.41,5231297.62,credited
BNK-REST-00081,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000081,UTRREST2026080000081,2028.44,5233326.06,credited
BNK-REST-00082,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000082,UTRREST2026080000082,2109.49,5235435.55,credited
BNK-REST-00083,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000083,UTRREST2026080000083,2190.53,5237626.08,credited
BNK-REST-00084,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000084,UTRREST2026080000084,2649.51,5240275.59,credited
BNK-REST-00085,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000085,UTRREST2026080000085,2729.73,5243005.32,credited
BNK-REST-00086,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000086,UTRREST2026080000086,2809.95,5245815.27,credited
BNK-REST-00087,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000087,UTRREST2026080000087,3520.00,5249335.27,credited
BNK-REST-00088,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000088,UTRREST2026080000088,3587.50,5252922.77,credited
BNK-REST-00089,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000089,UTRREST2026080000089,3655.00,5256577.77,credited
BNK-REST-00090,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000090,UTRREST2026080000090,3722.50,5260300.27,credited
BNK-REST-00091,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000091,UTRREST2026080000091,3790.00,5264090.27,credited
BNK-REST-00092,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000092,UTRREST2026080000092,3932.50,5268022.77,credited
BNK-REST-00093,06/08/2026,ACH CR PENDING SETTLEMENT UTRREST2026080000093,UTRREST2026080000093,4375.00,5268022.77,pending
BNK-REST-00094,07/08/2026,ACH CR PENDING SETTLEMENT UTRREST2026080000094,UTRREST2026080000094,4457.50,5268022.77,pending
BNK-REST-00095,08/08/2026,ACH CR PENDING SETTLEMENT UTRREST2026080000095,UTRREST2026080000095,4540.00,5268022.77,pending
BNK-REST-00096,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000096,UTRREST2026080000096,4622.50,5268022.77,credited
BNK-REST-00097,10/08/2026,ACH CR PENDING SETTLEMENT UTRREST2026080000097,UTRREST2026080000097,4705.00,5268022.77,pending
BNK-REST-00098,11/08/2026,ACH CR PENDING SETTLEMENT UTRREST2026080000098,UTRREST2026080000098,4787.50,5268022.77,pending
BNK-REST-00099,12/08/2026,ACH CR PENDING SETTLEMENT UTRREST2026080000099,UTRREST2026080000099,4870.00,5268022.77,pending
BNK-REST-00100,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000100,UTRREST2026080000100,4952.50,5268022.77,credited
