settlement_ref,table_order_id,amount_paid,settle_date,rrn,state,commission,service_tax,tax_deducted
SET-REST-00021,ORD-REST-EX-00021,1900.00,22/08/2026,UTRREST2026080000021,settled,0.00,0.00,0.00
SET-REST-00022,ORD-REST-EX-00022,1982.50,23/08/2026,UTRREST2026080000022,settled,0.00,0.00,0.00
SET-REST-00023,ORD-REST-EX-00023,2065.00,24/08/2026,UTRREST2026080000023,settled,0.00,0.00,0.00
SET-REST-00024,ORD-REST-EX-00024,2147.50,25/08/2026,UTRREST2026080000024,settled,0.00,0.00,0.00
SET-REST-00025,ORD-REST-EX-00025,2230.00,26/08/2026,UTRREST2026080000025,settled,0.00,0.00,0.00
SET-REST-00026,ORD-REST-EX-00026,2312.50,02/08/2026,UTRREST2026080000026,settled,0.00,0.00,0.00
SET-REST-00027,ORD-REST-EX-00027,2395.00,03/08/2026,UTRREST2026080000027,settled,0.00,0.00,0.00
SET-REST-00028,ORD-REST-EX-00028,2477.50,04/08/2026,UTRREST2026080000028,settled,0.00,0.00,0.00
SET-REST-00029,ORD-REST-EX-00029,2560.00,05/08/2026,UTRREST2026080000029,settled,0.00,0.00,0.00
SET-REST-00030,ORD-REST-EX-00030,2642.50,06/08/2026,UTRREST2026080000030,settled,0.00,0.00,0.00
SET-REST-00031,ORD-REST-EX-00031,2725.00,07/08/2026,UTRREST2026080000031,settled,0.00,0.00,0.00
SET-REST-00032,ORD-REST-EX-00032,2807.50,08/08/2026,UTRREST2026080000032,settled,0.00,0.00,0.00
SET-REST-00033,ORD-REST-EX-00033,2890.00,09/08/2026,UTRREST2026080000033,settled,0.00,0.00,0.00
SET-REST-00034,ORD-REST-EX-00034,2972.50,10/08/2026,UTRREST2026080000034,settled,0.00,0.00,0.00
SET-REST-00035,ORD-REST-EX-00035,3055.00,11/08/2026,UTRREST2026080000035,settled,0.00,0.00,0.00
SET-REST-00036,ORD-REST-EX-00036,3137.50,12/08/2026,UTRREST2026080000036,settled,0.00,0.00,0.00
SET-REST-00037,ORD-REST-EX-00037,3220.00,13/08/2026,UTRREST2026080000037,settled,0.00,0.00,0.00
SET-REST-00038,ORD-REST-EX-00038,3302.50,14/08/2026,UTRREST2026080000038,settled,0.00,0.00,0.00
SET-REST-00039,ORD-REST-EX-00039,3385.00,15/08/2026,UTRREST2026080000039,settled,0.00,0.00,0.00
SET-REST-00040,ORD-REST-EX-00040,3467.50,16/08/2026,UTRREST2026080000040,settled,0.00,0.00,0.00
SET-REST-00041,ORD-REST-EX-00041,3550.00,17/08/2026,UTRREST2026080000041,settled,0.00,0.00,0.00
SET-REST-00042,ORD-REST-EX-00042,3632.50,18/08/2026,UTRREST2026080000042,settled,0.00,0.00,0.00
SET-REST-00043,ORD-REST-EX-00043,3715.00,19/08/2026,UTRREST2026080000043,settled,0.00,0.00,0.00
SET-REST-00044,ORD-REST-EX-00044,3797.50,20/08/2026,UTRREST2026080000044,settled,0.00,0.00,0.00
SET-REST-00045,ORD-REST-EX-00045,3880.00,21/08/2026,UTRREST2026080000045,settled,0.00,0.00,0.00
SET-REST-00046,ORD-REST-EX-00046,3962.50,22/08/2026,UTRREST2026080000046,settled,0.00,0.00,0.00
SET-REST-00047,ORD-REST-EX-00047,4045.00,23/08/2026,UTRREST2026080000047,settled,0.00,0.00,0.00
SET-REST-00048,ORD-REST-EX-00048,4127.50,24/08/2026,UTRREST2026080000048,settled,0.00,0.00,0.00
SET-REST-00049,ORD-REST-EX-00049,4210.00,25/08/2026,UTRREST2026080000049,settled,0.00,0.00,0.00
SET-REST-00050,ORD-REST-EX-00050,4292.50,26/08/2026,UTRREST2026080000050,settled,0.00,0.00,0.00
SET-REST-00051,ORD-REST-EX-00051,4375.00,02/08/2026,UTRREST2026080000051,settled,0.00,0.00,0.00
SET-REST-00052,ORD-REST-EX-00052,4457.50,03/08/2026,UTRREST2026080000052,settled,0.00,0.00,0.00
SET-REST-00053,ORD-REST-EX-00053,4540.00,04/08/2026,UTRREST2026080000053,settled,0.00,0.00,0.00
SET-REST-00054,ORD-REST-EX-00054,4622.50,05/08/2026,UTRREST2026080000054,settled,0.00,0.00,0.00
SET-REST-00055,ORD-REST-EX-00055,4705.00,06/08/2026,UTRREST2026080000055,settled,0.00,0.00,0.00
SET-REST-00056,ORD-REST-EX-00056,4787.50,07/08/2026,UTRREST2026080000056,settled,0.00,0.00,0.00
SET-REST-00057,ORD-REST-EX-00057,4870.00,08/08/2026,UTRREST2026080000057,settled,0.00,0.00,0.00
SET-REST-00058,ORD-REST-EX-00058,4952.50,09/08/2026,UTRREST2026080000058,settled,0.00,0.00,0.00
SET-REST-00059,ORD-REST-EX-00059,5035.00,10/08/2026,UTRREST2026080000059,settled,0.00,0.00,0.00
SET-REST-00060,ORD-REST-EX-00060,5117.50,11/08/2026,UTRREST2026080000060,settled,0.00,0.00,0.00
SET-REST-00061,ORD-REST-EX-00061,5200.00,12/08/2026,UTRREST2026080000061,settled,0.00,0.00,0.00
SET-REST-00062,ORD-REST-EX-00062,5282.50,13/08/2026,UTRREST2026080000062,settled,0.00,0.00,0.00
SET-REST-00063,ORD-REST-EX-00063,5365.00,14/08/2026,UTRREST2026080000063,settled,0.00,0.00,0.00
SET-REST-00064,ORD-REST-EX-00064,5447.50,15/08/2026,UTRREST2026080000064,settled,0.00,0.00,0.00
SET-REST-00065,ORD-REST-EX-00065,5530.00,16/08/2026,UTRREST2026080000065,settled,0.00,0.00,0.00
SET-REST-00066,ORD-REST-EX-00066,5612.50,17/08/2026,UTRREST2026080000066,settled,0.00,0.00,0.00
SET-REST-00067,ORD-REST-EX-00067,5695.00,18/08/2026,UTRREST2026080000067,settled,0.00,0.00,0.00
SET-REST-00068,ORD-REST-EX-00068,5777.50,19/08/2026,UTRREST2026080000068,settled,0.00,0.00,0.00
SET-REST-00069,ORD-REST-EX-00069,5860.00,20/08/2026,UTRREST2026080000069,settled,0.00,0.00,0.00
SET-REST-00070,ORD-REST-EX-00070,5942.50,21/08/2026,UTRREST2026080000070,settled,0.00,0.00,0.00
SET-REST-00071,ORD-REST-FEE-00071,1058.87,02/08/2026,UTRREST2026080000071,settled,16.13,0.00,0.00
SET-REST-00072,ORD-REST-FEE-00072,1140.14,03/08/2026,UTRREST2026080000072,settled,17.36,0.00,0.00
SET-REST-00073,ORD-REST-FEE-00073,1221.40,04/08/2026,UTRREST2026080000073,settled,18.60,0.00,0.00
SET-REST-00074,ORD-REST-FEE-00074,1302.66,05/08/2026,UTRREST2026080000074,settled,19.84,0.00,0.00
SET-REST-00075,ORD-REST-FEE-00075,1383.92,06/08/2026,UTRREST2026080000075,settled,21.08,0.00,0.00
SET-REST-00076,ORD-REST-FEE-00076,1465.19,07/08/2026,UTRREST2026080000076,settled,22.31,0.00,0.00
SET-REST-00077,ORD-REST-FEE-00077,1546.45,08/08/2026,UTRREST2026080000077,settled,23.55,0.00,0.00
SET-REST-00078,ORD-REST-FEE-00078,1627.71,09/08/2026,UTRREST2026080000078,settled,24.79,0.00,0.00
SET-REST-00079,ORD-REST-GST-00079,1866.37,02/08/2026,UTRREST2026080000079,settled,28.50,5.13,0.00
SET-REST-00080,ORD-REST-GST-00080,1947.41,03/08/2026,UTRREST2026080000080,settled,29.74,5.35,0.00
SET-REST-00081,ORD-REST-GST-00081,2028.44,04/08/2026,UTRREST2026080000081,settled,30.98,5.58,0.00
SET-REST-00082,ORD-REST-GST-00082,2109.49,05/08/2026,UTRREST2026080000082,settled,32.21,5.80,0.00
SET-REST-00083,ORD-REST-GST-00083,2190.53,06/08/2026,UTRREST2026080000083,settled,33.45,6.02,0.00
SET-REST-00084,ORD-REST-TDS-00084,2649.51,02/08/2026,UTRREST2026080000084,settled,40.88,7.36,27.25
SET-REST-00085,ORD-REST-TDS-00085,2729.73,03/08/2026,UTRREST2026080000085,settled,42.11,7.58,28.08
SET-REST-00086,ORD-REST-TDS-00086,2809.95,04/08/2026,UTRREST2026080000086,settled,43.35,7.80,28.90
SET-REST-00087,ORD-REST-AI-00087,3520.00,02/08/2026,UTRREST2026080000087,settled,30.00,0.00,0.00
SET-REST-00088,ORD-REST-AI-00088,3587.50,03/08/2026,UTRREST2026080000088,settled,45.00,0.00,0.00
SET-REST-00089,ORD-REST-AI-00089,3655.00,04/08/2026,UTRREST2026080000089,settled,60.00,0.00,0.00
SET-REST-00090,ORD-REST-AI-00090,3722.50,05/08/2026,UTRREST2026080000090,settled,75.00,0.00,0.00
SET-REST-00091,ORD-REST-AI-00091,3790.00,06/08/2026,UTRREST2026080000091,settled,90.00,0.00,0.00
SET-REST-00092,ORD-REST-AI-00092,3932.50,07/08/2026,UTRREST2026080000092,settled,30.00,0.00,0.00
SET-REST-00093,ORD-REST-EXC-00093,4375.00,06/08/2026,UTRREST2026080000093,pending,0.00,0.00,0.00
SET-REST-00094,ORD-REST-EXC-00094,4457.50,07/08/2026,UTRREST2026080000094,pending,0.00,0.00,0.00
SET-REST-00095,ORD-REST-EXC-00095,4540.00,08/08/2026,UTRREST2026080000095,pending,0.00,0.00,0.00
SET-REST-00096,ORD-REST-EXC-00096,4622.50,09/08/2026,UTRREST2026080000096,settled,0.00,0.00,0.00
SET-REST-00097,ORD-REST-EXC-00097,4705.00,10/08/2026,UTRREST2026080000097,pending,0.00,0.00,0.00
SET-REST-00098,ORD-REST-EXC-00098,4787.50,11/08/2026,UTRREST2026080000098,pending,0.00,0.00,0.00
SET-REST-00099,ORD-REST-EXC-00099,4870.00,12/08/2026,UTRREST2026080000099,pending,0.00,0.00,0.00
SET-REST-00100,ORD-REST-EXC-00100,4952.50,13/08/2026,UTRREST2026080000100,settled,0.00,0.00,0.00
