entry_ref,booking_date,memo_text,cheque_or_utr,amount,available_funds,status
BNK-EDUC-00063,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000063,UTREDUC2026080000063,"₹ 156,330.00","₹ 10,034,645.00",credited
BNK-EDUC-00064,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000064,UTREDUC2026080000064,"₹ 158,795.00","₹ 10,193,440.00",credited
BNK-EDUC-00065,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000065,UTREDUC2026080000065,"₹ 161,260.00","₹ 10,354,700.00",credited
BNK-EDUC-00066,18-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000066,UTREDUC2026080000066,"₹ 163,725.00","₹ 10,518,425.00",credited
BNK-EDUC-00067,19-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000067,UTREDUC2026080000067,"₹ 166,190.00","₹ 10,684,615.00",credited
BNK-EDUC-00068,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000068,UTREDUC2026080000068,"₹ 168,655.00","₹ 10,853,270.00",credited
BNK-EDUC-00069,21-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000069,UTREDUC2026080000069,"₹ 171,120.00","₹ 11,024,390.00",credited
BNK-EDUC-00070,22-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000070,UTREDUC2026080000070,"₹ 173,585.00","₹ 11,197,975.00",credited
BNK-EDUC-00071,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000071,UTREDUC2026080000071,"₹ 27,812.20","₹ 11,225,787.20",credited
BNK-EDUC-00072,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000072,UTREDUC2026080000072,"₹ 30,247.62","₹ 11,256,034.82",credited
BNK-EDUC-00073,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000073,UTREDUC2026080000073,"₹ 32,683.04","₹ 11,288,717.86",credited
BNK-EDUC-00074,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000074,UTREDUC2026080000074,"₹ 35,118.46","₹ 11,323,836.32",credited
BNK-EDUC-00075,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000075,UTREDUC2026080000075,"₹ 37,553.88","₹ 11,361,390.20",credited
BNK-EDUC-00076,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000076,UTREDUC2026080000076,"₹ 39,989.30","₹ 11,401,379.50",credited
BNK-EDUC-00077,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000077,UTREDUC2026080000077,"₹ 42,424.72","₹ 11,443,804.22",credited
BNK-EDUC-00078,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000078,UTREDUC2026080000078,"₹ 44,860.14","₹ 11,488,664.36",credited
BNK-EDUC-00079,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000079,UTREDUC2026080000079,"₹ 52,052.35","₹ 11,540,716.71",credited
BNK-EDUC-00080,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000080,UTREDUC2026080000080,"₹ 54,482.45","₹ 11,595,199.16",credited
BNK-EDUC-00081,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000081,UTREDUC2026080000081,"₹ 56,912.54","₹ 11,652,111.70",credited
BNK-EDUC-00082,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000082,UTREDUC2026080000082,"₹ 59,342.64","₹ 11,711,454.34",credited
BNK-EDUC-00083,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000083,UTREDUC2026080000083,"₹ 61,772.73","₹ 11,773,227.07",credited
BNK-EDUC-00084,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000084,UTREDUC2026080000084,"₹ 76,353.31","₹ 11,849,580.38",credited
BNK-EDUC-00085,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000085,UTREDUC2026080000085,"₹ 78,783.40","₹ 11,928,363.78",credited
BNK-EDUC-00086,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000086,UTREDUC2026080000086,"₹ 81,213.50","₹ 12,009,577.28",credited
BNK-EDUC-00087,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000087,UTREDUC2026080000087,"₹ 102,070.00","₹ 12,111,647.28",credited
BNK-EDUC-00088,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000088,UTREDUC2026080000088,"₹ 104,520.00","₹ 12,216,167.28",credited
BNK-EDUC-00089,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000089,UTREDUC2026080000089,"₹ 106,970.00","₹ 12,323,137.28",credited
BNK-EDUC-00090,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000090,UTREDUC2026080000090,"₹ 109,420.00","₹ 12,432,557.28",credited
BNK-EDUC-00091,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000091,UTREDUC2026080000091,"₹ 111,870.00","₹ 12,544,427.28",credited
BNK-EDUC-00092,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000092,UTREDUC2026080000092,"₹ 114,395.00","₹ 12,658,822.28",credited
BNK-EDUC-00093,07-Aug-2026,ACH CR PENDING SETTLEMENT UTREDUC2026080000093,UTREDUC2026080000093,"₹ 126,750.00","₹ 12,658,822.28",pending
BNK-EDUC-00094,08-Aug-2026,ACH CR PENDING SETTLEMENT UTREDUC2026080000094,UTREDUC2026080000094,"₹ 129,215.00","₹ 12,658,822.28",pending
BNK-EDUC-00095,03-Aug-2026,ACH DR RAZORPAY REFUND UTREDUC2026080000095,UTREDUC2026080000095,"₹ -131,680.00","₹ 12,527,142.28",debited
BNK-EDUC-00096,10-Aug-2026,BANK ANNUAL SERVICE CHARGES,MISC-96,₹ -100.00,"₹ 12,527,142.28",debited
BNK-EDUC-00097,11-Aug-2026,ACH CR PENDING SETTLEMENT UTREDUC2026080000097,UTREDUC2026080000097,"₹ 136,610.00","₹ 12,527,142.28",pending
BNK-EDUC-00098,12-Aug-2026,ACH CR PENDING SETTLEMENT UTREDUC2026080000098,UTREDUC2026080000098,"₹ 139,075.00","₹ 12,527,142.28",pending
BNK-EDUC-00099,07-Aug-2026,ACH DR RAZORPAY REFUND UTREDUC2026080000099,UTREDUC2026080000099,"₹ -141,540.00","₹ 12,385,602.28",debited
BNK-EDUC-00100,14-Aug-2026,BANK ANNUAL SERVICE CHARGES,MISC-100,₹ -100.00,"₹ 12,385,602.28",debited
