disbursement_no,enrollment_id,settlement_amount,credit_date,cheque_or_utr,status,bank_subvention_fee,tax_on_fee,tds
SET-EDUC-00042,ORD-EDUC-EX-00042,"₹ 104,565.00",19-Aug-2026,UTREDUC2026080000042,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00043,ORD-EDUC-EX-00043,"₹ 107,030.00",20-Aug-2026,UTREDUC2026080000043,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00044,ORD-EDUC-EX-00044,"₹ 109,495.00",21-Aug-2026,UTREDUC2026080000044,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00045,ORD-EDUC-EX-00045,"₹ 111,960.00",22-Aug-2026,UTREDUC2026080000045,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00046,ORD-EDUC-EX-00046,"₹ 114,425.00",23-Aug-2026,UTREDUC2026080000046,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00047,ORD-EDUC-EX-00047,"₹ 116,890.00",24-Aug-2026,UTREDUC2026080000047,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00048,ORD-EDUC-EX-00048,"₹ 119,355.00",25-Aug-2026,UTREDUC2026080000048,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00049,ORD-EDUC-EX-00049,"₹ 121,820.00",26-Aug-2026,UTREDUC2026080000049,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00050,ORD-EDUC-EX-00050,"₹ 124,285.00",27-Aug-2026,UTREDUC2026080000050,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00051,ORD-EDUC-EX-00051,"₹ 126,750.00",03-Aug-2026,UTREDUC2026080000051,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00052,ORD-EDUC-EX-00052,"₹ 129,215.00",04-Aug-2026,UTREDUC2026080000052,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00053,ORD-EDUC-EX-00053,"₹ 131,680.00",05-Aug-2026,UTREDUC2026080000053,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00054,ORD-EDUC-EX-00054,"₹ 134,145.00",06-Aug-2026,UTREDUC2026080000054,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00055,ORD-EDUC-EX-00055,"₹ 136,610.00",07-Aug-2026,UTREDUC2026080000055,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00056,ORD-EDUC-EX-00056,"₹ 139,075.00",08-Aug-2026,UTREDUC2026080000056,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00057,ORD-EDUC-EX-00057,"₹ 141,540.00",09-Aug-2026,UTREDUC2026080000057,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00058,ORD-EDUC-EX-00058,"₹ 144,005.00",10-Aug-2026,UTREDUC2026080000058,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00059,ORD-EDUC-EX-00059,"₹ 146,470.00",11-Aug-2026,UTREDUC2026080000059,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00060,ORD-EDUC-EX-00060,"₹ 148,935.00",12-Aug-2026,UTREDUC2026080000060,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00061,ORD-EDUC-EX-00061,"₹ 151,400.00",13-Aug-2026,UTREDUC2026080000061,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00062,ORD-EDUC-EX-00062,"₹ 153,865.00",14-Aug-2026,UTREDUC2026080000062,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00063,ORD-EDUC-EX-00063,"₹ 156,330.00",15-Aug-2026,UTREDUC2026080000063,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00064,ORD-EDUC-EX-00064,"₹ 158,795.00",16-Aug-2026,UTREDUC2026080000064,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00065,ORD-EDUC-EX-00065,"₹ 161,260.00",17-Aug-2026,UTREDUC2026080000065,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00066,ORD-EDUC-EX-00066,"₹ 163,725.00",18-Aug-2026,UTREDUC2026080000066,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00067,ORD-EDUC-EX-00067,"₹ 166,190.00",19-Aug-2026,UTREDUC2026080000067,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00068,ORD-EDUC-EX-00068,"₹ 168,655.00",20-Aug-2026,UTREDUC2026080000068,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00069,ORD-EDUC-EX-00069,"₹ 171,120.00",21-Aug-2026,UTREDUC2026080000069,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00070,ORD-EDUC-EX-00070,"₹ 173,585.00",22-Aug-2026,UTREDUC2026080000070,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00071,ORD-EDUC-FEE-00071,"₹ 27,812.20",03-Aug-2026,UTREDUC2026080000071,settled,₹ 337.80,₹ 0.00,₹ 0.00
SET-EDUC-00072,ORD-EDUC-FEE-00072,"₹ 30,247.62",04-Aug-2026,UTREDUC2026080000072,settled,₹ 367.38,₹ 0.00,₹ 0.00
SET-EDUC-00073,ORD-EDUC-FEE-00073,"₹ 32,683.04",05-Aug-2026,UTREDUC2026080000073,settled,₹ 396.96,₹ 0.00,₹ 0.00
SET-EDUC-00074,ORD-EDUC-FEE-00074,"₹ 35,118.46",06-Aug-2026,UTREDUC2026080000074,settled,₹ 426.54,₹ 0.00,₹ 0.00
SET-EDUC-00075,ORD-EDUC-FEE-00075,"₹ 37,553.88",07-Aug-2026,UTREDUC2026080000075,settled,₹ 456.12,₹ 0.00,₹ 0.00
SET-EDUC-00076,ORD-EDUC-FEE-00076,"₹ 39,989.30",08-Aug-2026,UTREDUC2026080000076,settled,₹ 485.70,₹ 0.00,₹ 0.00
SET-EDUC-00077,ORD-EDUC-FEE-00077,"₹ 42,424.72",09-Aug-2026,UTREDUC2026080000077,settled,₹ 515.28,₹ 0.00,₹ 0.00
SET-EDUC-00078,ORD-EDUC-FEE-00078,"₹ 44,860.14",10-Aug-2026,UTREDUC2026080000078,settled,₹ 544.86,₹ 0.00,₹ 0.00
SET-EDUC-00079,ORD-EDUC-GST-00079,"₹ 52,052.35",03-Aug-2026,UTREDUC2026080000079,settled,₹ 633.60,₹ 114.05,₹ 0.00
SET-EDUC-00080,ORD-EDUC-GST-00080,"₹ 54,482.45",04-Aug-2026,UTREDUC2026080000080,settled,₹ 663.18,₹ 119.37,₹ 0.00
SET-EDUC-00081,ORD-EDUC-GST-00081,"₹ 56,912.54",05-Aug-2026,UTREDUC2026080000081,settled,₹ 692.76,₹ 124.70,₹ 0.00
SET-EDUC-00082,ORD-EDUC-GST-00082,"₹ 59,342.64",06-Aug-2026,UTREDUC2026080000082,settled,₹ 722.34,₹ 130.02,₹ 0.00
SET-EDUC-00083,ORD-EDUC-GST-00083,"₹ 61,772.73",07-Aug-2026,UTREDUC2026080000083,settled,₹ 751.92,₹ 135.35,₹ 0.00
SET-EDUC-00084,ORD-EDUC-TDS-00084,"₹ 76,353.31",03-Aug-2026,UTREDUC2026080000084,settled,₹ 929.40,₹ 167.29,₹ 0.00
SET-EDUC-00085,ORD-EDUC-TDS-00085,"₹ 78,783.40",04-Aug-2026,UTREDUC2026080000085,settled,₹ 958.98,₹ 172.62,₹ 0.00
SET-EDUC-00086,ORD-EDUC-TDS-00086,"₹ 81,213.50",05-Aug-2026,UTREDUC2026080000086,settled,₹ 988.56,₹ 177.94,₹ 0.00
SET-EDUC-00087,ORD-EDUC-AI-00087,"₹ 102,070.00",03-Aug-2026,UTREDUC2026080000087,settled,₹ 30.00,₹ 0.00,₹ 0.00
SET-EDUC-00088,ORD-EDUC-AI-00088,"₹ 104,520.00",04-Aug-2026,UTREDUC2026080000088,settled,₹ 45.00,₹ 0.00,₹ 0.00
SET-EDUC-00089,ORD-EDUC-AI-00089,"₹ 106,970.00",05-Aug-2026,UTREDUC2026080000089,settled,₹ 60.00,₹ 0.00,₹ 0.00
SET-EDUC-00090,ORD-EDUC-AI-00090,"₹ 109,420.00",06-Aug-2026,UTREDUC2026080000090,settled,₹ 75.00,₹ 0.00,₹ 0.00
SET-EDUC-00091,ORD-EDUC-AI-00091,"₹ 111,870.00",07-Aug-2026,UTREDUC2026080000091,settled,₹ 90.00,₹ 0.00,₹ 0.00
SET-EDUC-00092,ORD-EDUC-AI-00092,"₹ 114,395.00",08-Aug-2026,UTREDUC2026080000092,settled,₹ 30.00,₹ 0.00,₹ 0.00
SET-EDUC-00093,ORD-EDUC-EXC-00093,"₹ 126,750.00",07-Aug-2026,UTREDUC2026080000093,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00094,ORD-EDUC-EXC-00094,"₹ 129,215.00",08-Aug-2026,UTREDUC2026080000094,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00095,ORD-EDUC-EXC-00095,"₹ -131,680.00",03-Aug-2026,UTREDUC2026080000095,refund_processed,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00096,ORD-EDUC-EXC-00096,"₹ 134,145.00",10-Aug-2026,UTREDUC2026080000096,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00097,ORD-EDUC-EXC-00097,"₹ 136,610.00",11-Aug-2026,UTREDUC2026080000097,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00098,ORD-EDUC-EXC-00098,"₹ 139,075.00",12-Aug-2026,UTREDUC2026080000098,pending,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00099,ORD-EDUC-EXC-00099,"₹ -141,540.00",07-Aug-2026,UTREDUC2026080000099,refund_processed,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00100,ORD-EDUC-EXC-00100,"₹ 144,005.00",14-Aug-2026,UTREDUC2026080000100,settled,₹ 0.00,₹ 0.00,₹ 0.00
