txn_seq,statement_date,particulars,utr_no,amount,balance,status
BNK-LOGI-00031,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000031,UTRLOGI2026080000031,5795.00,5095247.50,credited
BNK-LOGI-00032,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000032,UTRLOGI2026080000032,5976.50,5101224.00,credited
BNK-LOGI-00033,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000033,UTRLOGI2026080000033,6158.00,5107382.00,credited
BNK-LOGI-00034,2026/08/13,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000034,UTRLOGI2026080000034,6339.50,5113721.50,credited
BNK-LOGI-00035,2026/08/14,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000035,UTRLOGI2026080000035,6521.00,5120242.50,credited
BNK-LOGI-00036,2026/08/15,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000036,UTRLOGI2026080000036,6702.50,5126945.00,credited
BNK-LOGI-00037,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000037,UTRLOGI2026080000037,6884.00,5133829.00,credited
BNK-LOGI-00038,2026/08/17,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000038,UTRLOGI2026080000038,7065.50,5140894.50,credited
BNK-LOGI-00039,2026/08/18,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000039,UTRLOGI2026080000039,7247.00,5148141.50,credited
BNK-LOGI-00040,2026/08/19,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000040,UTRLOGI2026080000040,7428.50,5155570.00,credited
BNK-LOGI-00041,2026/08/20,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000041,UTRLOGI2026080000041,7610.00,5163180.00,credited
BNK-LOGI-00042,2026/08/21,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000042,UTRLOGI2026080000042,7791.50,5170971.50,credited
BNK-LOGI-00043,2026/08/22,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000043,UTRLOGI2026080000043,7973.00,5178944.50,credited
BNK-LOGI-00044,2026/08/23,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000044,UTRLOGI2026080000044,8154.50,5187099.00,credited
BNK-LOGI-00045,2026/08/24,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000045,UTRLOGI2026080000045,8336.00,5195435.00,credited
BNK-LOGI-00046,2026/08/25,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000046,UTRLOGI2026080000046,8517.50,5203952.50,credited
BNK-LOGI-00047,2026/08/26,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000047,UTRLOGI2026080000047,8699.00,5212651.50,credited
BNK-LOGI-00048,2026/08/27,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000048,UTRLOGI2026080000048,8880.50,5221532.00,credited
BNK-LOGI-00049,2026/08/28,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000049,UTRLOGI2026080000049,9062.00,5230594.00,credited
BNK-LOGI-00050,2026/08/29,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000050,UTRLOGI2026080000050,9243.50,5239837.50,credited
BNK-LOGI-00051,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000051,UTRLOGI2026080000051,9425.00,5249262.50,credited
BNK-LOGI-00052,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000052,UTRLOGI2026080000052,9606.50,5258869.00,credited
BNK-LOGI-00053,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000053,UTRLOGI2026080000053,9788.00,5268657.00,credited
BNK-LOGI-00054,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000054,UTRLOGI2026080000054,9969.50,5278626.50,credited
BNK-LOGI-00055,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000055,UTRLOGI2026080000055,10151.00,5288777.50,credited
BNK-LOGI-00056,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000056,UTRLOGI2026080000056,10332.50,5299110.00,credited
BNK-LOGI-00057,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000057,UTRLOGI2026080000057,10514.00,5309624.00,credited
BNK-LOGI-00058,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000058,UTRLOGI2026080000058,10695.50,5320319.50,credited
BNK-LOGI-00059,2026/08/13,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000059,UTRLOGI2026080000059,10877.00,5331196.50,credited
BNK-LOGI-00060,2026/08/14,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000060,UTRLOGI2026080000060,11058.50,5342255.00,credited
BNK-LOGI-00061,2026/08/15,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000061,UTRLOGI2026080000061,11240.00,5353495.00,credited
BNK-LOGI-00062,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000062,UTRLOGI2026080000062,11421.50,5364916.50,credited
BNK-LOGI-00063,2026/08/17,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000063,UTRLOGI2026080000063,11603.00,5376519.50,credited
BNK-LOGI-00064,2026/08/18,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000064,UTRLOGI2026080000064,11784.50,5388304.00,credited
BNK-LOGI-00065,2026/08/19,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000065,UTRLOGI2026080000065,11966.00,5400270.00,credited
BNK-LOGI-00066,2026/08/20,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000066,UTRLOGI2026080000066,12147.50,5412417.50,credited
BNK-LOGI-00067,2026/08/21,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000067,UTRLOGI2026080000067,12329.00,5424746.50,credited
BNK-LOGI-00068,2026/08/22,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000068,UTRLOGI2026080000068,12510.50,5437257.00,credited
BNK-LOGI-00069,2026/08/23,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000069,UTRLOGI2026080000069,12692.00,5449949.00,credited
BNK-LOGI-00070,2026/08/24,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000070,UTRLOGI2026080000070,12873.50,5462822.50,credited
BNK-LOGI-00071,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000071,UTRLOGI2026080000071,2126.03,5464948.53,credited
BNK-LOGI-00072,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000072,UTRLOGI2026080000072,2304.26,5467252.79,credited
BNK-LOGI-00073,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000073,UTRLOGI2026080000073,2482.50,5469735.29,credited
BNK-LOGI-00074,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000074,UTRLOGI2026080000074,2660.73,5472396.02,credited
BNK-LOGI-00075,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000075,UTRLOGI2026080000075,2838.96,5475234.98,credited
BNK-LOGI-00076,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000076,UTRLOGI2026080000076,3017.19,5478252.17,credited
BNK-LOGI-00077,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000077,UTRLOGI2026080000077,3195.43,5481447.60,credited
BNK-LOGI-00078,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000078,UTRLOGI2026080000078,3373.66,5484821.26,credited
BNK-LOGI-00079,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000079,UTRLOGI2026080000079,3895.46,5488716.72,credited
BNK-LOGI-00080,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000080,UTRLOGI2026080000080,4073.11,5492789.83,credited
BNK-LOGI-00081,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000081,UTRLOGI2026080000081,4250.76,5497040.59,credited
BNK-LOGI-00082,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000082,UTRLOGI2026080000082,4428.40,5501468.99,credited
BNK-LOGI-00083,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000083,UTRLOGI2026080000083,4606.04,5506075.03,credited
BNK-LOGI-00084,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000084,UTRLOGI2026080000084,5556.01,5511631.04,credited
BNK-LOGI-00085,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000085,UTRLOGI2026080000085,5730.03,5517361.07,credited
BNK-LOGI-00086,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000086,UTRLOGI2026080000086,5904.05,5523265.12,credited
BNK-LOGI-00087,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000087,UTRLOGI2026080000087,7580.00,5530845.12,credited
BNK-LOGI-00088,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000088,UTRLOGI2026080000088,7746.50,5538591.62,credited
BNK-LOGI-00089,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000089,UTRLOGI2026080000089,7913.00,5546504.62,credited
BNK-LOGI-00090,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000090,UTRLOGI2026080000090,8079.50,5554584.12,credited
BNK-LOGI-00091,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000091,UTRLOGI2026080000091,8246.00,5562830.12,credited
BNK-LOGI-00092,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000092,UTRLOGI2026080000092,8487.50,5571317.62,credited
BNK-LOGI-00093,2026/08/09,ACH CR PENDING SETTLEMENT UTRLOGI2026080000093,UTRLOGI2026080000093,9425.00,5571317.62,pending
BNK-LOGI-00094,2026/08/10,ACH CR PENDING SETTLEMENT UTRLOGI2026080000094,UTRLOGI2026080000094,9606.50,5571317.62,pending
BNK-LOGI-00095,2026/08/11,ACH CR PENDING SETTLEMENT UTRLOGI2026080000095,UTRLOGI2026080000095,9788.00,5571317.62,pending
BNK-LOGI-00096,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000096,UTRLOGI2026080000096,9969.50,5571317.62,credited
BNK-LOGI-00097,2026/08/13,ACH CR PENDING SETTLEMENT UTRLOGI2026080000097,UTRLOGI2026080000097,10151.00,5571317.62,pending
BNK-LOGI-00098,2026/08/14,ACH CR PENDING SETTLEMENT UTRLOGI2026080000098,UTRLOGI2026080000098,10332.50,5571317.62,pending
BNK-LOGI-00099,2026/08/15,ACH CR PENDING SETTLEMENT UTRLOGI2026080000099,UTRLOGI2026080000099,10514.00,5571317.62,pending
BNK-LOGI-00100,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000100,UTRLOGI2026080000100,10695.50,5571317.62,credited
