waybill_no,consignee_order_id,cod_amount,dispatch_date,consignee_name,delivery_status
INV-LOGI-00040,ORD-LOGI-EX-00040,7428.50,2026/08/15,Client_LOGI_40,paid
INV-LOGI-00041,ORD-LOGI-EX-00041,7610.00,2026/08/16,Client_LOGI_41,paid
INV-LOGI-00042,ORD-LOGI-EX-00042,7791.50,2026/08/17,Client_LOGI_42,paid
INV-LOGI-00043,ORD-LOGI-EX-00043,7973.00,2026/08/18,Client_LOGI_43,paid
INV-LOGI-00044,ORD-LOGI-EX-00044,8154.50,2026/08/19,Client_LOGI_44,paid
INV-LOGI-00045,ORD-LOGI-EX-00045,8336.00,2026/08/20,Client_LOGI_45,paid
INV-LOGI-00046,ORD-LOGI-EX-00046,8517.50,2026/08/21,Client_LOGI_46,paid
INV-LOGI-00047,ORD-LOGI-EX-00047,8699.00,2026/08/22,Client_LOGI_47,paid
INV-LOGI-00048,ORD-LOGI-EX-00048,8880.50,2026/08/23,Client_LOGI_48,paid
INV-LOGI-00049,ORD-LOGI-EX-00049,9062.00,2026/08/24,Client_LOGI_49,paid
INV-LOGI-00050,ORD-LOGI-EX-00050,9243.50,2026/08/25,Client_LOGI_50,paid
INV-LOGI-00051,ORD-LOGI-EX-00051,9425.00,2026/08/01,Client_LOGI_51,paid
INV-LOGI-00052,ORD-LOGI-EX-00052,9606.50,2026/08/02,Client_LOGI_52,paid
INV-LOGI-00053,ORD-LOGI-EX-00053,9788.00,2026/08/03,Client_LOGI_53,paid
INV-LOGI-00054,ORD-LOGI-EX-00054,9969.50,2026/08/04,Client_LOGI_54,paid
INV-LOGI-00055,ORD-LOGI-EX-00055,10151.00,2026/08/05,Client_LOGI_55,paid
INV-LOGI-00056,ORD-LOGI-EX-00056,10332.50,2026/08/06,Client_LOGI_56,paid
INV-LOGI-00057,ORD-LOGI-EX-00057,10514.00,2026/08/07,Client_LOGI_57,paid
INV-LOGI-00058,ORD-LOGI-EX-00058,10695.50,2026/08/08,Client_LOGI_58,paid
INV-LOGI-00059,ORD-LOGI-EX-00059,10877.00,2026/08/09,Client_LOGI_59,paid
INV-LOGI-00060,ORD-LOGI-EX-00060,11058.50,2026/08/10,Client_LOGI_60,paid
INV-LOGI-00061,ORD-LOGI-EX-00061,11240.00,2026/08/11,Client_LOGI_61,paid
INV-LOGI-00062,ORD-LOGI-EX-00062,11421.50,2026/08/12,Client_LOGI_62,paid
INV-LOGI-00063,ORD-LOGI-EX-00063,11603.00,2026/08/13,Client_LOGI_63,paid
INV-LOGI-00064,ORD-LOGI-EX-00064,11784.50,2026/08/14,Client_LOGI_64,paid
INV-LOGI-00065,ORD-LOGI-EX-00065,11966.00,2026/08/15,Client_LOGI_65,paid
INV-LOGI-00066,ORD-LOGI-EX-00066,12147.50,2026/08/16,Client_LOGI_66,paid
INV-LOGI-00067,ORD-LOGI-EX-00067,12329.00,2026/08/17,Client_LOGI_67,paid
INV-LOGI-00068,ORD-LOGI-EX-00068,12510.50,2026/08/18,Client_LOGI_68,paid
INV-LOGI-00069,ORD-LOGI-EX-00069,12692.00,2026/08/19,Client_LOGI_69,paid
INV-LOGI-00070,ORD-LOGI-EX-00070,12873.50,2026/08/20,Client_LOGI_70,paid
INV-LOGI-00071,ORD-LOGI-FEE-00071,2165.00,2026/08/01,Client_LOGI_71,paid
INV-LOGI-00072,ORD-LOGI-FEE-00072,2346.50,2026/08/02,Client_LOGI_72,paid
INV-LOGI-00073,ORD-LOGI-FEE-00073,2528.00,2026/08/03,Client_LOGI_73,paid
INV-LOGI-00074,ORD-LOGI-FEE-00074,2709.50,2026/08/04,Client_LOGI_74,paid
INV-LOGI-00075,ORD-LOGI-FEE-00075,2891.00,2026/08/05,Client_LOGI_75,paid
INV-LOGI-00076,ORD-LOGI-FEE-00076,3072.50,2026/08/06,Client_LOGI_76,paid
INV-LOGI-00077,ORD-LOGI-FEE-00077,3254.00,2026/08/07,Client_LOGI_77,paid
INV-LOGI-00078,ORD-LOGI-FEE-00078,3435.50,2026/08/08,Client_LOGI_78,paid
INV-LOGI-00079,ORD-LOGI-GST-00079,3980.00,2026/08/01,Client_LOGI_79,paid
INV-LOGI-00080,ORD-LOGI-GST-00080,4161.50,2026/08/02,Client_LOGI_80,paid
INV-LOGI-00081,ORD-LOGI-GST-00081,4343.00,2026/08/03,Client_LOGI_81,paid
INV-LOGI-00082,ORD-LOGI-GST-00082,4524.50,2026/08/04,Client_LOGI_82,paid
INV-LOGI-00083,ORD-LOGI-GST-00083,4706.00,2026/08/05,Client_LOGI_83,paid
INV-LOGI-00084,ORD-LOGI-TDS-00084,5795.00,2026/08/01,Client_LOGI_84,paid
INV-LOGI-00085,ORD-LOGI-TDS-00085,5976.50,2026/08/02,Client_LOGI_85,paid
INV-LOGI-00086,ORD-LOGI-TDS-00086,6158.00,2026/08/03,Client_LOGI_86,paid
INV-LOGI-00087,ORD-LOGI-AI-00087,7610.00,2026/08/01,Client_LOGI_87,paid
INV-LOGI-00088,ORD-LOGI-AI-00088,7791.50,2026/08/02,Client_LOGI_88,paid
INV-LOGI-00089,ORD-LOGI-AI-00089,7973.00,2026/08/03,Client_LOGI_89,paid
INV-LOGI-00090,ORD-LOGI-AI-00090,8154.50,2026/08/04,Client_LOGI_90,paid
INV-LOGI-00091,ORD-LOGI-AI-00091,8336.00,2026/08/05,Client_LOGI_91,paid
INV-LOGI-00092,ORD-LOGI-AI-00092,8517.50,2026/08/06,Client_LOGI_92,paid
INV-LOGI-00093,ORD-LOGI-EXC-00093,9425.00,2026/08/01,Client_LOGI_93,pending_settlement
INV-LOGI-00094,ORD-LOGI-EXC-00094,9606.50,2026/08/02,Client_LOGI_94,pending_settlement
INV-LOGI-00095,ORD-LOGI-EXC-00095,9788.00,2026/08/03,Client_LOGI_95,pending_settlement
INV-LOGI-00096,ORD-LOGI-EXC-00096,9969.50,2026/08/04,Client_LOGI_96,paid
INV-LOGI-00096-DUP,ORD-LOGI-EXC-00096,9969.50,2026/08/04,Client_LOGI_96_DUP,paid
INV-LOGI-00097,ORD-LOGI-EXC-00097,10151.00,2026/08/05,Client_LOGI_97,pending_settlement
INV-LOGI-00098,ORD-LOGI-EXC-00098,10332.50,2026/08/06,Client_LOGI_98,pending_settlement
INV-LOGI-00099,ORD-LOGI-EXC-00099,10514.00,2026/08/07,Client_LOGI_99,pending_settlement
INV-LOGI-00100,ORD-LOGI-EXC-00100,10695.50,2026/08/08,Client_LOGI_100,paid
INV-LOGI-00100-DUP,ORD-LOGI-EXC-00100,10695.50,2026/08/08,Client_LOGI_100_DUP,paid
