bank_id,credit_date,narration,utr_number,credit_amount,closing_balance,status
BNK-TRAV-00023,2026-08-26,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000023,UTRTRAV2026080000023,"₹28,350.00","₹5,354,775.00",credited
BNK-TRAV-00024,2026-08-27,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000024,UTRTRAV2026080000024,"₹29,525.00","₹5,384,300.00",credited
BNK-TRAV-00025,2026-08-28,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000025,UTRTRAV2026080000025,"₹30,700.00","₹5,415,000.00",credited
BNK-TRAV-00026,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000026,UTRTRAV2026080000026,"₹31,875.00","₹5,446,875.00",credited
BNK-TRAV-00027,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000027,UTRTRAV2026080000027,"₹33,050.00","₹5,479,925.00",credited
BNK-TRAV-00028,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000028,UTRTRAV2026080000028,"₹34,225.00","₹5,514,150.00",credited
BNK-TRAV-00029,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000029,UTRTRAV2026080000029,"₹35,400.00","₹5,549,550.00",credited
BNK-TRAV-00030,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000030,UTRTRAV2026080000030,"₹36,575.00","₹5,586,125.00",credited
BNK-TRAV-00031,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000031,UTRTRAV2026080000031,"₹37,750.00","₹5,623,875.00",credited
BNK-TRAV-00032,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000032,UTRTRAV2026080000032,"₹38,925.00","₹5,662,800.00",credited
BNK-TRAV-00033,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000033,UTRTRAV2026080000033,"₹40,100.00","₹5,702,900.00",credited
BNK-TRAV-00034,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000034,UTRTRAV2026080000034,"₹41,275.00","₹5,744,175.00",credited
BNK-TRAV-00035,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000035,UTRTRAV2026080000035,"₹42,450.00","₹5,786,625.00",credited
BNK-TRAV-00036,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000036,UTRTRAV2026080000036,"₹43,625.00","₹5,830,250.00",credited
BNK-TRAV-00037,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000037,UTRTRAV2026080000037,"₹44,800.00","₹5,875,050.00",credited
BNK-TRAV-00038,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000038,UTRTRAV2026080000038,"₹45,975.00","₹5,921,025.00",credited
BNK-TRAV-00039,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000039,UTRTRAV2026080000039,"₹47,150.00","₹5,968,175.00",credited
BNK-TRAV-00040,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000040,UTRTRAV2026080000040,"₹48,325.00","₹6,016,500.00",credited
BNK-TRAV-00041,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000041,UTRTRAV2026080000041,"₹49,500.00","₹6,066,000.00",credited
BNK-TRAV-00042,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000042,UTRTRAV2026080000042,"₹50,675.00","₹6,116,675.00",credited
BNK-TRAV-00043,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000043,UTRTRAV2026080000043,"₹51,850.00","₹6,168,525.00",credited
BNK-TRAV-00044,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000044,UTRTRAV2026080000044,"₹53,025.00","₹6,221,550.00",credited
BNK-TRAV-00045,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000045,UTRTRAV2026080000045,"₹54,200.00","₹6,275,750.00",credited
BNK-TRAV-00046,2026-08-24,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000046,UTRTRAV2026080000046,"₹55,375.00","₹6,331,125.00",credited
BNK-TRAV-00047,2026-08-25,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000047,UTRTRAV2026080000047,"₹56,550.00","₹6,387,675.00",credited
BNK-TRAV-00048,2026-08-26,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000048,UTRTRAV2026080000048,"₹57,725.00","₹6,445,400.00",credited
BNK-TRAV-00049,2026-08-27,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000049,UTRTRAV2026080000049,"₹58,900.00","₹6,504,300.00",credited
BNK-TRAV-00050,2026-08-28,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000050,UTRTRAV2026080000050,"₹60,075.00","₹6,564,375.00",credited
BNK-TRAV-00051,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000051,UTRTRAV2026080000051,"₹61,250.00","₹6,625,625.00",credited
BNK-TRAV-00052,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000052,UTRTRAV2026080000052,"₹62,425.00","₹6,688,050.00",credited
BNK-TRAV-00053,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000053,UTRTRAV2026080000053,"₹63,600.00","₹6,751,650.00",credited
BNK-TRAV-00054,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000054,UTRTRAV2026080000054,"₹64,775.00","₹6,816,425.00",credited
BNK-TRAV-00055,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000055,UTRTRAV2026080000055,"₹65,950.00","₹6,882,375.00",credited
BNK-TRAV-00056,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000056,UTRTRAV2026080000056,"₹67,125.00","₹6,949,500.00",credited
BNK-TRAV-00057,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000057,UTRTRAV2026080000057,"₹68,300.00","₹7,017,800.00",credited
BNK-TRAV-00058,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000058,UTRTRAV2026080000058,"₹69,475.00","₹7,087,275.00",credited
BNK-TRAV-00059,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000059,UTRTRAV2026080000059,"₹70,650.00","₹7,157,925.00",credited
BNK-TRAV-00060,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000060,UTRTRAV2026080000060,"₹71,825.00","₹7,229,750.00",credited
BNK-TRAV-00061,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000061,UTRTRAV2026080000061,"₹73,000.00","₹7,302,750.00",credited
BNK-TRAV-00062,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000062,UTRTRAV2026080000062,"₹74,175.00","₹7,376,925.00",credited
BNK-TRAV-00063,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000063,UTRTRAV2026080000063,"₹75,350.00","₹7,452,275.00",credited
BNK-TRAV-00064,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000064,UTRTRAV2026080000064,"₹76,525.00","₹7,528,800.00",credited
BNK-TRAV-00065,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000065,UTRTRAV2026080000065,"₹77,700.00","₹7,606,500.00",credited
BNK-TRAV-00066,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000066,UTRTRAV2026080000066,"₹78,875.00","₹7,685,375.00",credited
BNK-TRAV-00067,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000067,UTRTRAV2026080000067,"₹80,050.00","₹7,765,425.00",credited
BNK-TRAV-00068,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000068,UTRTRAV2026080000068,"₹81,225.00","₹7,846,650.00",credited
BNK-TRAV-00069,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000069,UTRTRAV2026080000069,"₹82,400.00","₹7,929,050.00",credited
BNK-TRAV-00070,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000070,UTRTRAV2026080000070,"₹83,575.00","₹8,012,625.00",credited
BNK-TRAV-00071,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000071,UTRTRAV2026080000071,"₹14,000.62","₹8,026,625.62",credited
BNK-TRAV-00072,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000072,UTRTRAV2026080000072,"₹15,155.06","₹8,041,780.68",credited
BNK-TRAV-00073,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000073,UTRTRAV2026080000073,"₹16,309.50","₹8,058,090.18",credited
BNK-TRAV-00074,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000074,UTRTRAV2026080000074,"₹17,463.94","₹8,075,554.12",credited
BNK-TRAV-00075,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000075,UTRTRAV2026080000075,"₹18,618.37","₹8,094,172.49",credited
BNK-TRAV-00076,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000076,UTRTRAV2026080000076,"₹19,772.81","₹8,113,945.30",credited
BNK-TRAV-00077,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000077,UTRTRAV2026080000077,"₹20,927.25","₹8,134,872.55",credited
BNK-TRAV-00078,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000078,UTRTRAV2026080000078,"₹22,081.69","₹8,156,954.24",credited
BNK-TRAV-00079,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000079,UTRTRAV2026080000079,"₹25,463.10","₹8,182,417.34",credited
BNK-TRAV-00080,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000080,UTRTRAV2026080000080,"₹26,613.84","₹8,209,031.18",credited
BNK-TRAV-00081,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000081,UTRTRAV2026080000081,"₹27,764.57","₹8,236,795.75",credited
BNK-TRAV-00082,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000082,UTRTRAV2026080000082,"₹28,915.31","₹8,265,711.06",credited
BNK-TRAV-00083,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000083,UTRTRAV2026080000083,"₹30,066.04","₹8,295,777.10",credited
BNK-TRAV-00084,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000084,UTRTRAV2026080000084,"₹36,592.96","₹8,332,370.06",credited
BNK-TRAV-00085,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000085,UTRTRAV2026080000085,"₹37,731.95","₹8,370,102.01",credited
BNK-TRAV-00086,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000086,UTRTRAV2026080000086,"₹38,870.93","₹8,408,972.94",credited
BNK-TRAV-00087,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000087,UTRTRAV2026080000087,"₹49,470.00","₹8,458,442.94",credited
BNK-TRAV-00088,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000088,UTRTRAV2026080000088,"₹50,630.00","₹8,509,072.94",credited
BNK-TRAV-00089,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000089,UTRTRAV2026080000089,"₹51,790.00","₹8,560,862.94",credited
BNK-TRAV-00090,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000090,UTRTRAV2026080000090,"₹52,950.00","₹8,613,812.94",credited
BNK-TRAV-00091,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000091,UTRTRAV2026080000091,"₹54,110.00","₹8,667,922.94",credited
BNK-TRAV-00092,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000092,UTRTRAV2026080000092,"₹55,345.00","₹8,723,267.94",credited
BNK-TRAV-00093,2026-08-01,ACH DR RAZORPAY REFUND UTRTRAV2026080000093,UTRTRAV2026080000093,"₹-61,250.00","₹8,662,017.94",debited
BNK-TRAV-00094,2026-08-02,ACH DR RAZORPAY REFUND UTRTRAV2026080000094,UTRTRAV2026080000094,"₹-62,425.00","₹8,599,592.94",debited
BNK-TRAV-00095,2026-08-10,ACH CR PENDING SETTLEMENT UTRTRAV2026080000095,UTRTRAV2026080000095,"₹63,600.00","₹8,599,592.94",pending
BNK-TRAV-00096,2026-08-11,ACH CR PENDING SETTLEMENT UTRTRAV2026080000096,UTRTRAV2026080000096,"₹64,775.00","₹8,599,592.94",pending
BNK-TRAV-00097,2026-08-05,ACH DR RAZORPAY REFUND UTRTRAV2026080000097,UTRTRAV2026080000097,"₹-65,950.00","₹8,533,642.94",debited
BNK-TRAV-00098,2026-08-06,ACH DR RAZORPAY REFUND UTRTRAV2026080000098,UTRTRAV2026080000098,"₹-67,125.00","₹8,466,517.94",debited
BNK-TRAV-00099,2026-08-14,ACH CR PENDING SETTLEMENT UTRTRAV2026080000099,UTRTRAV2026080000099,"₹68,300.00","₹8,466,517.94",pending
BNK-TRAV-00100,2026-08-15,ACH CR PENDING SETTLEMENT UTRTRAV2026080000100,UTRTRAV2026080000100,"₹69,475.00","₹8,466,517.94",pending
