pnr_ticket_no,booking_id,fare_amount,booking_date,passenger_name,booking_status
INV-TRAV-00066,ORD-TRAV-EX-00066,"₹78,875.00",2026-08-16,Client_TRAV_66,paid
INV-TRAV-00067,ORD-TRAV-EX-00067,"₹80,050.00",2026-08-17,Client_TRAV_67,paid
INV-TRAV-00068,ORD-TRAV-EX-00068,"₹81,225.00",2026-08-18,Client_TRAV_68,paid
INV-TRAV-00069,ORD-TRAV-EX-00069,"₹82,400.00",2026-08-19,Client_TRAV_69,paid
INV-TRAV-00070,ORD-TRAV-EX-00070,"₹83,575.00",2026-08-20,Client_TRAV_70,paid
INV-TRAV-00071,ORD-TRAV-FEE-00071,"₹14,250.00",2026-08-01,Client_TRAV_71,paid
INV-TRAV-00072,ORD-TRAV-FEE-00072,"₹15,425.00",2026-08-02,Client_TRAV_72,paid
INV-TRAV-00073,ORD-TRAV-FEE-00073,"₹16,600.00",2026-08-03,Client_TRAV_73,paid
INV-TRAV-00074,ORD-TRAV-FEE-00074,"₹17,775.00",2026-08-04,Client_TRAV_74,paid
INV-TRAV-00075,ORD-TRAV-FEE-00075,"₹18,950.00",2026-08-05,Client_TRAV_75,paid
INV-TRAV-00076,ORD-TRAV-FEE-00076,"₹20,125.00",2026-08-06,Client_TRAV_76,paid
INV-TRAV-00077,ORD-TRAV-FEE-00077,"₹21,300.00",2026-08-07,Client_TRAV_77,paid
INV-TRAV-00078,ORD-TRAV-FEE-00078,"₹22,475.00",2026-08-08,Client_TRAV_78,paid
INV-TRAV-00079,ORD-TRAV-GST-00079,"₹26,000.00",2026-08-01,Client_TRAV_79,paid
INV-TRAV-00080,ORD-TRAV-GST-00080,"₹27,175.00",2026-08-02,Client_TRAV_80,paid
INV-TRAV-00081,ORD-TRAV-GST-00081,"₹28,350.00",2026-08-03,Client_TRAV_81,paid
INV-TRAV-00082,ORD-TRAV-GST-00082,"₹29,525.00",2026-08-04,Client_TRAV_82,paid
INV-TRAV-00083,ORD-TRAV-GST-00083,"₹30,700.00",2026-08-05,Client_TRAV_83,paid
INV-TRAV-00084,ORD-TRAV-TDS-00084,"₹37,750.00",2026-08-01,Client_TRAV_84,paid
INV-TRAV-00085,ORD-TRAV-TDS-00085,"₹38,925.00",2026-08-02,Client_TRAV_85,paid
INV-TRAV-00086,ORD-TRAV-TDS-00086,"₹40,100.00",2026-08-03,Client_TRAV_86,paid
INV-TRAV-00087,ORD-TRAV-AI-00087,"₹49,500.00",2026-08-01,Client_TRAV_87,paid
INV-TRAV-00088,ORD-TRAV-AI-00088,"₹50,675.00",2026-08-02,Client_TRAV_88,paid
INV-TRAV-00089,ORD-TRAV-AI-00089,"₹51,850.00",2026-08-03,Client_TRAV_89,paid
INV-TRAV-00090,ORD-TRAV-AI-00090,"₹53,025.00",2026-08-04,Client_TRAV_90,paid
INV-TRAV-00091,ORD-TRAV-AI-00091,"₹54,200.00",2026-08-05,Client_TRAV_91,paid
INV-TRAV-00092,ORD-TRAV-AI-00092,"₹55,375.00",2026-08-06,Client_TRAV_92,paid
INV-TRAV-00093,ORD-TRAV-EXC-00093,"₹61,250.00",2026-08-01,Client_TRAV_93,refunded
INV-TRAV-00094,ORD-TRAV-EXC-00094,"₹62,425.00",2026-08-02,Client_TRAV_94,refunded
INV-TRAV-00095,ORD-TRAV-EXC-00095,"₹63,600.00",2026-08-03,Client_TRAV_95,pending_settlement
INV-TRAV-00096,ORD-TRAV-EXC-00096,"₹64,775.00",2026-08-04,Client_TRAV_96,pending_settlement
INV-TRAV-00097,ORD-TRAV-EXC-00097,"₹65,950.00",2026-08-05,Client_TRAV_97,refunded
INV-TRAV-00098,ORD-TRAV-EXC-00098,"₹67,125.00",2026-08-06,Client_TRAV_98,refunded
INV-TRAV-00099,ORD-TRAV-EXC-00099,"₹68,300.00",2026-08-07,Client_TRAV_99,pending_settlement
INV-TRAV-00100,ORD-TRAV-EXC-00100,"₹69,475.00",2026-08-08,Client_TRAV_100,pending_settlement
