bill_id,order_id,final_amount,invoice_date,customer_name,status
INV-RETA-00035,ORD-RETA-EX-00035,11177.00,2026-08-10,Client_RETA_35,paid
INV-RETA-00036,ORD-RETA-EX-00036,11492.50,2026-08-11,Client_RETA_36,paid
INV-RETA-00037,ORD-RETA-EX-00037,11808.00,2026-08-12,Client_RETA_37,paid
INV-RETA-00038,ORD-RETA-EX-00038,12123.50,2026-08-13,Client_RETA_38,paid
INV-RETA-00039,ORD-RETA-EX-00039,12439.00,2026-08-14,Client_RETA_39,paid
INV-RETA-00040,ORD-RETA-EX-00040,12754.50,2026-08-15,Client_RETA_40,paid
INV-RETA-00041,ORD-RETA-EX-00041,13070.00,2026-08-16,Client_RETA_41,paid
INV-RETA-00042,ORD-RETA-EX-00042,13385.50,2026-08-17,Client_RETA_42,paid
INV-RETA-00043,ORD-RETA-EX-00043,13701.00,2026-08-18,Client_RETA_43,paid
INV-RETA-00044,ORD-RETA-EX-00044,14016.50,2026-08-19,Client_RETA_44,paid
INV-RETA-00045,ORD-RETA-EX-00045,14332.00,2026-08-20,Client_RETA_45,paid
INV-RETA-00046,ORD-RETA-EX-00046,14647.50,2026-08-21,Client_RETA_46,paid
INV-RETA-00047,ORD-RETA-EX-00047,14963.00,2026-08-22,Client_RETA_47,paid
INV-RETA-00048,ORD-RETA-EX-00048,15278.50,2026-08-23,Client_RETA_48,paid
INV-RETA-00049,ORD-RETA-EX-00049,15594.00,2026-08-24,Client_RETA_49,paid
INV-RETA-00050,ORD-RETA-EX-00050,15909.50,2026-08-25,Client_RETA_50,paid
INV-RETA-00051,ORD-RETA-EX-00051,16225.00,2026-08-01,Client_RETA_51,paid
INV-RETA-00052,ORD-RETA-EX-00052,16540.50,2026-08-02,Client_RETA_52,paid
INV-RETA-00053,ORD-RETA-EX-00053,16856.00,2026-08-03,Client_RETA_53,paid
INV-RETA-00054,ORD-RETA-EX-00054,17171.50,2026-08-04,Client_RETA_54,paid
INV-RETA-00055,ORD-RETA-EX-00055,17487.00,2026-08-05,Client_RETA_55,paid
INV-RETA-00056,ORD-RETA-EX-00056,17802.50,2026-08-06,Client_RETA_56,paid
INV-RETA-00057,ORD-RETA-EX-00057,18118.00,2026-08-07,Client_RETA_57,paid
INV-RETA-00058,ORD-RETA-EX-00058,18433.50,2026-08-08,Client_RETA_58,paid
INV-RETA-00059,ORD-RETA-EX-00059,18749.00,2026-08-09,Client_RETA_59,paid
INV-RETA-00060,ORD-RETA-EX-00060,19064.50,2026-08-10,Client_RETA_60,paid
INV-RETA-00061,ORD-RETA-EX-00061,19380.00,2026-08-11,Client_RETA_61,paid
INV-RETA-00062,ORD-RETA-EX-00062,19695.50,2026-08-12,Client_RETA_62,paid
INV-RETA-00063,ORD-RETA-EX-00063,20011.00,2026-08-13,Client_RETA_63,paid
INV-RETA-00064,ORD-RETA-EX-00064,20326.50,2026-08-14,Client_RETA_64,paid
INV-RETA-00065,ORD-RETA-EX-00065,20642.00,2026-08-15,Client_RETA_65,paid
INV-RETA-00066,ORD-RETA-EX-00066,20957.50,2026-08-16,Client_RETA_66,paid
INV-RETA-00067,ORD-RETA-EX-00067,21273.00,2026-08-17,Client_RETA_67,paid
INV-RETA-00068,ORD-RETA-EX-00068,21588.50,2026-08-18,Client_RETA_68,paid
INV-RETA-00069,ORD-RETA-EX-00069,21904.00,2026-08-19,Client_RETA_69,paid
INV-RETA-00070,ORD-RETA-EX-00070,22219.50,2026-08-20,Client_RETA_70,paid
INV-RETA-00071,ORD-RETA-FEE-00071,3605.00,2026-08-01,Client_RETA_71,paid
INV-RETA-00072,ORD-RETA-FEE-00072,3920.50,2026-08-02,Client_RETA_72,paid
INV-RETA-00073,ORD-RETA-FEE-00073,4236.00,2026-08-03,Client_RETA_73,paid
INV-RETA-00074,ORD-RETA-FEE-00074,4551.50,2026-08-04,Client_RETA_74,paid
INV-RETA-00075,ORD-RETA-FEE-00075,4867.00,2026-08-05,Client_RETA_75,paid
INV-RETA-00076,ORD-RETA-FEE-00076,5182.50,2026-08-06,Client_RETA_76,paid
INV-RETA-00077,ORD-RETA-FEE-00077,5498.00,2026-08-07,Client_RETA_77,paid
INV-RETA-00078,ORD-RETA-FEE-00078,5813.50,2026-08-08,Client_RETA_78,paid
INV-RETA-00079,ORD-RETA-GST-00079,6760.00,2026-08-01,Client_RETA_79,paid
INV-RETA-00080,ORD-RETA-GST-00080,7075.50,2026-08-02,Client_RETA_80,paid
INV-RETA-00081,ORD-RETA-GST-00081,7391.00,2026-08-03,Client_RETA_81,paid
INV-RETA-00082,ORD-RETA-GST-00082,7706.50,2026-08-04,Client_RETA_82,paid
INV-RETA-00083,ORD-RETA-GST-00083,8022.00,2026-08-05,Client_RETA_83,paid
INV-RETA-00084,ORD-RETA-TDS-00084,9915.00,2026-08-01,Client_RETA_84,paid
INV-RETA-00085,ORD-RETA-TDS-00085,10230.50,2026-08-02,Client_RETA_85,paid
INV-RETA-00086,ORD-RETA-TDS-00086,10546.00,2026-08-03,Client_RETA_86,paid
INV-RETA-00087,ORD-RETA-AI-00087,13070.00,2026-08-01,Client_RETA_87,paid
INV-RETA-00088,ORD-RETA-AI-00088,13385.50,2026-08-02,Client_RETA_88,paid
INV-RETA-00089,ORD-RETA-AI-00089,13701.00,2026-08-03,Client_RETA_89,paid
INV-RETA-00090,ORD-RETA-AI-00090,14016.50,2026-08-04,Client_RETA_90,paid
INV-RETA-00091,ORD-RETA-AI-00091,14332.00,2026-08-05,Client_RETA_91,paid
INV-RETA-00092,ORD-RETA-AI-00092,14647.50,2026-08-06,Client_RETA_92,paid
INV-RETA-00093,ORD-RETA-EXC-00093,16225.00,2026-08-01,Client_RETA_93,pending_settlement
INV-RETA-00094,ORD-RETA-EXC-00094,16540.50,2026-08-02,Client_RETA_94,paid
INV-RETA-00094-DUP,ORD-RETA-EXC-00094,16540.50,2026-08-02,Client_RETA_94_DUP,paid
INV-RETA-00095,ORD-RETA-EXC-00095,16856.00,2026-08-03,Client_RETA_95,refunded
INV-RETA-00096,ORD-RETA-EXC-00096,17171.50,2026-08-04,Client_RETA_96,pending_settlement
INV-RETA-00097,ORD-RETA-EXC-00097,17487.00,2026-08-05,Client_RETA_97,pending_settlement
INV-RETA-00098,ORD-RETA-EXC-00098,17802.50,2026-08-06,Client_RETA_98,paid
INV-RETA-00098-DUP,ORD-RETA-EXC-00098,17802.50,2026-08-06,Client_RETA_98_DUP,paid
INV-RETA-00099,ORD-RETA-EXC-00099,18118.00,2026-08-07,Client_RETA_99,refunded
INV-RETA-00100,ORD-RETA-EXC-00100,18433.50,2026-08-08,Client_RETA_100,pending_settlement
